"dMSC","dMC","dFK","iKC","iMC","rp"
1,80,0.4,1,2,10
5,80,0.4,1,2,10
20,80,0.4,1,2,10
1,20,0.8,1,2,10
5,20,0.8,1,2,10
20,20,0.8,1,2,10
1,40,0.8,1,2,10
5,40,0.8,1,2,10
20,40,0.8,1,2,10
1,80,0.8,1,2,10
5,80,0.8,1,2,10
20,80,0.8,1,2,10
