iModelChoice,dMutationStrength,dFracKilled,dMetabolicCost,gtime,tbirth,nest_id,neststock,mom_id,num_steal,num_sucsteal,num_forage,num_sucforage,num_rentry,num_sucrentry,num_raid,num_sucraid,num_actions,int,slope,offspring,neutral_gene,popavg_dist,cue0,cue1,cue2,cue3,cue4,cue5,cue6,cue7,cue8,cue9
0,1,0.4,40,10.1011,0,10,-0.180445,0,18,5,43,25,38,12,22,18,0,0.297461,-0.170531,0,-0.159085,0.407836,0.59871,18.0158,12.0619,16.0923,28.828,23.1109,3.27993,1.07714,15.706,0.126541,
0,1,0.4,40,10.1011,0,21,-0.0672055,0,25,13,44,19,38,1,19,6,0,0.895676,-0.523801,0,0.229816,0.236889,18.552,20.3682,17.3776,11.8752,0.783441,6.14894,13.9029,9.70217,10.9701,12.8517,
0,1,0.4,40,10.1011,0,38,-0.256356,0,21,14,44,23,43,0,16,0,0,1.77201,0.414247,0,0.765447,0.358818,26.486,14.089,24.4244,1.38853,2.16007,11.7376,8.14191,12.874,5.63948,38.4672,
0,1,0.4,40,10.1011,0,24,-0.078783,0,20,11,51,31,46,23,27,26,0,0.190016,-0.257658,0,-1.18976,0.283872,22.057,10.8027,5.61324,9.3277,1.72206,35.1298,9.84691,5.77816,13.7858,0.138638,
0,1,0.4,40,20.2078,0,27,-0.137066,0,24,14,54,30,48,0,27,0,0,0.998197,1.85073,0,-0.487212,0.378104,16.0949,27.5094,2.13098,12.0553,19.7213,0.865353,16.4069,6.57522,6.20969,16.0942,
0,1,0.4,40,20.2078,0,22,-0.139968,0,27,14,57,30,53,0,27,0,0,2.15474,2.10247,0,0.360184,0.369106,7.91156,4.09317,7.5494,7.71304,4.03368,4.35446,10.9379,43.2583,23.3422,1.14161,
0,1,0.4,40,20.2078,0,29,-0.124296,0,23,8,59,36,56,11,30,16,0,0.667456,-0.644075,0,-0.762486,0.253684,16.6785,6.97424,20.5278,4.98815,10.7571,4.13495,6.09313,7.14548,4.10375,6.44395,
0,1,0.4,40,20.2078,0,48,-0.194071,0,24,12,55,31,49,5,17,0,0,0.616289,1.45004,0,1.70317,0.384634,18.4692,7.41434,14.1548,28.8071,0.59587,44.8683,15.8989,6.34322,4.97821,4.09688,
0,1,0.4,40,20.2078,0,14,-0.0865977,0,29,13,61,32,56,0,20,0,0,1.39378,0.870736,0,-0.951075,0.382063,0.8736,0.811382,6.88767,4.10369,20.9265,9.28234,16.4357,7.26597,26.7908,14.0033,
0,1,0.4,40,20.2078,0,33,-0.158837,0,30,21,66,36,62,34,25,25,0,-1.84308,-0.26485,0,-0.219914,0.384324,26.2151,16.8376,10.081,1.90622,21.3986,21.1462,12.3656,0.503861,4.13901,18.8977,
0,1,0.4,40,20.2078,0,35,-0.220751,0,25,10,60,35,56,32,28,27,0,-0.900312,1.54441,0,-1.76166,0.455357,32.6069,5.22818,2.16294,5.72383,19.2677,6.87212,10.7813,42.8767,4.35047,0.776226,
0,1,0.4,40,20.2078,0,34,-0.0837046,0,24,12,60,36,56,0,25,0,0,2.01123,2.3085,0,-0.617361,0.246312,6.63961,13.1444,14.4501,7.64646,15.0288,2.56261,13.8356,12.645,17.6018,4.752,
0,1,0.4,40,20.2078,0,18,-0.024247,0,32,21,74,42,70,38,36,21,0,-0.613572,1.94756,0,-0.981138,0.526911,1.27785,26.8491,23.8827,4.89831,2.00619,62.4845,7.67113,0.897274,2.82796,13.3464,
0,1,0.4,40,20.2078,0,26,-0.0429494,0,29,15,67,38,62,36,28,28,0,-1.37153,1.65592,0,-0.519333,0.389438,7.76209,9.64393,13.5395,3.38209,0.714869,21.6113,42.0275,16.3169,0.682257,12.4608,
0,1,0.4,40,20.2078,0,39,-0.146286,0,35,18,76,41,68,35,28,28,0,-0.703712,0.956554,0,-0.0692203,0.424688,6.26417,1.97854,9.51248,0.181085,1.74447,9.46584,21.36,24.5499,4.93222,31.7989,
0,1,0.4,40,20.2078,0,15,-0.14612,0,28,18,75,47,70,0,28,0,0,2.98405,0.794342,0,-1.26479,0.371363,20.6944,26.126,10.1196,12.6725,2.84368,3.52007,4.75661,2.41127,3.00742,0.729173,
0,1,0.4,40,20.2078,0,30,-0.0954678,0,33,18,79,46,73,0,28,0,0,1.75794,1.46986,0,-0.294911,0.341334,4.4525,5.48326,9.56018,10.5172,0.536967,29.3064,14.5251,4.92711,3.43504,0.085972,
0,1,0.4,40,20.2078,0,13,-0.0313614,0,29,16,94,65,89,0,26,0,0,1.90931,1.55234,0,0.858989,0.396468,1.8974,25.5822,1.99863,12.4358,5.69523,11.751,8.02751,0.0601495,0.958302,0.0400567,
0,1,0.4,40,30.3125,0,46,-0.133279,0,29,19,100,71,96,15,34,0,0,0.827712,1.4018,0,-0.693112,0.416583,7.7988,1.98434,35.5714,10.6651,24.1339,0.632321,0.636651,7.00421,10.3756,3.81998,
0,1,0.4,40,30.3125,0,40,-0.193583,0,40,20,138,98,135,30,35,0,0,0.663025,0.508162,0,1.23981,0.492719,1.10614,4.304,16.5418,19.3228,1.58666,5.01262,40.2531,10.8282,0.893159,1.39998,
0,1,0.4,40,30.3125,0,44,-0.0552058,0,48,23,152,104,147,34,33,23,0,0.624348,-0.560889,0,1.64687,0.420354,7.88959,0.280476,1.30884,3.03305,2.16226,6.01822,12.3505,19.902,2.22553,5.12306,
0,1,0.4,40,30.3125,0,49,-0.0641598,0,41,20,129,88,125,0,40,0,0,1.70428,1.58398,0,-0.248201,0.365767,6.39549,2.13749,6.4888,2.35805,2.55665,4.43519,5.82936,6.2001,2.30266,10.7408,
