dExpParam,dMutationStrength,dFracKilled,dMetabolicCost,gtime,popstock,popsize,bcnest_avg,bcnest_std,bcind_avg,bcind_std,nshan_avg,nshan_std,nsimp_avg,nsimp_std,ishan_avg,ishan_std,isimp_avg,isimp_std,relatedness,neutral_avg,neutral_std,int_avg,int_std,slope_avg,slope_std,cueabun_avg,cueabun_std,steal,sucsteal,for,sucfor,rentry,sucrentr,sucfood,offprings_avg,offspring_std,offsimp,offshan,timealive_avg,timealive_std,maxtime_alive,mintime_alive
0.1,1,0.4,40,50.1004,0.0325423,41,0.503664,0.107266,0.492908,0.128802,1.92959,0.164147,0.81597,0.0528989,1.92892,0.164315,0.815898,0.0529255,0.987181,-0.0942869,0.912931,-0.517865,0.754956,1.07665,0.85484,93.2045,30.8297,498,266,11073,10575,10827,8869,10330,0,0,1,0,50.1004,3.55271e-14,50.1004,50.1004
0.1,1,0.4,40,100.205,-0.892774,41,0.503664,0.107266,0.492908,0.128802,1.92959,0.164147,0.81597,0.0528989,1.92892,0.164315,0.815898,0.0529255,0.986852,-0.0942869,0.912931,-0.517865,0.754956,1.07665,0.85484,93.2045,30.8297,498,266,21303,20805,21064,18095,20567,0,0,1,0,100.205,2.84217e-14,100.205,100.205
0.1,1,0.4,40,150.306,-0.955339,41,0.503664,0.107266,0.492908,0.128802,1.92959,0.164147,0.81597,0.0528989,1.92892,0.164315,0.815898,0.0529255,0.989413,-0.0942869,0.912931,-0.517865,0.754956,1.07665,0.85484,93.2045,30.8297,498,266,31629,31131,31382,27417,30885,0,0,1,0,150.306,5.68434e-14,150.306,150.306
0.1,1,0.4,40,200.408,203.033,50,0.503071,0.12476,0.49415,0.140159,1.90244,0.175299,0.806021,0.0594117,1.9025,0.175171,0.805996,0.0594689,0.994295,-0.17892,1.38245,-0.308507,0.940147,1.03514,1.17111,88.4041,26.1544,516,276,41930,41414,41633,36710,41135,0.4,0.748331,0.91,2.48437,120.407,97.9801,200.408,0.406557
0.1,1,0.4,40,250.512,0.0399555,43,0.503796,0.124276,0.493486,0.142152,1.8976,0.182276,0.804315,0.0624224,1.89731,0.182258,0.80425,0.062464,0.994248,-0.0683245,1.22633,-0.544946,0.789723,1.16246,1.03926,89.2986,25.3596,830,448,53351,52521,53012,46167,52183,0.465116,0.787957,0.91,2.48437,190.046,91.8536,250.512,50.5106
0.1,1,0.4,40,300.612,0.0415784,43,0.503796,0.124276,0.493486,0.142152,1.8976,0.182276,0.804315,0.0624224,1.89731,0.182258,0.80425,0.062464,0.995831,-0.0683245,1.22633,-0.544946,0.789723,1.16246,1.03926,89.2986,25.3596,830,448,64168,63338,63828,55906,62999,0.465116,0.787957,0.91,2.48437,240.147,91.8536,300.612,100.611
0.1,1,0.4,40,350.713,0.0036967,43,0.503796,0.124276,0.493486,0.142152,1.8976,0.182276,0.804315,0.0624224,1.89731,0.182258,0.80425,0.062464,0.993688,-0.0683245,1.22633,-0.544946,0.789723,1.16246,1.03926,89.2986,25.3596,830,448,75001,74171,74650,65606,73821,0.465116,0.787957,0.91,2.48437,290.247,91.8536,350.713,150.711
