dExpParam,dMutationStrength,dFracKilled,dMetabolicCost,gtime,tbirth,nest_id,neststock,mom_id,num_steal,num_sucsteal,num_forage,num_sucforage,num_rentry,num_sucrentry,num_raid,num_sucraid,num_actions,int,slope,offspring,neutral_gene,popavg_dist,cue0,cue1,cue2,cue3,cue4,cue5,cue6,cue7,cue8,cue9
0.1,1,0.4,40,50.1007,0,1,-0.058222,0,18,10,26,8,19,7,24,24,0,-0.936255,0.200441,0,-1.35362,0.444646,7.76025,3.4202,6.1155,7.27032,23.7408,0.209683,1.49657,20.8475,14.1407,4.59597,
0.1,1,0.4,40,50.1007,0,43,-0.15541,0,12,3,19,7,15,6,23,23,0,-0.167881,-0.411231,0,-0.372116,0.513358,31.663,12.9242,2.25892,2.63677,20.8497,3.65268,8.73595,23.7287,9.14456,4.85394,
0.1,1,0.4,40,50.1007,0,11,-0.182765,0,20,9,25,5,20,5,22,22,0,-1.05921,0.260015,0,-0.0269311,0.502972,9.20681,42.5346,3.12702,3.50304,0.749924,7.52571,5.90913,14.4559,2.61091,2.40752,
0.1,1,0.4,40,50.1007,0,48,-0.88943,0,27,9,34,7,26,7,22,22,0,-2.66121,1.82905,0,-1.12723,0.549177,0.535281,15.7141,6.285,19.2529,4.24377,8.75749,0.0681139,20.4799,2.446,13.5241,
0.1,1,0.4,40,50.1007,0,21,-0.352904,0,20,9,26,6,20,5,22,22,0,-0.244948,0.288632,0,-0.385903,0.575683,0.0459286,4.99271,4.73424,20.835,31.9435,2.70756,7.82408,3.41583,4.00508,10.3347,
0.1,1,0.4,40,50.1007,0,3,-0.300686,0,20,10,33,13,28,10,20,18,0,0.0705549,-0.0792263,0,0.434062,0.587217,2.97776,29.2369,9.12822,36.759,5.95081,9.24943,6.44948,25.1393,4.99131,12.182,
0.1,1,0.4,40,50.1007,0,50,-0.0329485,0,24,8,34,10,29,10,27,27,0,-0.491877,-0.0633791,0,1.98958,0.345442,8.61249,13.7055,1.14256,0.151118,4.34383,9.78385,0.730356,6.63514,4.49898,14.4531,
0.1,1,0.4,40,50.1007,0,16,-0.0993771,0,25,11,33,8,27,7,25,18,0,-0.290286,0.967692,0,-0.920697,0.59245,20.7853,2.33607,0.951408,2.02222,43.1346,27.0894,10.877,6.00436,3.02817,1.45379,
0.1,1,0.4,40,50.1007,0,24,-0.285573,0,33,14,38,5,30,4,23,23,0,-1.67155,1.0612,0,-1.26918,0.350857,5.60468,13.9499,5.43389,0.561802,0.554518,7.1289,0.494443,0.492399,4.92907,7.79718,
0.1,1,0.4,40,50.1007,0,10,-0.641565,0,19,8,25,6,23,6,25,25,0,-0.0306731,-0.566847,0,-0.928443,0.475406,3.46424,0.860999,1.55655,8.41121,5.86397,17.4191,21.9969,3.60508,3.05249,3.07686,
