iModelChoice,dMutationStrength,dFracKilled,dMetabolicCost,gtime,popstock,popsize,bcnest_avg,bcnest_std,bcind_avg,bcind_std,ntrlbc_avg,ntrlbc_std,uniq_lins,relatedness,int_avg,int_std,slope_avg,slope_std,cueabun_avg,cueabun_std,ntrlabun_avg,ntrlabun_std,steal,sucsteal,leave,sucfor,rentry,sucrentr,sucfood,offprings_avg,offspring_std
0,0.1,0.4,40,11712,47,49,0.766986,0.167384,0.706518,0.167252,0.37729,0.113434,1,0.99514,-0.0280101,0.0955858,0.0286243,0.111374,18.0989,10.9674,122.894,37.2103,1.08058e+06,1.02648e+06,2.80042e+06,1.71984e+06,2.79432e+06,1.66358e+06,1.71609e+06,6.16327,10.3003
0,0.1,0.4,40,11812.1,52,50,0.763899,0.173255,0.701148,0.169727,0.368861,0.110021,1,0.996031,0.00710199,0.10329,0.0275487,0.113434,17.2123,10.5585,125.213,34.9809,1.08999e+06,1.03531e+06,2.82462e+06,1.73463e+06,2.8184e+06,1.67793e+06,1.73082e+06,6.3,10.5076
0,0.1,0.4,40,11912.2,40,49,0.766537,0.172448,0.702901,0.169362,0.368975,0.110035,1,0.997344,0.0036732,0.101482,0.0306956,0.112404,16.913,10.4537,123.528,33.2678,1.10002e+06,1.04453e+06,2.84939e+06,1.74936e+06,2.84317e+06,1.69199e+06,1.74556e+06,6.42857,10.5753
0,0.1,0.4,40,12012.3,31,50,0.771807,0.16821,0.70935,0.167872,0.37096,0.111765,1,0.997733,0.0105043,0.0763011,0.0268502,0.115537,17.6075,11.3258,119.228,34.6717,1.10959e+06,1.05338e+06,2.87384e+06,1.76424e+06,2.86753e+06,1.70617e+06,1.76036e+06,6.66,10.6595
0,0.1,0.4,40,12112.4,37,49,0.772229,0.169742,0.708727,0.169056,0.367144,0.109298,1,0.997451,0.0125055,0.0757657,0.0276793,0.116562,16.784,9.84779,120.117,34.4553,1.11988e+06,1.06294e+06,2.89888e+06,1.779e+06,2.89256e+06,1.72034e+06,1.7751e+06,6.79592,10.7247
0,0.1,0.4,40,12212.5,46,50,0.766014,0.167294,0.70272,0.165876,0.377695,0.113978,1,0.997429,-0.0128758,0.0850472,0.0294358,0.111822,17.3655,11.146,121.933,34.2855,1.12961e+06,1.07192e+06,2.92348e+06,1.79387e+06,2.91707e+06,1.7346e+06,1.78992e+06,6,9.20652
0,0.1,0.4,40,12312.6,38,49,0.769661,0.166363,0.705184,0.165539,0.379469,0.114788,1,0.997111,-0.0106934,0.0845133,0.0283571,0.1127,16.8082,10.547,121.072,34.0953,1.13975e+06,1.08146e+06,2.94841e+06,1.80866e+06,2.94203e+06,1.74894e+06,1.80472e+06,6.12245,9.2596
0,0.1,0.4,40,12412.7,40,50,0.767683,0.173064,0.705838,0.171337,0.377548,0.119764,1,0.99601,0.00890457,0.0879125,0.0436207,0.101664,16.3607,9.50358,128.32,34.1167,1.14942e+06,1.09046e+06,2.97293e+06,1.82351e+06,2.96642e+06,1.76321e+06,1.81948e+06,5.9,9.4451
0,0.1,0.4,40,12512.8,39,50,0.767683,0.173064,0.705838,0.171337,0.377548,0.119764,1,0.99704,0.00890457,0.0879125,0.0436207,0.101664,16.3607,9.50358,128.32,34.1167,1.15958e+06,1.0998e+06,2.99784e+06,1.83825e+06,2.99135e+06,1.77736e+06,1.83425e+06,5.9,9.4451
0,0.1,0.4,40,12612.9,38,50,0.744632,0.173653,0.69101,0.172328,0.378391,0.123295,1,0.99681,0.00340172,0.0974984,0.0644732,0.0962908,19.7627,12.6245,128.665,31.7567,1.16987e+06,1.10926e+06,3.023e+06,1.85314e+06,3.01638e+06,1.79154e+06,1.84905e+06,5.1,9.40904
0,0.1,0.4,40,12713,34,50,0.744632,0.173653,0.69101,0.172328,0.378391,0.123295,1,0.99706,0.00340172,0.0974984,0.0644732,0.0962908,19.7627,12.6245,128.665,31.7567,1.18013e+06,1.11861e+06,3.048e+06,1.86787e+06,3.04138e+06,1.80559e+06,1.86378e+06,5.1,9.40904
0,0.1,0.4,40,12813.1,16,50,0.747411,0.167713,0.689729,0.166908,0.385763,0.116238,1,0.996227,0.00480765,0.101405,0.0499962,0.106048,18.2303,10.1325,125.995,30.9896,1.19023e+06,1.12788e+06,3.07296e+06,1.88273e+06,3.06623e+06,1.81972e+06,1.87858e+06,5.22,9.67531
0,0.1,0.4,40,12913.2,48,49,0.747727,0.168691,0.688927,0.167629,0.388469,0.116909,1,0.997553,0.00336707,0.101926,0.0519878,0.106195,17.6014,9.21878,126.006,31.3041,1.20024e+06,1.13709e+06,3.09768e+06,1.89744e+06,3.09095e+06,1.83372e+06,1.89327e+06,5.32653,9.74447
0,0.1,0.4,40,13013.3,49,50,0.773887,0.165307,0.713684,0.166243,0.396539,0.120304,1,0.996306,-0.00490706,0.096486,0.0401458,0.111869,19.0962,14.1917,129.397,34.3436,1.21025e+06,1.14633e+06,3.12246e+06,1.91221e+06,3.11563e+06,1.84775e+06,1.90799e+06,5.42,9.94
0,0.1,0.4,40,13113.4,58,47,0.782227,0.166345,0.717951,0.168021,0.396902,0.119656,1,0.997563,-0.00831143,0.0983311,0.0414494,0.114288,16.6152,9.62066,129.645,35.0157,1.21953e+06,1.15493e+06,3.14645e+06,1.92692e+06,3.13964e+06,1.86194e+06,1.92271e+06,5.76596,10.1546
0,0.1,0.4,40,13213.5,45,50,0.771916,0.172376,0.709424,0.170225,0.40271,0.122354,1,0.997987,-0.00386198,0.09525,0.0619773,0.107425,18.0221,11.8738,126.839,35.5045,1.22865e+06,1.16341e+06,3.17024e+06,1.94159e+06,3.16335e+06,1.87602e+06,1.93735e+06,5.6,10.3383
