dExpParam,dMutationStrength,dFracKilled,dMetabolicCost,gtime,tbirth,nest_id,neststock,mom_id,num_steal,num_sucsteal,num_forage,num_sucforage,num_rentry,num_sucrentry,num_raid,num_sucraid,num_actions,int,slope,offspring,neutral_gene,popavg_dist,cue0,cue1,cue2,cue3,cue4,cue5,cue6,cue7,cue8,cue9
0.1,1,0.4,40,50.1034,0,28,-0.238892,0,18,6,25,7,20,5,17,17,0,-1.43702,-1.09555,0,0.0809978,0.397946,32.8045,19.5976,8.84708,7.83387,19.5659,2.8661,7.32405,32.1197,7.92081,8.78137,
0.1,1,0.4,40,50.1034,0,27,-0.109216,0,19,11,29,10,24,0,15,9,0,0.989105,-1.29044,0,1.16532,0.466173,31.0214,12.3775,5.55068,45.2331,3.53361,5.22697,5.06969,20.3082,0.112981,24.1204,
0.1,1,0.4,40,50.1034,0,23,-0.0675284,0,17,10,28,11,23,9,13,13,0,-1.12934,-0.498926,0,-0.696842,0.612083,96.7228,0.0056568,20.6999,1.79222,4.2036,5.87689,21.1134,6.40042,8.83883,41.2715,
0.1,1,0.4,40,50.1034,0,34,-0.15855,0,21,8,43,22,39,0,18,0,0,1.46963,0.152652,0,0.66169,0.397317,4.14534,15.7985,41.8148,7.13756,30.6987,21.035,5.3422,12.5419,7.45359,7.71894,
0.1,1,0.4,40,50.1034,0,12,-0.0576253,0,27,11,41,14,36,11,16,16,0,0.128277,-0.60213,0,1.2662,0.376298,6.6497,18.2541,0.331679,12.1657,23.1798,9.17945,10.191,5.83795,34.8053,10.1619,
0.1,1,0.4,40,50.1034,0,24,-0.0168046,0,20,12,40,20,35,16,23,23,0,-0.624145,-0.386634,0,1.0961,0.407887,4.42626,4.46356,22.5204,16.4796,10.2471,3.62817,3.72662,28.7601,3.62082,22.4871,
0.1,1,0.4,40,50.1034,0,14,-0.239655,0,20,8,41,21,37,19,24,24,0,-1.51487,-0.102466,0,-0.350394,0.386688,24.1713,16.2023,35.7996,7.45814,4.61859,6.03365,9.67951,17.1938,7.59391,1.1039,
0.1,1,0.4,40,50.1034,0,19,-0.0768611,0,22,13,44,22,36,18,20,20,0,-0.246079,0.125979,0,0.855769,0.393075,39.0323,6.98705,8.20476,23.6321,31.3905,12.7111,4.06451,5.43785,9.61763,3.50154,
0.1,1,0.4,40,50.1034,0,40,-0.0273948,0,23,12,42,19,37,16,22,22,0,-0.37609,-0.0711126,0,0.668172,0.298205,4.92467,13.2178,18.2898,15.3369,15.7349,18.5058,14.918,7.05439,3.35738,9.31701,
0.1,1,0.4,40,50.1034,0,16,-0.14094,0,21,11,44,23,38,20,25,25,0,-0.655904,-0.241608,0,-0.585104,0.41328,0.552231,4.35623,7.13491,11.4463,2.21079,28.314,45.2869,13.5818,4.10252,5.84425,
0.1,1,0.4,40,50.1034,0,30,-0.153538,0,21,8,47,26,44,23,19,19,0,-2.8173,2.89327,0,-1.48711,0.428517,9.32319,9.124,7.11268,25.8357,10.4009,1.67234,10.3986,29.0942,23.0836,34.1712,
0.1,1,0.4,40,50.1034,0,37,-0.267085,0,26,11,55,29,51,7,27,0,0,0.621963,1.08615,0,-0.0659596,0.581571,1.20157,4.08678,1.4117,5.75225,32.969,28.877,51.6794,19.6267,2.25956,4.50204,
0.1,1,0.4,40,50.1034,0,7,-0.0942306,0,26,15,48,22,43,18,27,27,0,-0.654635,0.53461,0,-0.715154,0.284711,1.59944,20.5455,3.13859,9.78021,7.41929,8.19656,9.93099,9.76239,2.48017,16.0844,
0.1,1,0.4,40,50.1034,0,38,-0.0224227,0,22,10,50,28,44,0,30,0,0,1.30615,0.825674,0,-0.343182,0.468709,3.99316,3.20632,17.2965,0.547045,13.8191,18.3457,32.8511,19.4505,19.2001,4.48101,
0.1,1,0.4,40,50.1034,0,13,-0.106562,0,34,11,65,31,59,14,24,13,0,0.551215,0.0412677,0,0.571418,0.532508,32.4568,0.0673221,20.3356,8.85324,0.140967,0.157219,27.9462,0.490173,3.08125,11.9527,
0.1,1,0.4,40,50.1034,0,29,-0.196016,0,32,19,63,31,57,0,22,0,0,1.65924,0.571258,0,-1.10888,0.373635,1.08942,14.0271,11.7684,15.5225,17.3164,1.03672,8.21606,8.34827,2.80891,24.9373,
0.1,1,0.4,40,50.1034,0,35,-0.175008,0,25,18,55,30,49,26,29,29,0,-1.11513,2.08627,0,-0.0779823,0.207402,13.5105,17.9323,7.23225,15.0298,11.9362,8.02812,11.1676,7.00574,6.79339,8.1399,
0.1,1,0.4,40,50.1034,0,47,-0.133361,0,33,12,58,25,51,22,27,27,0,-1.8596,1.51533,0,0.712747,0.381936,5.85032,6.82589,6.93538,26.3603,2.35457,2.34625,7.74923,2.95043,1.21271,30.2085,
0.1,1,0.4,40,50.1034,0,3,-0.25783,0,31,8,66,35,62,25,32,2,0,0.239704,1.2,0,-0.825653,0.597317,1.19291,15.2758,4.00903,102.506,7.42087,22.7366,13.9258,1.27826,0.874297,19.3881,
0.1,1,0.4,40,50.1034,0,33,-0.0627957,0,38,17,66,28,60,0,23,0,0,1.7552,2.06285,0,-1.29993,0.318066,4.05861,5.46148,4.92422,6.61423,9.09981,28.9865,14.4366,3.66376,10.6496,11.6335,
0.1,1,0.4,40,50.1034,0,44,-0.22912,0,28,11,62,34,58,31,35,35,0,-0.849631,0.855695,0,0.3105,0.384839,1.91205,0.197444,15.4464,5.35852,7.95645,2.51691,7.56481,7.8117,12.2667,27.6964,
0.1,1,0.4,40,50.1034,0,43,-0.157144,0,29,15,56,27,51,0,33,0,0,1.25687,2.5252,0,-0.347136,0.432317,29.3182,1.74886,0.780857,10.5991,1.60255,20.8296,15.9753,20.9493,0.677685,15.1358,
0.1,1,0.4,40,50.1034,0,45,-0.00832539,0,40,20,88,48,81,44,37,37,0,-1.27229,-0.0566299,0,1.01726,0.434666,11.6343,46.7749,11.1706,2.88132,4.13155,0.795974,4.94407,4.96218,2.76388,4.75266,
0.1,1,0.4,40,50.1034,0,4,-0.114303,0,40,17,91,51,83,0,36,0,0,1.51152,-0.227647,0,-0.430553,0.368274,11.3034,0.671892,3.45478,1.70076,4.06924,10.7517,15.3575,5.07784,0.0508205,19.8961,
0.1,1,0.4,40,50.1034,0,18,-0.118622,0,42,24,85,43,81,0,49,0,0,1.01475,1.50839,0,-0.699187,0.315177,8.88711,20.0789,11.1669,5.70496,5.93561,14.9555,6.4065,0.0813203,2.32217,0.408265,
0.1,1,0.4,40,50.1034,0,32,-0.0159235,0,43,26,94,51,89,0,42,0,0,1.43987,2.17981,0,-0.640833,0.35402,1.72526,12.9815,9.52809,2.40247,7.27812,3.00258,1.64494,19.67,6.35305,3.813,
