iModelChoice,dMutationStrength,dFracKilled,dMetabolicCost,gtime,tbirth,nest_id,neststock,mom_id,num_steal,num_sucsteal,num_forage,num_sucforage,num_rentry,num_sucrentry,num_raid,num_sucraid,num_actions,int,slope,offspring,neutral_gene,popavg_dist,cue0,cue1,cue2,cue3,cue4,cue5,cue6,cue7,cue8,cue9
0,1,0.4,40,10.1008,0,29,-0.925955,0,17,6,35,18,31,16,19,19,0,-2.08733,2.26062,0,0.657891,0.401185,14.2393,19.1868,43.2812,5.13477,4.5183,43.2168,17.9515,15.7747,8.93957,1.66198,
0,1,0.4,40,10.1008,0,6,-0.220277,0,18,10,40,22,37,20,23,23,0,-0.0239793,-0.322464,0,-1.79962,0.205184,22.1216,10.1678,13.0983,17.5287,10.753,20.9407,7.18712,14.3124,15.8831,12.4358,
0,1,0.4,40,10.1008,0,17,-0.203606,0,19,9,49,30,43,0,23,0,0,1.90748,2.97433,0,-1.36218,0.433698,4.14946,2.78593,12.0239,11.011,1.0678,18.6533,23.5631,23.9822,39.579,0.645856,
0,1,0.4,40,10.1008,0,49,-0.156368,0,22,12,47,25,43,0,17,0,0,1.14434,2.04648,0,0.437624,0.273062,17.635,12.022,19.552,12.3942,8.37636,2.3915,4.44836,28.8699,24.5647,9.57823,
0,1,0.4,40,10.1008,0,26,-0.45486,0,28,13,53,25,49,6,22,16,0,0.774108,-0.719954,0,1.17236,0.502888,14.1381,4.04138,4.11161,1.63346,38.7183,2.25892,0.458902,0.240174,5.4919,4.81251,
0,1,0.4,40,20.2009,0,18,-0.184237,0,28,14,60,32,56,3,18,0,0,0.827551,1.51384,0,0.405061,0.369662,2.89692,3.92206,44.9186,10.5057,10.1496,24.4367,1.1321,14.5414,2.71195,6.62149,
0,1,0.4,40,20.2009,0,11,-0.138332,0,18,9,49,31,44,0,20,0,0,1.15544,2.24485,0,0.335267,0.532817,0.166102,61.6262,5.66475,0.592381,3.63622,37.6724,6.09221,4.24747,8.48605,7.08048,
0,1,0.4,40,20.2009,0,40,-0.359362,0,22,13,59,37,54,16,37,25,0,0.487364,-0.200515,0,-1.96147,0.340916,16.2736,11.5905,5.3697,2.53121,0.651917,4.66075,3.96906,9.14336,17.7487,0.762507,
0,1,0.4,40,20.2009,0,31,-0.156065,0,19,9,56,37,51,0,29,0,0,1.08671,1.68875,0,-1.73235,0.371463,14.3369,5.01657,9.53477,47.8362,0.34611,20.8792,3.28087,4.68851,3.40689,8.26669,
0,1,0.4,40,20.2009,0,19,-0.511779,0,30,15,55,25,47,11,23,21,0,0.601389,-1.03473,0,0.138559,0.402204,0.0435243,0.747093,9.00687,21.4675,6.03988,24.7619,6.27032,0.34108,1.29719,6.54317,
0,1,0.4,40,20.2009,0,14,-0.153309,0,29,17,64,35,56,2,25,1,0,0.842841,0.164043,0,-0.83199,0.348273,36.0716,5.60118,2.72924,0.841292,3.99178,9.97534,8.57428,10.4496,14.4017,16.3692,
0,1,0.4,40,20.2009,0,8,-0.141033,0,22,8,72,50,65,0,25,0,0,1.63096,0.609674,0,-0.0304954,0.484854,3.24267,7.37948,4.12552,0.867827,0.393076,1.1764,9.89222,20.7477,37.5841,6.51441,
0,1,0.4,40,20.2009,0,2,-0.091248,0,24,10,70,46,66,26,33,7,0,0.369609,0.793931,0,-0.179218,0.598334,33.9527,46.4065,16.7256,38.2514,0.0359752,1.0791,22.5421,2.1963,1.16976,0.0448124,
0,1,0.4,40,20.2009,0,34,-0.0101028,0,29,14,76,47,70,0,29,0,0,1.79757,0.94656,0,-0.995659,0.309007,9.63827,25.3695,7.6615,6.0082,14.5099,1.38849,9.23403,4.66533,3.77383,3.6646,
0,1,0.4,40,20.2009,0,33,-0.168872,0,29,16,66,37,62,35,31,31,0,-0.766578,1.0303,0,-0.804976,0.385826,1.44991,14.0017,23.7419,6.19442,0.391297,6.0034,6.84789,32.8427,15.7105,6.79071,
