dExpParam,dMutationStrength,dFracKilled,dMetabolicCost,gtime,popstock,popsize,bcnest_avg,bcnest_std,bcind_avg,bcind_std,nshan_avg,nshan_std,nsimp_avg,nsimp_std,ishan_avg,ishan_std,isimp_avg,isimp_std,relatedness,neutral_avg,neutral_std,int_avg,int_std,slope_avg,slope_std,cueabun_avg,cueabun_std,steal,sucsteal,leave,sucfor,rentry,sucrentr,sucfood,offprings_avg,offspring_std,offsimp,offshan,timealive_avg,timealive_std,maxtime_alive,mintime_alive
0.1,1,0.4,40,50.1046,50,39,0.473331,0.104365,0.462653,0.124831,1.96066,0.0988728,0.830654,0.0256673,1.96024,0.0987836,0.83061,0.0256488,0.983473,0.132938,0.923533,-0.433961,0.835973,0.882034,0.86148,100.329,28.3374,0,0,10621,10621,10368,8476,10368,0,0,1,0,50.1046,7.10543e-15,50.1046,50.1046
0.1,1,0.4,40,100.219,49,39,0.473331,0.104365,0.462653,0.124831,1.96066,0.0988728,0.830654,0.0256673,1.96024,0.0987836,0.83061,0.0256488,0.990602,0.132938,0.923533,-0.433961,0.835973,0.882034,0.86148,100.329,28.3374,0,0,20396,20396,20144,16930,20144,0,0,1,0,100.219,2.84217e-14,100.219,100.219
0.1,1,0.4,40,150.32,50,39,0.473331,0.104365,0.462653,0.124831,1.96066,0.0988728,0.830654,0.0256673,1.96024,0.0987836,0.83061,0.0256488,0.987446,0.132938,0.923533,-0.433961,0.835973,0.882034,0.86148,100.329,28.3374,0,0,30124,30124,29878,25442,29878,0,0,1,0,150.32,1.42109e-13,150.32,150.32
0.1,1,0.4,40,200.424,49,50,0.448786,0.118763,0.440941,0.131672,1.96045,0.100715,0.831214,0.0247021,1.9603,0.100626,0.831176,0.024702,0.991674,-0.171231,1.16222,-0.290984,0.910251,0.934559,0.889443,102.901,25.5469,0,0,39942,39942,39614,33932,39614,0.4,0.69282,0.92,2.623,120.424,97.9798,200.424,0.423433
0.1,1,0.4,40,250.525,49,45,0.451117,0.114787,0.442319,0.129682,1.96868,0.0955276,0.833118,0.0237821,1.96852,0.0954084,0.833085,0.0237672,0.991282,-0.142986,1.14626,-0.472697,0.760205,0.944442,0.917209,102.984,26.5776,0,0,51538,51538,51176,44275,51176,0.444444,0.716645,0.92,2.623,183.858,94.2811,250.525,50.5241
0.1,1,0.4,40,300.629,50,45,0.451117,0.114787,0.442319,0.129682,1.96868,0.0955276,0.833118,0.0237821,1.96852,0.0954084,0.833085,0.0237672,0.99214,-0.142986,1.14626,-0.472697,0.760205,0.944442,0.917209,102.984,26.5776,0,0,62762,62762,62423,54533,62423,0.444444,0.716645,0.92,2.623,233.963,94.2811,300.629,100.629
0.1,1,0.4,40,350.73,50,45,0.451117,0.114787,0.442319,0.129682,1.96868,0.0955276,0.833118,0.0237821,1.96852,0.0954084,0.833085,0.0237672,0.990814,-0.142986,1.14626,-0.472697,0.760205,0.944442,0.917209,102.984,26.5776,0,0,74036,74036,73667,64836,73667,0.444444,0.716645,0.92,2.623,284.064,94.2811,350.73,150.73
0.1,1,0.4,40,400.831,50,50,0.408826,0.115791,0.401467,0.126661,1.97477,0.0924367,0.833585,0.0233204,1.97501,0.0922796,0.83361,0.023323,0.994794,0.0640432,1.36555,-0.361228,0.825206,0.847408,0.865518,99.6143,17.4239,0,0,85504,85504,85048,75292,85048,0.72,1.04,0.938272,2.88528,208.828,183.132,400.831,0.823168
0.1,1,0.4,40,450.934,50,47,0.411892,0.116069,0.403987,0.127731,1.97312,0.0938169,0.833112,0.0237338,1.9734,0.0936509,0.833141,0.0237359,0.993129,0.0721051,1.35283,-0.46162,0.725528,0.843042,0.861568,98.8273,17.66,0,0,97644,97644,97201,86121,97201,0.765957,1.05614,0.938272,2.88528,272.208,180.942,450.934,50.9261
0.1,1,0.4,40,501.035,49,45,0.415208,0.117409,0.40692,0.129606,1.96999,0.0942947,0.832277,0.0239069,1.97019,0.0940752,0.832303,0.0239055,0.993613,-0.0124264,1.31888,-0.510636,0.702104,0.838004,0.879218,98.47,17.6971,0,0,109147,109147,108696,96815,108696,0.8,1.06667,0.938272,2.88528,332.143,178.668,501.035,101.027
