iModelChoice,dMutationStrength,dFracKilled,dMetabolicCost,gtime,popstock,popsize,bcnest_avg,bcnest_std,bcind_avg,bcind_std,nshan_avg,nshan_std,nsimp_avg,nsimp_std,ishan_avg,ishan_std,isimp_avg,isimp_std,relatedness,neutral_avg,neutral_std,int_avg,int_std,slope_avg,slope_std,cueabun_avg,cueabun_std,steal,sucsteal,leave,sucfor,rentry,sucrentr,sucfood,offprings_avg,offspring_std,offsimp,offshan,timealive_avg,timealive_std,maxtime_alive,mintime_alive
0,1,0.4,40,10.1085,283,41,0.49619,0.112157,0.485541,0.132126,1.93774,0.151897,0.822496,0.0415878,1.93754,0.151966,0.822494,0.0415732,0.988521,-0.143408,0.922252,0.0910148,0.902785,0.941331,1.12532,94.8466,33.9393,1049,419,2522,1473,2284,815,1328,0,0,1,0,10.1085,5.32907e-15,10.1085,10.1085
0,1,0.4,40,20.2103,278,30,0.50665,0.112702,0.491682,0.140038,1.91946,0.155194,0.817895,0.0442956,1.91925,0.155293,0.817908,0.0442785,0.991549,-0.269539,0.932239,-0.187187,0.787475,1.13311,1.05551,86.498,28.6554,1385,582,4169,2784,3919,1792,2597,0,0,1,0,20.2103,7.10543e-15,20.2103,20.2103
0,1,0.4,40,30.3126,264,27,0.508328,0.113842,0.491585,0.143707,1.92024,0.160403,0.81724,0.0463527,1.92022,0.160406,0.817272,0.0463342,0.98641,-0.248886,0.979321,-0.334213,0.647816,1.06619,1.07611,86.7575,29.1648,1583,692,5581,3998,5338,2807,3813,0,0,1,0,30.3126,1.42109e-14,30.3126,30.3126
0,1,0.4,40,40.42,252,27,0.508328,0.113842,0.491585,0.143707,1.92024,0.160403,0.81724,0.0463527,1.92022,0.160406,0.817272,0.0463342,0.991472,-0.248886,0.979321,-0.334213,0.647816,1.06619,1.07611,86.7575,29.1648,1774,804,6927,5153,6677,3808,4965,0,0,1,0,40.42,0,40.42,40.42
0,1,0.4,40,50.5266,237,26,0.51227,0.113948,0.494759,0.145229,1.91507,0.161234,0.81605,0.046829,1.91501,0.161205,0.816077,0.0468064,0.987861,-0.179242,0.930053,-0.36788,0.636556,1.11214,1.0703,86.2143,29.5861,1965,915,8283,6318,8032,4825,6119,0,0,1,0,50.5266,2.84217e-14,50.5266,50.5266
0,1,0.4,40,60.6269,231,26,0.51227,0.113948,0.494759,0.145229,1.91507,0.161234,0.81605,0.046829,1.91501,0.161205,0.816077,0.0468064,0.993373,-0.179242,0.930053,-0.36788,0.636556,1.11214,1.0703,86.2143,29.5861,2143,1018,9602,7459,9343,5821,7257,0,0,1,0,60.6269,2.13163e-14,60.6269,60.6269
0,1,0.4,40,70.7269,227,26,0.51227,0.113948,0.494759,0.145229,1.91507,0.161234,0.81605,0.046829,1.91501,0.161205,0.816077,0.0468064,0.992037,-0.179242,0.930053,-0.36788,0.636556,1.11214,1.0703,86.2143,29.5861,2313,1115,10877,8564,10614,6802,8358,0,0,1,0,70.7269,1.42109e-14,70.7269,70.7269
0,1,0.4,40,80.8322,221,26,0.51227,0.113948,0.494759,0.145229,1.91507,0.161234,0.81605,0.046829,1.91501,0.161205,0.816077,0.0468064,0.984217,-0.179242,0.930053,-0.36788,0.636556,1.11214,1.0703,86.2143,29.5861,2487,1221,12193,9706,11960,7833,9523,0,0,1,0,80.8322,1.42109e-14,80.8322,80.8322
