dExpParam,dMutationStrength,dFracKilled,dMetabolicCost,gtime,popstock,popsize,bcnest_avg,bcnest_std,bcind_avg,bcind_std,nshan_avg,nshan_std,nsimp_avg,nsimp_std,ishan_avg,ishan_std,isimp_avg,isimp_std,relatedness,neutral_avg,neutral_std,int_avg,int_std,slope_avg,slope_std,cueabun_avg,cueabun_std,steal,sucsteal,for,sucfor,rentry,sucrentr,sucfood,offprings_avg,offspring_std,offsimp,offshan,timealive_avg,timealive_std,maxtime_alive,mintime_alive
0.01,0.01,0.4,40,20.1357,139.678,5,0.000100424,4.37344e-05,8.59877e-05,5.27389e-05,1.53489,3.34396e-05,0.77534,8.85767e-06,1.53489,3.36104e-05,0.77534,8.94385e-06,0.99391,0.0364663,0.00573577,-0.00258743,0.00821964,1.00328,0.0106693,346.373,0.0127848,2,1,263,261,205,121,203,0.8,0.748331,0.625,1.03972,1.6746,0.93805,3.08017,0.606782
0.01,0.01,0.4,40,40.2771,7.38559,5,8.86582e-05,2.41879e-05,7.55446e-05,3.79616e-05,1.53488,6.28798e-05,0.775341,1.79578e-05,1.53488,6.37462e-05,0.775341,1.81989e-05,0.999577,0.027572,0.00779384,-0.000657949,0.00880281,0.996671,0.00883963,346.346,0.0238054,29,12,523,494,409,221,387,0.6,0.489898,0.666667,1.09861,2.31706,0.83934,3.11456,0.944611
0.01,0.01,0.4,40,60.4166,-0.615005,5,7.91837e-05,3.14089e-05,6.72255e-05,3.87104e-05,1.53494,4.32673e-05,0.775367,1.19162e-05,1.53494,4.28755e-05,0.775367,1.18153e-05,0.992393,-0.00180632,0.0101822,0.0040393,0.00651336,1.00641,0.0113867,346.418,0.0204312,148,75,818,670,616,287,512,0.8,0.748331,0.625,1.03972,1.85651,0.771218,2.55569,0.473774
0.01,0.01,0.4,40,80.5414,2.62459,5,9.68322e-05,3.31045e-05,8.15215e-05,4.39435e-05,1.53485,5.76671e-05,0.77534,1.64513e-05,1.53485,5.65764e-05,0.77534,1.6116e-05,0.96708,0.0930512,0.00610549,-0.00452468,0.00657556,1.00624,0.00370275,346.431,0.021773,222,109,1116,894,836,366,685,0.8,0.748331,0.625,1.03972,0.814002,0.159567,1.08446,0.612443
0.01,0.01,0.4,40,100.648,-0.196847,5,0.000114881,4.35436e-05,9.67889e-05,5.69967e-05,1.535,3.19458e-05,0.77538,8.15526e-06,1.535,3.2378e-05,0.77538,8.25281e-06,0.99725,0.11837,0.00918976,-0.00194217,0.00729065,1.00418,0.0103042,346.356,0.00480894,383,185,1402,1019,1048,409,774,0.6,0.8,0.444444,0.636514,1.45936,0.685873,2.33743,0.554134
0.01,0.01,0.4,40,120.77,1.55661,5,9.34466e-05,4.00432e-05,8.0783e-05,4.93016e-05,1.53518,6.08163e-05,0.775428,1.5402e-05,1.53518,6.16357e-05,0.775428,1.5628e-05,0.994061,0.147121,0.0108063,-8.0452e-05,0.010313,1.00238,0.00984635,346.34,0.0179928,432,205,1705,1273,1282,512,971,0.6,0.489898,0.666667,1.09861,2.68478,0.995886,4.47914,1.56235
0.01,0.01,0.4,40,140.945,1.89546,5,9.93113e-05,5.03352e-05,8.47232e-05,5.74546e-05,1.53531,1.00681e-05,0.775454,2.31538e-06,1.53531,9.76506e-06,0.775454,2.33341e-06,0.986238,0.111367,0.00676587,0.00195381,0.00427796,1.00105,0.00832963,346.453,0.0392302,538,262,1995,1457,1508,583,1119,0.6,0.8,0.444444,0.636514,2.35234,1.15969,3.83807,0.784027
0.01,0.01,0.4,40,161.148,4.26681,5,9.31401e-05,3.33967e-05,8.0287e-05,4.46259e-05,1.53517,7.39124e-06,0.775413,1.86168e-06,1.53517,7.47464e-06,0.775412,1.86734e-06,0.994991,0.15361,0.0103821,-0.00244541,0.00633714,0.992821,0.00731163,346.427,0.0291471,637,309,2266,1629,1718,656,1251,0.6,0.8,0.444444,0.636514,2.70767,1.25,4.65386,1.3148
0.01,0.01,0.4,40,181.26,3.34932,5,6.8665e-05,2.33367e-05,5.99782e-05,3.16008e-05,1.5353,2.96913e-05,0.775453,8.33237e-06,1.5353,3.06414e-05,0.775453,8.6339e-06,0.978831,0.188638,0.00961398,0.00101385,0.011559,1.00693,0.00201201,346.529,0.0197169,783,382,2541,1758,1918,703,1342,0.8,0.748331,0.625,1.03972,1.18805,0.672566,2.45344,0.613838
0.01,0.01,0.4,40,201.374,-0.869762,5,7.50612e-05,2.28418e-05,6.45555e-05,3.23012e-05,1.5351,1.42543e-05,0.775396,4.2536e-06,1.5351,1.45168e-05,0.775396,4.26202e-06,0.993441,0.197237,0.00495215,0.00587292,0.00640442,1.00161,0.00714616,346.53,0.00699664,900,442,2821,1921,2127,760,1453,0.6,0.489898,0.666667,1.09861,2.81843,1.23148,4.35044,1.35871
