iModelChoice,dMutationStrength,dFracKilled,dMetabolicCost,gtime,popstock,popsize,bcnest_avg,bcnest_std,bcind_avg,bcind_std,nshan_avg,nshan_std,nsimp_avg,nsimp_std,ishan_avg,ishan_std,isimp_avg,isimp_std,relatedness,neutral_avg,neutral_std,int_avg,int_std,slope_avg,slope_std,cueabun_avg,cueabun_std,steal,sucsteal,leave,sucfor,rentry,sucrentr,sucfood,offprings_avg,offspring_std,offsimp,offshan,timealive_avg,timealive_std,maxtime_alive,mintime_alive
0,1,0.4,40,10.1008,287,46,0.504358,0.112188,0.494816,0.13083,1.92262,0.156594,0.81694,0.0455301,1.92216,0.156665,0.816898,0.0455553,0.989495,0.0329059,0.915093,-0.122241,0.952753,0.987314,0.864778,89.1916,27.0832,1133,604,2632,1499,2379,943,1361,0,0,1,0,10.1008,1.07E-14,10.1008,10.1008
0,1,0.4,40,20.2067,274,36,0.50566,0.115447,0.493414,0.138135,1.91985,0.151943,0.817611,0.0420953,1.91935,0.152139,0.817551,0.0421771,0.984289,0.0127406,0.986568,-0.384104,0.831901,0.954548,0.769819,84.1304,24.6832,1710,934,4636,2926,4374,2031,2739,0,0,1,0,20.2067,1.42E-14,20.2067,20.2067
0,1,0.4,40,30.3099,262,34,0.505546,0.117539,0.492561,0.141003,1.92312,0.154196,0.818854,0.042581,1.9226,0.15442,0.818797,0.0426656,0.988691,0.0334362,1.01137,-0.486662,0.73556,0.958881,0.784719,85.2048,24.9859,2051,1169,6304,4253,6059,3240,4083,0,0,1,0,30.3099,7.11E-15,30.3099,30.3099
0,1,0.4,40,40.4125,250,33,0.507211,0.118975,0.493737,0.142951,1.91844,0.154113,0.817868,0.0428369,1.91797,0.154402,0.817821,0.0429316,0.995169,0.043177,1.025,-0.521765,0.718018,0.947073,0.793538,85.2817,25.3576,2435,1453,8041,5606,7785,4456,5417,0,0,1,0,40.4125,7.11E-15,40.4125,40.4125
0,1,0.4,40,50.513,228,33,0.507211,0.118975,0.493737,0.142951,1.91844,0.154113,0.817868,0.0428369,1.91797,0.154402,0.817821,0.0429316,0.993037,0.043177,1.025,-0.521765,0.718018,0.947073,0.793538,85.2817,25.3576,2789,1707,9732,6943,9478,5684,6753,0,0,1,0,50.513,2.13E-14,50.513,50.513
0,1,0.4,40,60.615,228,33,0.507211,0.118975,0.493737,0.142951,1.91844,0.154113,0.817868,0.0428369,1.91797,0.154402,0.817821,0.0429316,0.990126,0.043177,1.025,-0.521765,0.718018,0.947073,0.793538,85.2817,25.3576,3114,1940,11357,8243,11099,6863,8043,0,0,1,0,60.615,3.55E-14,60.615,60.615
0,1,0.4,40,70.7188,211,33,0.507211,0.118975,0.493737,0.142951,1.91844,0.154113,0.817868,0.0428369,1.91797,0.154402,0.817821,0.0429316,0.990308,0.043177,1.025,-0.521765,0.718018,0.947073,0.793538,85.2817,25.3576,3415,2153,12949,9534,12710,8067,9343,0,0,1,0,70.7188,0,70.7188,70.7188
0,1,0.4,40,80.826,190,33,0.507211,0.118975,0.493737,0.142951,1.91844,0.154113,0.817868,0.0428369,1.91797,0.154402,0.817821,0.0429316,0.992146,0.043177,1.025,-0.521765,0.718018,0.947073,0.793538,85.2817,25.3576,3770,2411,14637,10867,14394,9271,10674,0,0,1,0,80.826,0,80.826,80.826
0,1,0.4,40,90.9277,171,32,0.508494,0.119077,0.494564,0.143828,1.91921,0.15644,0.817954,0.0434983,1.91877,0.156728,0.817902,0.0435946,0.987539,0.0165597,1.0296,-0.55956,0.696075,0.926673,0.797275,85.5598,25.7012,4123,2676,16283,12160,16016,10460,11946,0,0,1,0,90.9277,0,90.9277,90.9277
0,1,0.4,40,101.031,185,32,0.508494,0.119077,0.494564,0.143828,1.91921,0.15644,0.817954,0.0434983,1.91877,0.156728,0.817902,0.0435946,0.993135,0.0165597,1.0296,-0.55956,0.696075,0.926673,0.797275,85.5598,25.7012,4445,2909,17900,13455,17647,11674,13257,0,0,1,0,101.031,0,101.031,101.031
