dExpParam,dMutationStrength,dFracKilled,dMetabolicCost,gtime,popstock,popsize,bcnest_avg,bcnest_std,bcind_avg,bcind_std,nshan_avg,nshan_std,nsimp_avg,nsimp_std,ishan_avg,ishan_std,isimp_avg,isimp_std,relatedness,neutral_avg,neutral_std,int_avg,int_std,slope_avg,slope_std,cueabun_avg,cueabun_std,steal,sucsteal,leave,sucfor,rentry,sucrentr,sucfood,offprings_avg,offspring_std,offsimp,offshan,timealive_avg,timealive_std,maxtime_alive,mintime_alive
0.1,1,0.4,40,10.1016,0,15,0.501241,0.102741,0.471628,0.154115,1.90443,0.14384,0.809595,0.046477,1.90385,0.143019,0.809523,0.0461924,0.995989,-0.060315,1.3103,0.8583,0.465737,1.47473,0.761,84.2778,21.99,1669,609,1969,300,1702,207,299,0,0,1,0,10.1016,3.55271e-15,10.1016,10.1016
0.1,1,0.4,40,20.2202,0,4,0.530614,0.100694,0.410637,0.237672,1.86715,0.0690145,0.797572,0.0214474,1.86558,0.0686815,0.797317,0.0213574,0.999894,-0.471029,1.72255,0.578309,0.548782,1.59456,0.820606,67.3095,3.49465,2103,614,2403,300,2150,207,299,0,0,1,0,20.2202,0,20.2202,20.2202
0.1,1,0.4,40,30.3573,-1,1,0,nan,0.00876004,0.00226896,1.85966,0,0.797504,0,1.8576,0.00851063,0.797049,0.00101954,nan,-3.14676,0,-0.255597,0,2.8859,0,62.0268,0,2117,614,2466,349,2218,250,342,0,0,1,0,30.3573,0,30.3573,30.3573
0.1,1,0.4,40,40.476,0,1,0,nan,0.00876004,0.00226896,1.85966,0,0.797504,0,1.8576,0.00851063,0.797049,0.00101954,nan,-3.14676,0,-0.255597,0,2.8859,0,62.0268,0,2117,614,2519,402,2275,307,399,0,0,1,0,40.476,0,40.476,40.476
0.1,1,0.4,40,50.5872,-1,1,0,nan,0.00876004,0.00226896,1.85966,0,0.797504,0,1.8576,0.00851063,0.797049,0.00101954,nan,-3.14676,0,-0.255597,0,2.8859,0,62.0268,0,2117,614,2570,453,2323,355,447,0,0,1,0,50.5872,0,50.5872,50.5872
0.1,1,0.4,40,60.7638,0,1,0,nan,0.00876004,0.00226896,1.85966,0,0.797504,0,1.8576,0.00851063,0.797049,0.00101954,nan,-3.14676,0,-0.255597,0,2.8859,0,62.0268,0,2117,614,2629,512,2380,412,504,0,0,1,0,60.7638,0,60.7638,60.7638
0.1,1,0.4,40,71.2973,-1,1,0,nan,0.00876004,0.00226896,1.85966,0,0.797504,0,1.8576,0.00851063,0.797049,0.00101954,nan,-3.14676,0,-0.255597,0,2.8859,0,62.0268,0,2117,614,2680,563,2433,465,557,0,0,1,0,71.2973,0,71.2973,71.2973
0.1,1,0.4,40,81.4753,0,1,0,nan,0.00876004,0.00226896,1.85966,0,0.797504,0,1.8576,0.00851063,0.797049,0.00101954,nan,-3.14676,0,-0.255597,0,2.8859,0,62.0268,0,2117,614,2725,608,2478,510,602,0,0,1,0,81.4753,0,81.4753,81.4753
0.1,1,0.4,40,91.7506,-1,1,0,nan,0.00876004,0.00226896,1.85966,0,0.797504,0,1.8576,0.00851063,0.797049,0.00101954,nan,-3.14676,0,-0.255597,0,2.8859,0,62.0268,0,2117,614,2777,660,2529,561,653,0,0,1,0,91.7506,0,91.7506,91.7506
0.1,1,0.4,40,101.911,-1,1,0,nan,0.00876004,0.00226896,1.85966,0,0.797504,0,1.8576,0.00851063,0.797049,0.00101954,nan,-3.14676,0,-0.255597,0,2.8859,0,62.0268,0,2117,614,2830,713,2580,612,704,0,0,1,0,101.911,0,101.911,101.911
