dExpParam,dMutationStrength,dFracKilled,dMetabolicCost,gtime,tbirth,nest_id,neststock,mom_id,num_steal,num_sucsteal,num_forage,num_sucforage,num_rentry,num_sucrentry,num_raid,num_sucraid,num_actions,int,slope,offspring,neutral_gene,popavg_dist,cue0,cue1,cue2,cue3,cue4
0.01,0.01,0.4,40,40.2771,25.6677,30,-0.942215,28,2,1,10,8,8,0,1,1,0,0.000460665,0.982325,1,0.0521779,0.000228252,85.401,73.6596,23.9825,69.1478,94.2532,
0.01,0.01,0.4,40,40.2771,26.9152,31,-0.383546,29,2,1,12,10,10,5,1,0,0,0.0148656,0.995367,1,0.0742829,0.000136798,85.4092,73.6272,23.9225,69.1396,94.2623,
0.01,0.01,0.4,40,40.2771,28.1662,33,-0.402423,31,2,1,12,10,10,5,0,0,0,-0.0109546,0.997146,1,0.0692058,0.000115889,85.404,73.6276,23.9177,69.1625,94.249,
0.01,0.01,0.4,40,40.2771,29.9357,35,-1.19621,34,1,0,14,13,10,7,0,0,0,0.000406186,0.99849,1,0.0365175,9.84424e-05,85.3828,73.6136,23.9273,69.1762,94.2304,
0.01,0.01,0.4,40,40.2771,27.9258,32,-0.0383177,30,1,0,12,11,9,4,1,0,0,0.000358205,1.01485,0,0.0386984,0.000238915,85.4051,73.6448,23.9891,69.141,94.2486,
0.01,0.01,0.4,40,40.2771,31.7326,37,-0.175152,36,0,0,14,14,10,8,0,0,0,-0.00455447,0.989494,0,0.0010339,0.000118852,85.3783,73.6058,23.9479,69.1726,94.2295,
0.01,0.01,0.4,40,40.2771,29.7429,34,-0.631739,33,0,0,14,14,11,9,1,0,0,0.0110866,0.997278,2,0.057969,8.92274e-05,85.3954,73.6212,23.923,69.1769,94.2467,
0.01,0.01,0.4,40,40.2771,31.0064,36,-0.0377374,35,1,0,12,11,9,4,0,0,0,-0.00687331,1.00094,3,0.0124783,5.31282e-05,85.3683,73.6222,23.9335,69.1698,94.2342,
0.01,0.01,0.4,40,40.2771,34.2282,38,-1.04794,34,1,0,12,11,9,3,1,0,0,-0.00678251,1.01408,0,0.0609863,0.000109221,85.3901,73.6151,23.9432,69.1776,94.239,
0.01,0.01,0.4,40,40.2771,34.7766,39,-0.0224595,36,0,0,12,12,9,4,0,0,0,-0.00061647,0.975498,0,0.00793447,9.274e-05,85.375,73.6188,23.9414,69.1678,94.2268,
0.01,0.01,0.4,40,40.2771,35.7049,40,-0.412473,36,3,1,13,10,9,5,1,0,0,-0.00694365,1.00754,2,0.0160342,7.2049e-05,85.3495,73.6166,23.9436,69.1698,94.242,
0.01,0.01,0.4,40,60.4166,37.3943,43,-0.876146,42,3,1,11,8,7,1,5,2,0,0.00484536,1.0057,1,0.0209462,0.000195723,85.3685,73.6092,23.9417,69.1776,94.2621,
0.01,0.01,0.4,40,60.4166,37.3712,42,-1.29648,40,4,1,12,8,7,1,1,1,0,-0.00247113,1.00159,1,0.0178904,0.000205589,85.3607,73.6224,23.9481,69.1669,94.2591,
0.01,0.01,0.4,40,60.4166,39.3325,45,-0.867077,41,7,4,11,4,7,2,6,3,0,0.0116144,0.982973,0,0.0393286,0.0002672,85.3588,73.6123,23.9078,69.1726,94.2662,
0.01,0.01,0.4,40,60.4166,37.1626,41,-0.100004,40,7,2,10,3,6,0,5,3,0,-0.014798,0.989571,2,0.0268883,0.000238054,85.3653,73.626,23.9094,69.1612,94.2564,
0.01,0.01,0.4,40,60.4166,38.5397,44,-0.250978,43,3,2,11,8,8,4,10,3,0,-0.00248031,1.00353,1,0.0328067,0.000184502,85.3559,73.6431,23.9478,69.1772,94.2531,
0.01,0.01,0.4,40,60.4166,40.5379,47,-0.0946233,41,4,2,9,5,7,2,9,5,0,-0.0195834,1.0015,0,0.0238036,0.000229488,85.3716,73.6169,23.9104,69.1723,94.2596,
0.01,0.01,0.4,40,60.4166,40.3107,46,-0.656054,44,5,4,11,6,9,4,5,2,0,0.00254451,1.0134,1,0.0352277,0.000146818,85.3744,73.6328,23.9483,69.1787,94.254,
0.01,0.01,0.4,40,60.4166,42.1987,48,-1.30657,46,6,1,11,5,8,2,3,2,0,0.000227546,1.00467,1,0.042702,0.000136966,85.3659,73.6347,23.9332,69.1777,94.2348,
0.01,0.01,0.4,40,60.4166,42.5742,49,-1.22862,48,9,6,12,3,7,2,3,2,0,-0.035311,1.00428,2,0.0485543,0.000140457,85.3652,73.6422,23.9405,69.1854,94.2441,
0.01,0.01,0.4,40,60.4166,43.2453,50,-0.115825,49,5,4,10,5,6,1,6,4,0,0.00480699,1.00287,1,0.0597804,0.000145783,85.3711,73.6304,23.9294,69.1831,94.2445,
0.01,0.01,0.4,40,60.4166,44.2617,52,-0.548939,49,6,4,10,4,7,1,4,3,0,-0.01123,0.998202,1,0.0769196,0.000129388,85.3589,73.6336,23.9309,69.1876,94.2302,
0.01,0.01,0.4,40,60.4166,43.9877,51,-0.284471,50,3,2,11,8,8,3,5,2,0,0.0202448,1.02571,1,0.0651049,0.000147447,85.3747,73.619,23.9297,69.1883,94.2435,
0.01,0.01,0.4,40,60.4166,44.433,53,-1.29195,52,5,2,11,6,8,2,3,2,0,0.00732713,0.997694,1,0.0589846,0.000138497,85.3616,73.6471,23.9422,69.18,94.2305,
0.01,0.01,0.4,40,60.4166,45.4302,54,-0.109885,53,5,3,9,4,7,0,8,3,0,-0.00463603,1.01262,1,0.0614695,0.000126744,85.3856,73.6607,23.9459,69.1897,94.2396,
0.01,0.01,0.4,40,60.4166,46.7534,55,-0.667243,51,7,2,12,5,8,3,4,1,0,0.00905693,0.997804,0,0.0697253,0.000129879,85.3713,73.6144,23.9271,69.2091,94.2414,
0.01,0.01,0.4,40,60.4166,47.7169,58,-0.858051,56,6,2,10,4,8,1,4,2,0,0.0143026,1.00784,0,0.0487425,0.000167466,85.3798,73.6585,23.9684,69.1957,94.2477,
0.01,0.01,0.4,40,60.4166,47.4693,56,-0.109484,54,6,3,10,4,6,1,9,4,0,-0.00617351,0.982678,3,0.0598436,0.000153854,85.3865,73.6573,23.9602,69.1883,94.247,
0.01,0.01,0.4,40,60.4166,47.4693,57,-0.31555,56,4,2,11,7,8,4,5,3,0,-0.00935844,1.00636,0,0.0463147,0.000128012,85.3831,73.6513,23.9508,69.1856,94.2384,
0.01,0.01,0.4,40,60.4166,48.9626,59,-1.01204,56,2,2,11,9,10,4,4,1,0,0.00432786,0.999713,1,0.0637788,9.38556e-05,85.3833,73.6475,23.9478,69.2074,94.2435,
0.01,0.01,0.4,40,60.4166,51.0991,61,-0.274218,60,4,2,12,8,7,1,1,0,0,-0.0206659,1.00345,2,0.0566564,8.81472e-05,85.3842,73.6542,23.9258,69.2109,94.2257,
0.01,0.01,0.4,40,60.4166,51.6563,63,-0.679162,61,3,2,12,9,8,5,5,3,0,0.0176585,0.994276,0,0.0542358,9.64058e-05,85.3788,73.6521,23.9254,69.2206,94.2374,
0.01,0.01,0.4,40,60.4166,49.9392,60,-0.545085,59,2,1,10,8,7,1,4,3,0,-0.0199746,0.996961,2,0.0678869,7.87486e-05,85.3868,73.6483,23.9388,69.2032,94.233,
0.01,0.01,0.4,40,60.4166,51.373,62,-0.235116,60,1,0,10,9,9,3,3,2,0,-0.003848,0.986407,0,0.0703131,0.000106995,85.3801,73.6521,23.9381,69.1876,94.2258,
