dExpParam,dMutationStrength,dFracKilled,dMetabolicCost,gtime,popstock,popsize,bcnest_avg,bcnest_std,bcind_avg,bcind_std,nshan_avg,nshan_std,nsimp_avg,nsimp_std,ishan_avg,ishan_std,isimp_avg,isimp_std,relatedness,neutral_avg,neutral_std,int_avg,int_std,slope_avg,slope_std,cueabun_avg,cueabun_std,steal,sucsteal,leave,sucfor,rentry,sucrentr,sucfood,offprings_avg,offspring_std,offsimp,offshan,timealive_avg,timealive_std,maxtime_alive,mintime_alive
0.1,1,0.4,40,50.1051,50,38,0.504381,0.109444,0.492668,0.132133,1.91833,0.148777,0.814015,0.0417575,1.91806,0.149004,0.813968,0.0418276,0.983343,0.514344,0.947416,-0.474403,0.774663,0.590343,1.04832,97.4035,33.5705,0,0,10591,10591,10326,8584,10326,0,0,1,0,50.1051,2.84217e-14,50.1051,50.1051
0.1,1,0.4,40,100.207,49,37,0.507643,0.109551,0.495531,0.133057,1.91168,0.145102,0.812488,0.041257,1.91141,0.145334,0.81244,0.0413294,0.992206,0.477854,0.933412,-0.499999,0.769042,0.588894,1.06236,95.9499,32.8199,0,0,20089,20089,19834,17190,19834,0,0,1,0,100.207,2.84217e-14,100.207,100.207
0.1,1,0.4,40,150.307,50,37,0.507643,0.109551,0.495531,0.133057,1.91168,0.145102,0.812488,0.041257,1.91141,0.145334,0.81244,0.0413294,0.9912,0.477854,0.933412,-0.499999,0.769042,0.588894,1.06236,95.9499,32.8199,0,0,29422,29422,29151,25678,29151,0,0,1,0,150.307,1.13687e-13,150.307,150.307
0.1,1,0.4,40,200.407,49,50,0.494227,0.126621,0.485201,0.141159,1.91429,0.12293,0.814881,0.0354332,1.91499,0.122835,0.814978,0.0354443,0.992035,0.562617,1.12668,-0.172485,1.02414,0.582125,1.09972,85.9311,24.7897,0,0,38729,38729,38392,34121,38392,0.4,0.824621,0.895,2.41505,120.407,97.98,200.407,0.406515
0.1,1,0.4,40,250.51,50,42,0.490178,0.119198,0.479689,0.13717,1.92811,0.125153,0.818507,0.035661,1.92845,0.125378,0.818544,0.0357423,0.990791,0.588099,1.04869,-0.480841,0.787718,0.646842,1.03558,88.8268,25.3842,0,0,49811,49811,49443,43364,49443,0.47619,0.879342,0.895,2.41505,193.366,90.3512,250.51,50.5087
0.1,1,0.4,40,300.611,50,42,0.490178,0.119198,0.479689,0.13717,1.92811,0.125153,0.818507,0.035661,1.92845,0.125378,0.818544,0.0357423,0.989192,0.588099,1.04869,-0.480841,0.787718,0.646842,1.03558,88.8268,25.3842,0,0,60235,60235,59849,52644,59849,0.47619,0.879342,0.895,2.41505,243.468,90.3512,300.611,100.61
0.1,1,0.4,40,350.717,49,41,0.489435,0.119621,0.478724,0.137881,1.92777,0.12665,0.818248,0.0360542,1.92805,0.126869,0.818284,0.036136,0.991818,0.627626,1.03003,-0.50844,0.776944,0.657414,1.04589,88.6618,25.6697,0,0,70632,70632,70273,62075,70273,0.487805,0.886813,0.895,2.41505,297.058,88.6145,350.717,150.716
0.1,1,0.4,40,400.817,50,50,0.489573,0.131122,0.480703,0.144867,1.91685,0.128164,0.812483,0.0378517,1.91731,0.127895,0.81253,0.037848,0.99279,0.643171,1.11607,-0.504412,0.880927,0.928192,1.07732,86.7439,22.3774,0,0,80944,80944,80487,71352,80487,0.74,1.12801,0.933528,2.84743,212.816,185.085,400.817,0.814724
0.1,1,0.4,40,450.92,50,47,0.485197,0.130683,0.47581,0.145006,1.92545,0.127431,0.815098,0.0374466,1.92591,0.127146,0.815163,0.0374121,0.988967,0.590643,1.02054,-0.609675,0.800551,0.868509,1.08223,87.684,22.6515,0,0,93008,93008,92528,82424,92528,0.787234,1.14736,0.933528,2.84743,276.451,182.732,450.92,50.9178
0.1,1,0.4,40,501.02,50,47,0.485197,0.130683,0.47581,0.145006,1.92545,0.127431,0.815098,0.0374466,1.92591,0.127146,0.815163,0.0374121,0.992656,0.590643,1.02054,-0.609675,0.800551,0.868509,1.08223,87.684,22.6515,0,0,104878,104878,104407,93509,104407,0.787234,1.14736,0.933528,2.84743,326.551,182.732,501.02,101.018
0.1,1,0.4,40,551.121,50,47,0.485197,0.130683,0.47581,0.145006,1.92545,0.127431,0.815098,0.0374466,1.92591,0.127146,0.815163,0.0374121,0.991321,0.590643,1.02054,-0.609675,0.800551,0.868509,1.08223,87.684,22.6515,0,0,116635,116635,116170,104537,116170,0.787234,1.14736,0.933528,2.84743,376.652,182.732,551.121,151.119
0.1,1,0.4,40,601.221,50,50,0.488928,0.14316,0.479922,0.155503,1.89336,0.137076,0.804852,0.0412936,1.8946,0.136496,0.804963,0.0412611,0.993424,1.13788,1.31186,-0.428531,0.851148,1.01222,0.952164,77.6797,16.232,0,0,128383,128383,127827,115404,127827,1.02,1.37826,0.943483,3.01464,285.219,265.603,601.221,1.218
0.1,1,0.4,40,651.321,50,46,0.483771,0.139972,0.474118,0.153377,1.90928,0.129019,0.809955,0.0379121,1.9103,0.128555,0.810052,0.0378797,0.99217,1.0072,1.209,-0.566821,0.740211,0.993915,0.925882,78.5322,16.1177,0,0,140335,140335,139763,126300,139763,1.1087,1.4023,0.943483,3.01464,360.015,262.784,651.321,51.3181
0.1,1,0.4,40,701.423,50,46,0.483771,0.139972,0.474118,0.153377,1.90928,0.129019,0.809955,0.0379121,1.9103,0.128555,0.810052,0.0378797,0.99312,1.0072,1.209,-0.566821,0.740211,0.993915,0.925882,78.5322,16.1177,0,0,151881,151881,151325,137175,151325,1.1087,1.4023,0.943483,3.01464,410.117,262.784,701.423,101.42
0.1,1,0.4,40,751.529,49,46,0.483771,0.139972,0.474118,0.153377,1.90928,0.129019,0.809955,0.0379121,1.9103,0.128555,0.810052,0.0378797,0.99478,1.0072,1.209,-0.566821,0.740211,0.993915,0.925882,78.5322,16.1177,0,0,163473,163473,162924,148064,162924,1.1087,1.4023,0.943483,3.01464,460.224,262.784,751.529,151.526
0.1,1,0.4,40,801.63,49,50,0.466847,0.159782,0.458222,0.169545,1.90077,0.140867,0.803409,0.042394,1.90189,0.140368,0.803511,0.0423599,0.992873,1.1992,1.20177,-0.415397,0.762174,0.969788,0.98376,73.5396,10.7635,0,0,175096,175096,174418,158876,174418,1.26,1.71825,0.942807,3.00521,329.625,338.849,801.63,1.62063
0.1,1,0.4,40,851.731,49,47,0.46234,0.158962,0.453309,0.169165,1.90566,0.141582,0.804394,0.0421427,1.90668,0.141097,0.804482,0.042126,0.993666,1.1612,1.17609,-0.511127,0.681249,0.938843,1.00257,73.2569,10.7993,0,0,187220,187220,186546,170204,186546,1.34043,1.74156,0.942807,3.00521,400.663,338.883,851.731,51.7217
0.1,1,0.4,40,901.831,49,47,0.46234,0.158962,0.453309,0.169165,1.90566,0.141582,0.804394,0.0421427,1.90668,0.141097,0.804482,0.042126,0.993325,1.1612,1.17609,-0.511127,0.681249,0.938843,1.00257,73.2569,10.7993,0,0,198973,198973,198296,181455,198296,1.34043,1.74156,0.942807,3.00521,450.763,338.883,901.831,101.822
0.1,1,0.4,40,951.932,50,47,0.46234,0.158962,0.453309,0.169165,1.90566,0.141582,0.804394,0.0421427,1.90668,0.141097,0.804482,0.042126,0.99457,1.1612,1.17609,-0.511127,0.681249,0.938843,1.00257,73.2569,10.7993,0,0,210853,210853,210191,192829,210191,1.34043,1.74156,0.942807,3.00521,500.863,338.883,951.932,151.922
0.1,1,0.4,40,1002.03,50,50,0.448181,0.175246,0.44006,0.183096,1.90186,0.142708,0.802271,0.0422294,1.90258,0.142549,0.802316,0.0422755,0.991923,1.66016,1.29642,-0.351983,0.705922,0.888658,1.06755,67.6772,7.72337,0,0,222587,222587,221809,203913,221809,1.28,1.94977,0.933594,2.89511,330.026,359.47,1002.03,2.02209
0.1,1,0.4,40,1052.14,50,48,0.447115,0.17392,0.438663,0.18208,1.90213,0.145545,0.802311,0.0429644,1.9029,0.145345,0.802382,0.0429982,0.992843,1.67339,1.32097,-0.427465,0.602052,0.9191,1.077,67.6549,7.83547,0,0,234824,234824,234072,215384,234072,1.33333,1.97203,0.933594,2.89511,393.796,360.463,1052.14,52.1254
0.1,1,0.4,40,1102.24,49,48,0.447115,0.17392,0.438663,0.18208,1.90213,0.145545,0.802311,0.0429644,1.9029,0.145345,0.802382,0.0429982,0.994858,1.67339,1.32097,-0.427465,0.602052,0.9191,1.077,67.6549,7.83547,0,0,246981,246981,246195,226910,246195,1.33333,1.97203,0.933594,2.89511,443.896,360.463,1102.24,102.226
0.1,1,0.4,40,1152.34,50,48,0.447115,0.17392,0.438663,0.18208,1.90213,0.145545,0.802311,0.0429644,1.9029,0.145345,0.802382,0.0429982,0.993868,1.67339,1.32097,-0.427465,0.602052,0.9191,1.077,67.6549,7.83547,0,0,259136,259136,258366,238497,258366,1.33333,1.97203,0.933594,2.89511,493.996,360.463,1152.34,152.326
0.1,1,0.4,40,1202.44,49,50,0.438073,0.176555,0.430185,0.183811,1.92058,0.159097,0.807893,0.0470536,1.92147,0.158561,0.808009,0.0470047,0.988566,1.11712,1.11178,-0.400027,0.792333,0.92102,1.12497,64.8071,5.61604,0,0,271263,271263,270399,249896,270399,1.44,2.18321,0.934028,2.8645,374.43,421.45,1202.44,2.42658
0.1,1,0.4,40,1252.54,49,46,0.432614,0.175996,0.424086,0.183612,1.9306,0.159904,0.810725,0.0472528,1.93155,0.159323,0.810852,0.047199,0.991656,1.15386,1.03802,-0.557541,0.601036,0.884605,1.10154,64.6149,5.64722,0,0,283134,283134,282257,261116,282257,1.56522,2.23268,0.934028,2.8645,456.88,424.246,1252.54,52.5275
