dExpParam,dMutationStrength,dFracKilled,dMetabolicCost,gtime,tbirth,nest_id,neststock,mom_id,num_steal,num_sucsteal,num_forage,num_sucforage,num_rentry,num_sucrentry,num_raid,num_sucraid,num_actions,int,slope,offspring,neutral_gene,popavg_dist,cue0,cue1,cue2,cue3,cue4,cue5,cue6,cue7,cue8,cue9
0.1,1,0.4,40,50.1004,0,38,-0.0597425,0,8,7,56,48,53,0,10,1,0,1.00411,-0.315851,0,0.502319,0.320012,13.9156,17.1336,2.01128,2.96933,29.9046,10.5781,8.48567,16.7275,0.0266379,8.9972,
0.1,1,0.4,40,50.1004,0,48,-0.0308077,0,11,5,61,50,54,0,14,0,0,1.32607,2.28442,0,-3.22045,0.417762,13.3679,13.7857,3.67964,36.8114,6.94106,1.17738,2.81731,0.3049,19.7538,10.3432,
0.1,1,0.4,40,50.1004,0,32,-0.00746433,0,10,8,66,56,60,0,14,0,0,1.38816,0.675469,0,-0.3589,0.407268,2.68812,31.181,4.0172,2.0278,10.4891,5.14038,4.6868,11.7254,24.3388,3.22713,
0.1,1,0.4,40,50.1004,0,15,-0.104632,0,10,6,159,149,153,52,8,0,0,0.61445,0.912394,0,-0.53914,0.42963,6.22054,1.57125,3.54112,2.12307,15.872,20.9307,20.366,1.37611,34.3392,17.3686,
0.1,1,0.4,40,200.408,0,42,233.327,0,12,8,1034,1022,1027,623,14,0,0,0.369494,1.83361,0,0.575053,0.326894,5.24054,10.3587,5.13984,28.6135,11.3735,3.78241,6.30457,15.8889,11.7953,2.12179,
0.1,1,0.4,40,200.408,0,19,377.003,0,11,7,984,973,979,636,18,8,0,0.333955,0.520598,0,-0.0443905,0.281579,2.22718,7.1661,6.5333,5.8812,3.74029,18.6377,7.19112,4.49821,2.99549,11.438,
0.1,1,0.4,40,200.408,0,47,272.933,0,9,3,982,973,978,969,8,8,0,-1.22046,1.45466,0,-0.129622,0.470183,34.7783,12.0092,12.3112,1.49008,12.909,1.71847,42.7736,5.88631,32.0738,25.9717,
0.1,1,0.4,40,250.512,200.001,68,-0.111322,25,7,3,55,48,51,0,7,0,0,1.36242,1.09967,0,0.510966,0.363884,2.73014,2.22854,12.6452,12.3194,54.9533,3.94373,10.6583,4.31613,6.78783,8.22168,
