iModelChoice,dMutationStrength,dFracKilled,dMetabolicCost,gtime,tbirth,nest_id,neststock,mom_id,num_steal,num_sucsteal,num_forage,num_sucforage,num_rentry,num_sucrentry,num_raid,num_sucraid,num_actions,int,slope,offspring,neutral_gene,popavg_dist,cue0,cue1,cue2,cue3,cue4,cue5,cue6,cue7,cue8,cue9
0,1,0.4,40,10.101,0,17,-0.108316,0,17,9,35,18,32,2,16,12,0,0.858923,-0.510466,0,0.125755,0.352614,14.7422,15.5123,10.3498,2.2284,9.51285,1.18187,9.315,32.6094,1.17196,16.4991,
0,1,0.4,40,10.101,0,44,-0.0160693,0,27,10,56,29,49,26,23,23,0,-0.433696,0.310452,0,-0.19948,0.396978,3.95034,20.7388,0.972321,11.6737,43.4503,5.93724,2.9561,13.3168,18.5767,12.0835,
0,1,0.4,40,10.101,0,10,-0.107917,0,26,14,49,23,45,0,12,0,0,1.13003,1.75085,0,-0.111694,0.474661,36.6186,14.0576,28.1166,1.28611,20.1682,0.258799,4.60586,5.63941,3.94158,18.9529,
0,1,0.4,40,10.101,0,5,-0.812031,0,32,18,46,14,41,13,20,20,0,-1.48991,1.57245,0,-0.419509,0.52181,0.509333,1.44224,0.38858,2.07362,18.9009,14.81,2.1353,41.3313,21.7606,4.83659,
0,1,0.4,40,20.201,0,40,-0.0488319,0,26,12,64,38,58,0,31,0,0,2.38496,1.57718,0,-1.86906,0.333661,12.5604,5.7492,14.7701,13.8439,1.75254,26.4795,10.5617,10.2757,0.39252,6.31292,
0,1,0.4,40,20.201,0,35,-0.379979,0,28,13,66,38,61,38,28,28,0,-1.55384,1.66874,0,-0.187782,0.409789,4.88016,31.1356,3.65235,25.8935,6.71836,4.45898,32.0034,8.14163,4.08098,18.463,
0,1,0.4,40,20.201,0,39,-0.0724687,0,29,13,61,32,57,29,25,25,0,-0.62191,0.49469,0,-0.908868,0.43785,36.8823,12.573,4.99817,21.2934,5.03744,7.84654,5.23803,3.16243,0.258571,26.0821,
0,1,0.4,40,20.201,0,22,-0.112316,0,35,16,67,32,61,14,28,3,0,0.458812,0.999201,0,0.395095,0.345629,38.9697,0.67676,8.22483,9.70098,18.9514,23.5236,11.353,7.05836,15.8408,6.82534,
0,1,0.4,40,20.201,0,11,-0.114015,0,32,18,70,38,66,36,18,18,0,-0.170842,-0.181038,0,-1.7342,0.473985,6.46179,62.2055,12.0228,33.3661,5.88764,4.44743,8.75242,7.52325,1.3679,16.5027,
0,1,0.4,40,20.201,0,1,-0.0582209,0,26,15,64,38,59,0,31,8,0,1.27956,-1.38044,0,-0.782668,0.220256,2.49468,3.10342,10.9101,9.38716,7.30178,5.32279,5.84145,4.67622,10.3094,10.2118,
0,1,0.4,40,20.201,0,6,-0.0722152,0,22,13,61,39,55,0,30,0,0,0.990144,1.31893,0,-0.643341,0.436374,20.9052,0.142048,0.751495,10.4012,15.2992,6.30077,4.37416,38.2372,5.12423,6.63794,
0,1,0.4,40,20.201,0,46,-0.117377,0,30,17,74,44,70,0,23,0,0,1.04742,0.0607491,0,-0.0471922,0.332523,6.54642,7.31943,7.02711,10.6695,1.01667,32.7027,10.9263,0.0519328,4.06356,7.04186,
0,1,0.4,40,20.201,0,26,-0.0770135,0,27,11,82,55,75,7,38,0,0,0.86206,2.63604,0,-0.365824,0.408798,11.3056,12.4475,5.89046,43.0053,0.16304,0.386316,14.1459,8.86027,0.331765,5.80797,
0,1,0.4,40,20.201,0,24,-0.0146414,0,39,25,100,61,95,0,41,0,0,0.996004,0.646816,0,1.74944,0.389021,14.5126,0.884212,5.72976,6.17293,9.75972,18.5713,1.55291,1.1906,4.95798,0.850023,
0,1,0.4,40,20.201,0,27,-0.134268,0,31,20,97,66,95,13,35,0,0,0.730798,2.6912,0,-0.331577,0.459302,5.8038,2.64926,37.6783,3.76487,5.90823,25.8724,5.14829,8.89407,3.55116,0.281234,
0,1,0.4,40,20.201,0,47,-0.0995333,0,34,14,96,62,92,19,52,0,0,0.5645,2.28799,0,-0.864353,0.383867,3.72513,10.6237,0.140199,3.07875,32.6529,10.3276,19.283,21.6208,3.29505,12.6649,
0,1,0.4,40,30.3049,0,36,-0.0243377,0,39,23,116,77,110,0,29,0,0,2.07046,0.729718,0,-1.45871,0.381763,1.70336,3.10547,4.35994,3.78147,0.78916,3.22176,2.81019,17.3749,6.92219,11.3271,
0,1,0.4,40,30.3049,0,20,-0.0748275,0,46,21,134,88,130,0,39,0,0,1.23433,1.2648,0,0.573598,0.367262,6.22941,8.11054,3.97213,2.2513,0.37439,12.9804,2.84445,0.335303,9.89057,0.552702,
