dExpParam,dMutationStrength,dFracKilled,dMetabolicCost,gtime,popstock,popsize,bcnest_avg,bcnest_std,bcind_avg,bcind_std,nshan_avg,nshan_std,nsimp_avg,nsimp_std,ishan_avg,ishan_std,isimp_avg,isimp_std,relatedness,neutral_avg,neutral_std,int_avg,int_std,slope_avg,slope_std,cueabun_avg,cueabun_std,steal,sucsteal,leave,sucfor,rentry,sucrentr,sucfood,offprings_avg,offspring_std,offsimp,offshan,timealive_avg,timealive_std,maxtime_alive,mintime_alive
0.1,1,0.4,40,10.1083,50,42,0.496931,0.107198,0.486531,0.127814,1.93921,0.156527,0.820298,0.050588,1.93861,0.15724,0.820228,0.0507284,0.990114,0.0547546,0.928214,0.15366,0.912676,1.56984,0.762829,94.0643,30.566,1219,437,2538,1319,2258,738,1162,0,0,1,0,10.1083,5.32907e-15,10.1083,10.1083
0.1,1,0.4,40,20.2146,50,23,0.518746,0.109254,0.4989,0.146286,1.88627,0.182066,0.803052,0.0607594,1.88534,0.182788,0.802931,0.0609183,0.99177,0.190089,0.930825,-0.0520263,0.64208,1.50467,0.660079,77.8615,20.2177,1822,655,4083,2261,3820,1418,2098,0,0,1,0,20.2146,7.10543e-15,20.2146,20.2146
0.1,1,0.4,40,30.3177,49,20,0.513952,0.105469,0.491139,0.147468,1.89481,0.154968,0.809324,0.0461072,1.89408,0.155299,0.809264,0.046122,0.989254,0.117951,0.955612,-0.231001,0.448569,1.52928,0.651194,80.0384,20.5815,2104,763,5127,3023,4865,2094,2851,0,0,1,0,30.3177,1.77636e-14,30.3177,30.3177
0.1,1,0.4,40,40.4181,50,20,0.513952,0.105469,0.491139,0.147468,1.89481,0.154968,0.809324,0.0461072,1.89408,0.155299,0.809264,0.046122,0.989481,0.117951,0.955612,-0.231001,0.448569,1.52928,0.651194,80.0384,20.5815,2402,898,6105,3703,5846,2729,3544,0,0,1,0,40.4181,7.10543e-15,40.4181,40.4181
0.1,1,0.4,40,50.5216,50,20,0.513952,0.105469,0.491139,0.147468,1.89481,0.154968,0.809324,0.0461072,1.89408,0.155299,0.809264,0.046122,0.986287,0.117951,0.955612,-0.231001,0.448569,1.52928,0.651194,80.0384,20.5815,2680,1032,7145,4465,6873,3414,4288,0,0,1,0,50.5216,1.42109e-14,50.5216,50.5216
0.1,1,0.4,40,60.6251,50,20,0.513952,0.105469,0.491139,0.147468,1.89481,0.154968,0.809324,0.0461072,1.89408,0.155299,0.809264,0.046122,0.988315,0.117951,0.955612,-0.231001,0.448569,1.52928,0.651194,80.0384,20.5815,2958,1165,8168,5210,7908,4102,5035,0,0,1,0,60.6251,7.10543e-15,60.6251,60.6251
0.1,1,0.4,40,70.7278,50,20,0.513952,0.105469,0.491139,0.147468,1.89481,0.154968,0.809324,0.0461072,1.89408,0.155299,0.809264,0.046122,0.98418,0.117951,0.955612,-0.231001,0.448569,1.52928,0.651194,80.0384,20.5815,3221,1296,9163,5942,8902,4781,5768,0,0,1,0,70.7278,0,70.7278,70.7278
0.1,1,0.4,40,80.8297,49,20,0.513952,0.105469,0.491139,0.147468,1.89481,0.154968,0.809324,0.0461072,1.89408,0.155299,0.809264,0.046122,0.992867,0.117951,0.955612,-0.231001,0.448569,1.52928,0.651194,80.0384,20.5815,3500,1432,10186,6686,9913,5462,6509,0,0,1,0,80.8297,1.42109e-14,80.8297,80.8297
0.1,1,0.4,40,90.9341,50,20,0.513952,0.105469,0.491139,0.147468,1.89481,0.154968,0.809324,0.0461072,1.89408,0.155299,0.809264,0.046122,0.988312,0.117951,0.955612,-0.231001,0.448569,1.52928,0.651194,80.0384,20.5815,3774,1556,11200,7426,10935,6135,7246,0,0,1,0,90.9341,2.84217e-14,90.9341,90.9341
0.1,1,0.4,40,101.038,49,20,0.513952,0.105469,0.491139,0.147468,1.89481,0.154968,0.809324,0.0461072,1.89408,0.155299,0.809264,0.046122,0.988654,0.117951,0.955612,-0.231001,0.448569,1.52928,0.651194,80.0384,20.5815,4056,1678,12211,8155,11943,6805,7972,0,0,1,0,101.038,1.42109e-14,101.038,101.038
0.1,1,0.4,40,111.164,50,20,0.513952,0.105469,0.491139,0.147468,1.89481,0.154968,0.809324,0.0461072,1.89408,0.155299,0.809264,0.046122,0.993191,0.117951,0.955612,-0.231001,0.448569,1.52928,0.651194,80.0384,20.5815,4347,1804,13222,8875,12963,7492,8712,0,0,1,0,111.164,2.84217e-14,111.164,111.164
0.1,1,0.4,40,121.276,50,20,0.513952,0.105469,0.491139,0.147468,1.89481,0.154968,0.809324,0.0461072,1.89408,0.155299,0.809264,0.046122,0.985233,0.117951,0.955612,-0.231001,0.448569,1.52928,0.651194,80.0384,20.5815,4634,1930,14243,9609,13963,8144,9425,0,0,1,0,121.276,2.84217e-14,121.276,121.276
0.1,1,0.4,40,131.376,50,20,0.513952,0.105469,0.491139,0.147468,1.89481,0.154968,0.809324,0.0461072,1.89408,0.155299,0.809264,0.046122,0.991759,0.117951,0.955612,-0.231001,0.448569,1.52928,0.651194,80.0384,20.5815,4883,2037,15251,10368,14981,8848,10187,0,0,1,0,131.376,5.68434e-14,131.376,131.376
0.1,1,0.4,40,141.479,49,20,0.513952,0.105469,0.491139,0.147468,1.89481,0.154968,0.809324,0.0461072,1.89408,0.155299,0.809264,0.046122,0.99143,0.117951,0.955612,-0.231001,0.448569,1.52928,0.651194,80.0384,20.5815,5140,2145,16223,11083,15959,9513,10910,0,0,1,0,141.479,5.68434e-14,141.479,141.479
0.1,1,0.4,40,151.587,49,20,0.513952,0.105469,0.491139,0.147468,1.89481,0.154968,0.809324,0.0461072,1.89408,0.155299,0.809264,0.046122,0.990686,0.117951,0.955612,-0.231001,0.448569,1.52928,0.651194,80.0384,20.5815,5440,2271,17241,11801,16978,10186,11637,0,0,1,0,151.587,2.84217e-14,151.587,151.587
0.1,1,0.4,40,161.69,50,20,0.513952,0.105469,0.491139,0.147468,1.89481,0.154968,0.809324,0.0461072,1.89408,0.155299,0.809264,0.046122,0.994433,0.117951,0.955612,-0.231001,0.448569,1.52928,0.651194,80.0384,20.5815,5733,2397,18247,12514,17990,10842,12350,0,0,1,0,161.69,5.68434e-14,161.69,161.69
0.1,1,0.4,40,171.792,49,20,0.513952,0.105469,0.491139,0.147468,1.89481,0.154968,0.809324,0.0461072,1.89408,0.155299,0.809264,0.046122,0.993454,0.117951,0.955612,-0.231001,0.448569,1.52928,0.651194,80.0384,20.5815,6024,2531,19275,13251,19006,11511,13079,0,0,1,0,171.792,5.68434e-14,171.792,171.792
0.1,1,0.4,40,181.892,49,20,0.513952,0.105469,0.491139,0.147468,1.89481,0.154968,0.809324,0.0461072,1.89408,0.155299,0.809264,0.046122,0.987034,0.117951,0.955612,-0.231001,0.448569,1.52928,0.651194,80.0384,20.5815,6301,2654,20294,13993,20034,12208,13831,0,0,1,0,181.892,0,181.892,181.892
0.1,1,0.4,40,191.994,50,20,0.513952,0.105469,0.491139,0.147468,1.89481,0.154968,0.809324,0.0461072,1.89408,0.155299,0.809264,0.046122,0.9898,0.117951,0.955612,-0.231001,0.448569,1.52928,0.651194,80.0384,20.5815,6563,2766,21310,14747,21054,12893,14580,0,0,1,0,191.994,5.68434e-14,191.994,191.994
0.1,1,0.4,40,202.094,50,50,0.514292,0.142149,0.504776,0.156027,1.85461,0.151303,0.799546,0.0452904,1.85598,0.150311,0.799718,0.0451204,0.990905,-0.216785,1.07193,-0.0445731,0.674958,1.20953,1.01809,77.5756,21.5226,7101,3019,22749,15648,22316,13604,15399,0.6,1.14891,0.906667,2.57002,82.0938,97.9799,202.094,2.09351
0.1,1,0.4,40,212.196,50,46,0.505565,0.138273,0.495425,0.153177,1.86944,0.144413,0.802318,0.0458021,1.87073,0.143404,0.8025,0.0456134,0.991863,-0.234007,1.07613,-0.116019,0.612062,1.27394,0.996906,76.4955,20.652,8284,3553,25217,16933,24787,14603,16694,0.652174,1.18354,0.906667,2.57002,99.1521,99.146,212.196,12.1953
0.1,1,0.4,40,222.298,50,39,0.513523,0.138694,0.501492,0.156609,1.86218,0.149968,0.799363,0.0475197,1.86323,0.14889,0.79953,0.0473171,0.990148,-0.165023,1.11533,-0.111802,0.601254,1.44843,0.944771,76.2909,20.7733,9193,3921,27303,18110,26883,15565,17878,0.74359,1.2551,0.901308,2.50745,119.734,99.9675,222.298,22.2974
