iModelChoice,dMutationStrength,dFracKilled,dMetabolicCost,gtime,popstock,popsize,bcnest_avg,bcnest_std,bcind_avg,bcind_std,nshan_avg,nshan_std,nsimp_avg,nsimp_std,ishan_avg,ishan_std,isimp_avg,isimp_std,relatedness,neutral_avg,neutral_std,int_avg,int_std,slope_avg,slope_std,cueabun_avg,cueabun_std,steal,sucsteal,leave,sucfor,rentry,sucrentr,sucfood,offprings_avg,offspring_std,offsimp,offshan,timealive_avg,timealive_std,maxtime_alive,mintime_alive
0,1,0.4,40,10.1107,283,43,0.49806,0.114833,0.488167,0.133762,1.92468,0.174999,0.816344,0.0526753,1.9238,0.175114,0.816236,0.0526678,0.99036,-0.174971,1.05999,0.127282,0.976213,1.20479,1.11278,93.1796,24.4739,1144,475,2642,1498,2382,859,1355,0,0,1,0,10.1107,1.06581e-14,10.1107,10.1107
0,1,0.4,40,20.2116,272,33,0.484257,0.111976,0.471516,0.135233,1.94743,0.149928,0.824557,0.039931,1.94658,0.150366,0.824476,0.0399668,0.991962,-0.222482,1.10346,-0.189245,0.713147,1.38708,1.12573,93.0302,24.9124,1641,702,4563,2922,4316,1845,2740,0,0,1,0,20.2116,0,20.2116,20.2116
0,1,0.4,40,30.3173,263,30,0.482268,0.113426,0.46823,0.138211,1.94722,0.156819,0.823986,0.0417009,1.94652,0.157235,0.823922,0.0417369,0.993289,-0.212166,1.13544,-0.288262,0.663479,1.41424,1.16045,93.2293,24.1642,1994,885,6222,4228,5970,2917,4039,0,0,1,0,30.3173,2.13163e-14,30.3173,30.3173
0,1,0.4,40,40.4204,250,29,0.476175,0.11262,0.461885,0.137758,1.95123,0.157979,0.825154,0.0419289,1.95045,0.158449,0.825056,0.0419911,0.993457,-0.216253,1.15463,-0.34001,0.612414,1.36733,1.15198,95.0765,22.3982,2231,1023,7738,5507,7495,4035,5314,0,0,1,0,40.4204,7.10543e-15,40.4204,40.4204
0,1,0.4,40,50.5301,239,29,0.476175,0.11262,0.461885,0.137758,1.95123,0.157979,0.825154,0.0419289,1.95045,0.158449,0.825056,0.0419911,0.994761,-0.216253,1.15463,-0.34001,0.612414,1.36733,1.15198,95.0765,22.3982,2474,1165,9225,6751,8982,5139,6557,0,0,1,0,50.5301,2.13163e-14,50.5301,50.5301
0,1,0.4,40,60.6331,216,28,0.474987,0.112204,0.460235,0.1381,1.95276,0.160565,0.825358,0.0426569,1.95195,0.16105,0.825257,0.0427205,0.990388,-0.148895,1.11768,-0.372127,0.598775,1.35001,1.16865,94.4584,22.5504,2717,1314,10736,8019,10469,6242,7800,0,0,1,0,60.6331,2.13163e-14,60.6331,60.6331
0,1,0.4,40,70.7355,220,28,0.474987,0.112204,0.460235,0.1381,1.95276,0.160565,0.825358,0.0426569,1.95195,0.16105,0.825257,0.0427205,0.987325,-0.148895,1.11768,-0.372127,0.598775,1.35001,1.16865,94.4584,22.5504,2929,1447,12129,9200,11880,7314,9001,0,0,1,0,70.7355,2.84217e-14,70.7355,70.7355
0,1,0.4,40,80.8364,212,28,0.474987,0.112204,0.460235,0.1381,1.95276,0.160565,0.825358,0.0426569,1.95195,0.16105,0.825257,0.0427205,0.993193,-0.148895,1.11768,-0.372127,0.598775,1.35001,1.16865,94.4584,22.5504,3171,1599,13585,10414,13327,8396,10202,0,0,1,0,80.8364,4.26326e-14,80.8364,80.8364
0,1,0.4,40,90.9377,212,28,0.474987,0.112204,0.460235,0.1381,1.95276,0.160565,0.825358,0.0426569,1.95195,0.16105,0.825257,0.0427205,0.987354,-0.148895,1.11768,-0.372127,0.598775,1.35001,1.16865,94.4584,22.5504,3376,1717,14965,11589,14731,9467,11401,0,0,1,0,90.9377,7.10543e-14,90.9377,90.9377
0,1,0.4,40,101.039,191,28,0.474987,0.112204,0.460235,0.1381,1.95276,0.160565,0.825358,0.0426569,1.95195,0.16105,0.825257,0.0427205,0.986018,-0.148895,1.11768,-0.372127,0.598775,1.35001,1.16865,94.4584,22.5504,3613,1849,16435,12822,16186,10578,12621,0,0,1,0,101.039,2.84217e-14,101.039,101.039
0,1,0.4,40,111.148,188,28,0.474987,0.112204,0.460235,0.1381,1.95276,0.160565,0.825358,0.0426569,1.95195,0.16105,0.825257,0.0427205,0.993078,-0.148895,1.11768,-0.372127,0.598775,1.35001,1.16865,94.4584,22.5504,3821,1982,17823,14002,17576,11624,13793,0,0,1,0,111.148,5.68434e-14,111.148,111.148
0,1,0.4,40,121.252,174,28,0.474987,0.112204,0.460235,0.1381,1.95276,0.160565,0.825358,0.0426569,1.95195,0.16105,0.825257,0.0427205,0.988366,-0.148895,1.11768,-0.372127,0.598775,1.35001,1.16865,94.4584,22.5504,4045,2116,19275,15230,19024,12741,15030,0,0,1,0,121.252,4.26326e-14,121.252,121.252
0,1,0.4,40,131.354,162,28,0.474987,0.112204,0.460235,0.1381,1.95276,0.160565,0.825358,0.0426569,1.95195,0.16105,0.825257,0.0427205,0.993761,-0.148895,1.11768,-0.372127,0.598775,1.35001,1.16865,94.4584,22.5504,4249,2229,20682,16433,20449,13816,16242,0,0,1,0,131.354,2.84217e-14,131.354,131.354
0,1,0.4,40,141.455,152,28,0.474987,0.112204,0.460235,0.1381,1.95276,0.160565,0.825358,0.0426569,1.95195,0.16105,0.825257,0.0427205,0.992317,-0.148895,1.11768,-0.372127,0.598775,1.35001,1.16865,94.4584,22.5504,4451,2346,22099,17648,21855,14911,17448,0,0,1,0,141.455,5.68434e-14,141.455,141.455
0,1,0.4,40,151.558,139,28,0.474987,0.112204,0.460235,0.1381,1.95276,0.160565,0.825358,0.0426569,1.95195,0.16105,0.825257,0.0427205,0.993795,-0.148895,1.11768,-0.372127,0.598775,1.35001,1.16865,94.4584,22.5504,4691,2488,23498,18807,23261,15960,18622,0,0,1,0,151.558,5.68434e-14,151.558,151.558
0,1,0.4,40,161.662,140,28,0.474987,0.112204,0.460235,0.1381,1.95276,0.160565,0.825358,0.0426569,1.95195,0.16105,0.825257,0.0427205,0.991721,-0.148895,1.11768,-0.372127,0.598775,1.35001,1.16865,94.4584,22.5504,4933,2643,24907,19974,24658,16982,19769,0,0,1,0,161.662,8.52651e-14,161.662,161.662
0,1,0.4,40,171.781,123,28,0.474987,0.112204,0.460235,0.1381,1.95276,0.160565,0.825358,0.0426569,1.95195,0.16105,0.825257,0.0427205,0.99227,-0.148895,1.11768,-0.372127,0.598775,1.35001,1.16865,94.4584,22.5504,5159,2769,26315,21156,26077,18041,20961,0,0,1,0,171.781,8.52651e-14,171.781,171.781
0,1,0.4,40,181.89,130,28,0.474987,0.112204,0.460235,0.1381,1.95276,0.160565,0.825358,0.0426569,1.95195,0.16105,0.825257,0.0427205,0.990397,-0.148895,1.11768,-0.372127,0.598775,1.35001,1.16865,94.4584,22.5504,5371,2894,27691,22320,27456,19080,22132,0,0,1,0,181.89,5.68434e-14,181.89,181.89
0,1,0.4,40,192,103,28,0.474987,0.112204,0.460235,0.1381,1.95276,0.160565,0.825358,0.0426569,1.95195,0.16105,0.825257,0.0427205,0.992776,-0.148895,1.11768,-0.372127,0.598775,1.35001,1.16865,94.4584,22.5504,5602,3044,29123,23521,28876,20177,23327,0,0,1,0,192,2.84217e-14,192,192
