dExpParam,dMutationStrength,dFracKilled,dMetabolicCost,gtime,tbirth,nest_id,neststock,mom_id,num_steal,num_sucsteal,num_forage,num_sucforage,num_rentry,num_sucrentry,num_raid,num_sucraid,num_actions,int,slope,offspring,neutral_gene,popavg_dist,cue0,cue1,cue2,cue3,cue4,cue5,cue6,cue7,cue8,cue9
0.1,1,0.4,40,10.1223,0,43,-0.902064,0,15,6,23,8,17,5,22,22,0,-1.82152,0.31397,0,0.105013,0.399565,2.66279,12.123,5.1722,7.02321,20.1736,3.53108,6.24699,17.3773,1.50691,35.5667,
0.1,1,0.4,40,10.1223,0,21,-0.496601,0,16,6,21,5,18,1,16,14,0,0.730726,-0.943612,0,0.0386887,0.442976,2.95585,17.8303,39.0448,1.88043,29.9792,22.882,17.0188,6.61195,0.214416,22.6798,
0.1,1,0.4,40,10.1223,0,10,-0.457372,0,18,5,21,3,14,3,20,20,0,-0.577278,-0.252716,0,0.616564,0.447922,16.6637,2.37901,3.80146,1.91214,4.59829,51.329,9.20157,0.153161,11.3036,19.9499,
0.1,1,0.4,40,10.1223,0,25,-0.635464,0,21,8,26,5,22,5,21,20,0,-0.220313,0.635145,0,-2.34722,0.466703,2.53575,1.99052,19.5305,6.61846,52.2801,7.07301,7.89569,5.75475,6.64606,0.53997,
0.1,1,0.4,40,10.1223,0,13,-0.994014,0,24,9,26,2,21,0,20,16,0,0.290821,-0.210695,0,-0.638342,0.445834,39.1228,3.5775,2.71665,7.7135,2.47601,2.06254,19.4234,20.0782,8.42919,0.947413,
0.1,1,0.4,40,10.1223,0,42,-0.304722,0,20,14,25,5,20,4,15,15,0,-0.459081,-0.122735,0,0.0582432,0.409629,17.4352,10.936,25.5879,42.0532,14.3817,12.8247,6.1441,14.8438,0.437313,14.9598,
0.1,1,0.4,40,10.1223,0,39,-0.317302,0,16,7,26,10,23,9,20,20,0,-1.70745,0.917004,0,1.13519,0.460548,7.99948,20.911,3.10297,0.698631,49.3117,30.6708,5.21472,15.278,11.3682,1.60762,
0.1,1,0.4,40,10.1223,0,48,-0.916331,0,20,11,31,11,24,11,24,24,0,-1.2359,1.77472,0,0.557815,0.36531,3.81825,4.54727,13.6528,13.7497,0.452681,32.998,16.5315,16.3479,8.27056,7.26601,
0.1,1,0.4,40,10.1223,0,41,-0.0386728,0,21,10,30,9,24,8,22,22,0,-0.139964,0.18706,0,1.20781,0.375621,3.50624,25.9587,4.29546,1.03596,13.3779,1.2899,21.9427,0.719535,17.747,12.3672,
0.1,1,0.4,40,10.1223,0,17,-0.185537,0,18,6,30,12,23,9,21,21,0,-0.123966,0.112971,0,-1.59439,0.461636,2.05157,0.630664,3.11684,7.62455,63.7711,14.1441,11.8586,2.55689,13.481,5.48077,
