iModelChoice,dMutationStrength,dFracKilled,dMetabolicCost,gtime,popstock,popsize,bcnest_avg,bcnest_std,bcind_avg,bcind_std,nshan_avg,nshan_std,nsimp_avg,nsimp_std,ishan_avg,ishan_std,isimp_avg,isimp_std,relatedness,neutral_avg,neutral_std,int_avg,int_std,slope_avg,slope_std,cueabun_avg,cueabun_std,steal,sucsteal,leave,sucfor,rentry,sucrentr,sucfood,offprings_avg,offspring_std,offsimp,offshan,timealive_avg,timealive_std,maxtime_alive,mintime_alive
0,1,0.4,40,10.1003,286,45,0.486353,0.104508,0.477012,0.12344,1.94268,0.135905,0.822897,0.0362338,1.94192,0.136111,0.8228,0.0363091,0.987603,-0.0215519,0.891361,-0.0595057,1.11571,0.813197,0.895473,93.2872,27.2736,1087,606,2578,1491,2315,907,1351,0,0,1,0,10.1003,3.55271e-15,10.1003,10.1003
0,1,0.4,40,20.2077,275,30,0.492018,0.108509,0.477768,0.135303,1.93863,0.146024,0.821846,0.0391147,1.93776,0.146298,0.821712,0.0392403,0.984821,0.146832,0.869038,-0.524412,0.811647,0.846166,0.93913,88.3799,29.7972,1557,899,4418,2861,4164,1976,2685,0,0,1,0,20.2077,3.55271e-15,20.2077,20.2077
0,1,0.4,40,30.3105,261,28,0.484437,0.108581,0.469445,0.136208,1.947,0.146463,0.823235,0.0400306,1.94594,0.146935,0.823072,0.040179,0.989197,0.207287,0.842615,-0.609659,0.766203,0.81038,0.95193,86.4758,25.5804,1786,1075,5845,4059,5590,3094,3870,0,0,1,0,30.3105,2.13163e-14,30.3105,30.3105
0,1,0.4,40,40.4213,253,28,0.484437,0.108581,0.469445,0.136208,1.947,0.146463,0.823235,0.0400306,1.94594,0.146935,0.823072,0.040179,0.987434,0.207287,0.842615,-0.609659,0.766203,0.81038,0.95193,86.4758,25.5804,2014,1260,7238,5224,6990,4213,5037,0,0,1,0,40.4213,1.42109e-14,40.4213,40.4213
0,1,0.4,40,50.5233,229,28,0.484437,0.108581,0.469445,0.136208,1.947,0.146463,0.823235,0.0400306,1.94594,0.146935,0.823072,0.040179,0.983442,0.207287,0.842615,-0.609659,0.766203,0.81038,0.95193,86.4758,25.5804,2206,1408,8627,6421,8359,5327,6215,0,0,1,0,50.5233,7.10543e-15,50.5233,50.5233
0,1,0.4,40,60.6266,225,28,0.484437,0.108581,0.469445,0.136208,1.947,0.146463,0.823235,0.0400306,1.94594,0.146935,0.823072,0.040179,0.98905,0.207287,0.842615,-0.609659,0.766203,0.81038,0.95193,86.4758,25.5804,2416,1573,10030,7614,9770,6455,7414,0,0,1,0,60.6266,2.13163e-14,60.6266,60.6266
0,1,0.4,40,70.7324,220,28,0.484437,0.108581,0.469445,0.136208,1.947,0.146463,0.823235,0.0400306,1.94594,0.146935,0.823072,0.040179,0.985313,0.207287,0.842615,-0.609659,0.766203,0.81038,0.95193,86.4758,25.5804,2636,1743,11471,8835,11199,7610,8631,0,0,1,0,70.7324,2.84217e-14,70.7324,70.7324
0,1,0.4,40,80.8352,187,28,0.484437,0.108581,0.469445,0.136208,1.947,0.146463,0.823235,0.0400306,1.94594,0.146935,0.823072,0.040179,0.989806,0.207287,0.842615,-0.609659,0.766203,0.81038,0.95193,86.4758,25.5804,2854,1920,12921,10067,12651,8777,9862,0,0,1,0,80.8352,1.42109e-14,80.8352,80.8352
0,1,0.4,40,90.9354,188,28,0.484437,0.108581,0.469445,0.136208,1.947,0.146463,0.823235,0.0400306,1.94594,0.146935,0.823072,0.040179,0.991602,0.207287,0.842615,-0.609659,0.766203,0.81038,0.95193,86.4758,25.5804,3091,2107,14339,11248,14067,9887,11041,0,0,1,0,90.9354,2.84217e-14,90.9354,90.9354
0,1,0.4,40,101.038,191,28,0.484437,0.108581,0.469445,0.136208,1.947,0.146463,0.823235,0.0400306,1.94594,0.146935,0.823072,0.040179,0.988099,0.207287,0.842615,-0.609659,0.766203,0.81038,0.95193,86.4758,25.5804,3320,2282,15760,12440,15497,11008,12245,0,0,1,0,101.038,2.84217e-14,101.038,101.038
