dExpParam,dMutationStrength,dFracKilled,dMetabolicCost,gtime,popstock,popsize,bcnest_avg,bcnest_std,bcind_avg,bcind_std,nshan_avg,nshan_std,nsimp_avg,nsimp_std,ishan_avg,ishan_std,isimp_avg,isimp_std,relatedness,neutral_avg,neutral_std,int_avg,int_std,slope_avg,slope_std,cueabun_avg,cueabun_std,steal,sucsteal,leave,sucfor,rentry,sucrentr,sucfood,offprings_avg,offspring_std,offsimp,offshan,timealive_avg,timealive_std,maxtime_alive,mintime_alive
0.1,1,0.4,40,10.1223,5.05687,22,0.485571,0.110027,0.465927,0.143567,1.92379,0.114269,0.81923,0.0383954,1.9234,0.113608,0.819206,0.0381616,0.989617,0.0469696,1.11853,0.826197,0.729146,1.27981,0.873226,85.8043,18.8154,1610,545,2158,548,1909,296,503,0,0,1,0,10.1223,1.78E-15,10.1223,10.1223
0.1,1,0.4,40,20.2269,5.67178,10,0.470973,0.108837,0.428705,0.168736,1.93864,0.0829668,0.823609,0.0229259,1.93835,0.0834667,0.823567,0.022963,0.990621,-0.223801,0.787196,0.37971,0.42701,1.8777,0.583523,72.7923,16.8881,2098,565,2898,800,2646,417,745,0,0,1,0,20.2269,3.55E-15,20.2269,20.2269
0.1,1,0.4,40,30.3466,15.6649,7,0.459538,0.0987627,0.400663,0.178,1.98533,0.0481463,0.836232,0.014214,1.9848,0.0496694,0.836158,0.014301,0.993561,-0.217404,0.829058,0.162982,0.277017,2.04657,0.516437,76.7499,17.8182,2252,568,3295,1043,3044,587,979,0,0,1,0,30.3466,0,30.3466,30.3466
0.1,1,0.4,40,40.4559,24.3976,7,0.459538,0.0987627,0.400663,0.178,1.98533,0.0481463,0.836232,0.014214,1.9848,0.0496694,0.836158,0.014301,0.995675,-0.217404,0.829058,0.162982,0.277017,2.04657,0.516437,76.7499,17.8182,2358,577,3645,1287,3393,779,1223,0,0,1,0,40.4559,0,40.4559,40.4559
0.1,1,0.4,40,50.6042,12.1061,7,0.459538,0.0987627,0.400663,0.178,1.98533,0.0481463,0.836232,0.014214,1.9848,0.0496694,0.836158,0.014301,0.996357,-0.217404,0.829058,0.162982,0.277017,2.04657,0.516437,76.7499,17.8182,2450,582,4003,1553,3752,984,1488,0,0,1,0,50.6042,0,50.6042,50.6042
0.1,1,0.4,40,60.7086,19.7143,7,0.459538,0.0987627,0.400663,0.178,1.98533,0.0481463,0.836232,0.014214,1.9848,0.0496694,0.836158,0.014301,0.986022,-0.217404,0.829058,0.162982,0.277017,2.04657,0.516437,76.7499,17.8182,2560,591,4358,1798,4102,1171,1733,0,0,1,0,60.7086,0,60.7086,60.7086
0.1,1,0.4,40,70.8194,18.4855,7,0.459538,0.0987627,0.400663,0.178,1.98533,0.0481463,0.836232,0.014214,1.9848,0.0496694,0.836158,0.014301,0.998368,-0.217404,0.829058,0.162982,0.277017,2.04657,0.516437,76.7499,17.8182,2648,597,4700,2052,4444,1370,1990,0,0,1,0,70.8194,0,70.8194,70.8194
0.1,1,0.4,40,80.9301,16.2514,7,0.459538,0.0987627,0.400663,0.178,1.98533,0.0481463,0.836232,0.014214,1.9848,0.0496694,0.836158,0.014301,0.993603,-0.217404,0.829058,0.162982,0.277017,2.04657,0.516437,76.7499,17.8182,2752,605,5059,2307,4808,1571,2246,0,0,1,0,80.9301,1.42E-14,80.9301,80.9301
0.1,1,0.4,40,91.0311,15.778,7,0.459538,0.0987627,0.400663,0.178,1.98533,0.0481463,0.836232,0.014214,1.9848,0.0496694,0.836158,0.014301,0.995996,-0.217404,0.829058,0.162982,0.277017,2.04657,0.516437,76.7499,17.8182,2845,608,5405,2560,5150,1758,2492,0,0,1,0,91.0311,1.42E-14,91.0311,91.0311
0.1,1,0.4,40,101.142,18.5452,7,0.459538,0.0987627,0.400663,0.178,1.98533,0.0481463,0.836232,0.014214,1.9848,0.0496694,0.836158,0.014301,0.986505,-0.217404,0.829058,0.162982,0.277017,2.04657,0.516437,76.7499,17.8182,2921,612,5731,2810,5485,1951,2752,0,0,1,0,101.142,0,101.142,101.142
0.1,1,0.4,40,111.262,13.5592,7,0.459538,0.0987627,0.400663,0.178,1.98533,0.0481463,0.836232,0.014214,1.9848,0.0496694,0.836158,0.014301,0.992443,-0.217404,0.829058,0.162982,0.277017,2.04657,0.516437,76.7499,17.8182,3035,619,6103,3068,5845,2138,3002,0,0,1,0,111.262,1.42E-14,111.262,111.262
0.1,1,0.4,40,121.364,14.0981,7,0.459538,0.0987627,0.400663,0.178,1.98533,0.0481463,0.836232,0.014214,1.9848,0.0496694,0.836158,0.014301,0.997664,-0.217404,0.829058,0.162982,0.277017,2.04657,0.516437,76.7499,17.8182,3137,624,6457,3320,6209,2334,3260,0,0,1,0,121.364,1.42E-14,121.364,121.364
0.1,1,0.4,40,131.476,15.8959,7,0.459538,0.0987627,0.400663,0.178,1.98533,0.0481463,0.836232,0.014214,1.9848,0.0496694,0.836158,0.014301,0.996161,-0.217404,0.829058,0.162982,0.277017,2.04657,0.516437,76.7499,17.8182,3220,629,6791,3571,6544,2524,3508,0,0,1,0,131.476,0,131.476,131.476
0.1,1,0.4,40,141.684,22.101,7,0.459538,0.0987627,0.400663,0.178,1.98533,0.0481463,0.836232,0.014214,1.9848,0.0496694,0.836158,0.014301,0.989287,-0.217404,0.829058,0.162982,0.277017,2.04657,0.516437,76.7499,17.8182,3314,634,7134,3820,6880,2716,3757,0,0,1,0,141.684,2.84E-14,141.684,141.684
0.1,1,0.4,40,151.794,18.8589,7,0.459538,0.0987627,0.400663,0.178,1.98533,0.0481463,0.836232,0.014214,1.9848,0.0496694,0.836158,0.014301,0.997335,-0.217404,0.829058,0.162982,0.277017,2.04657,0.516437,76.7499,17.8182,3427,642,7503,4076,7252,2925,4016,0,0,1,0,151.794,0,151.794,151.794
0.1,1,0.4,40,161.925,19.1255,7,0.459538,0.0987627,0.400663,0.178,1.98533,0.0481463,0.836232,0.014214,1.9848,0.0496694,0.836158,0.014301,0.991842,-0.217404,0.829058,0.162982,0.277017,2.04657,0.516437,76.7499,17.8182,3535,646,7864,4329,7611,3128,4268,0,0,1,0,161.925,0,161.925,161.925
0.1,1,0.4,40,172.027,17.6801,7,0.459538,0.0987627,0.400663,0.178,1.98533,0.0481463,0.836232,0.014214,1.9848,0.0496694,0.836158,0.014301,0.992112,-0.217404,0.829058,0.162982,0.277017,2.04657,0.516437,76.7499,17.8182,3656,654,8239,4583,7989,3326,4523,0,0,1,0,172.027,2.84E-14,172.027,172.027
0.1,1,0.4,40,182.134,23.3418,7,0.459538,0.0987627,0.400663,0.178,1.98533,0.0481463,0.836232,0.014214,1.9848,0.0496694,0.836158,0.014301,0.990527,-0.217404,0.829058,0.162982,0.277017,2.04657,0.516437,76.7499,17.8182,3746,662,8576,4830,8320,3520,4763,0,0,1,0,182.134,0,182.134,182.134
0.1,1,0.4,40,192.269,19.7214,7,0.459538,0.0987627,0.400663,0.178,1.98533,0.0481463,0.836232,0.014214,1.9848,0.0496694,0.836158,0.014301,0.990054,-0.217404,0.829058,0.162982,0.277017,2.04657,0.516437,76.7499,17.8182,3840,670,8927,5087,8674,3714,5023,0,0,1,0,192.269,2.84E-14,192.269,192.269
0.1,1,0.4,40,202.37,7.48298,50,0.43151,0.183956,0.42375,0.19063,1.96019,0.0618165,0.834372,0.0138057,1.96104,0.062129,0.834443,0.0138728,0.995173,-0.0961834,1.24783,0.0974805,0.883752,1.19957,0.926016,78.1615,19.6911,4243,847,9874,5631,9388,4048,5482,0.86,2.59237,0.798269,1.74964,30.3436,69.4081,202.37,2.33932
0.1,1,0.4,40,212.472,6.03488,19,0.437038,0.187549,0.416281,0.204451,1.96168,0.0585969,0.835319,0.0122435,1.96238,0.0588553,0.835381,0.0122934,0.995907,0.309166,1.16544,0.636081,0.683262,1.72292,0.98599,75.9501,17.2802,5788,1402,11673,5885,11220,4249,5790,1.57895,2.8712,0.773333,1.62945,75.609,92.9803,212.472,12.4414
0.1,1,0.4,40,222.578,10.6849,8,0.43569,0.139103,0.386683,0.188413,1.993,0.0369949,0.839207,0.0119256,1.99359,0.0380793,0.839275,0.0119787,0.997124,0.0882159,1.21378,0.226966,0.165447,2.21063,0.514269,69.9219,14.3474,6126,1443,12259,6133,11805,4407,6019,2.375,2.17586,0.770083,1.53519,147.567,96.8395,222.578,22.5474
0.1,1,0.4,40,232.689,13.4506,8,0.43569,0.139103,0.386683,0.188413,1.993,0.0369949,0.839207,0.0119256,1.99359,0.0380793,0.839275,0.0119787,0.998227,0.0882159,1.21378,0.226966,0.165447,2.21063,0.514269,69.9219,14.3474,6274,1462,12657,6383,12198,4595,6267,2.375,2.17586,0.770083,1.53519,157.677,96.8395,232.689,32.658
0.1,1,0.4,40,242.803,12.2964,8,0.43569,0.139103,0.386683,0.188413,1.993,0.0369949,0.839207,0.0119256,1.99359,0.0380793,0.839275,0.0119787,0.99844,0.0882159,1.21378,0.226966,0.165447,2.21063,0.514269,69.9219,14.3474,6430,1471,13067,6637,12613,4788,6522,2.375,2.17586,0.770083,1.53519,167.791,96.8395,242.803,42.7719
0.1,1,0.4,40,252.919,12.2105,8,0.43569,0.139103,0.386683,0.188413,1.993,0.0369949,0.839207,0.0119256,1.99359,0.0380793,0.839275,0.0119787,0.99527,0.0882159,1.21378,0.226966,0.165447,2.21063,0.514269,69.9219,14.3474,6559,1479,13449,6890,12992,4974,6776,2.375,2.17586,0.770083,1.53519,177.908,96.8395,252.919,52.8884
0.1,1,0.4,40,263.035,18.0952,8,0.43569,0.139103,0.386683,0.188413,1.993,0.0369949,0.839207,0.0119256,1.99359,0.0380793,0.839275,0.0119787,0.994184,0.0882159,1.21378,0.226966,0.165447,2.21063,0.514269,69.9219,14.3474,6716,1490,13853,7137,13394,5167,7020,2.375,2.17586,0.770083,1.53519,188.023,96.8395,263.035,63.0038
0.1,1,0.4,40,273.135,16.6131,8,0.43569,0.139103,0.386683,0.188413,1.993,0.0369949,0.839207,0.0119256,1.99359,0.0380793,0.839275,0.0119787,0.995243,0.0882159,1.21378,0.226966,0.165447,2.21063,0.514269,69.9219,14.3474,6849,1504,14240,7391,13776,5352,7270,2.375,2.17586,0.770083,1.53519,198.124,96.8395,273.135,73.1045
0.1,1,0.4,40,283.238,9.17213,7,0.455722,0.141313,0.397089,0.199896,1.98527,0.032951,0.83752,0.011822,1.98593,0.0344354,0.837599,0.0118933,0.99679,0.228948,1.23502,0.21551,0.173876,2.12527,0.493923,66.0721,10.8022,6994,1514,14645,7651,14188,5554,7539,2.42857,2.32115,0.726644,1.33972,197.51,98.9896,283.238,83.2069
0.1,1,0.4,40,293.344,22.8315,7,0.455722,0.141313,0.397089,0.199896,1.98527,0.032951,0.83752,0.011822,1.98593,0.0344354,0.837599,0.0118933,0.998869,0.228948,1.23502,0.21551,0.173876,2.12527,0.493923,66.0721,10.8022,7109,1524,14999,7890,14535,5736,7768,2.42857,2.32115,0.726644,1.33972,207.617,98.9896,293.344,93.3133
0.1,1,0.4,40,303.485,15.3455,7,0.455722,0.141313,0.397089,0.199896,1.98527,0.032951,0.83752,0.011822,1.98593,0.0344354,0.837599,0.0118933,0.999091,0.228948,1.23502,0.21551,0.173876,2.12527,0.493923,66.0721,10.8022,7207,1528,15358,8151,14899,5937,8031,2.42857,2.32115,0.726644,1.33972,217.757,98.9896,303.485,103.454
0.1,1,0.4,40,313.6,20.2215,7,0.455722,0.141313,0.397089,0.199896,1.98527,0.032951,0.83752,0.011822,1.98593,0.0344354,0.837599,0.0118933,0.99513,0.228948,1.23502,0.21551,0.173876,2.12527,0.493923,66.0721,10.8022,7311,1537,15710,8399,15256,6122,8284,2.42857,2.32115,0.726644,1.33972,227.872,98.9896,313.6,113.569
0.1,1,0.4,40,323.732,19.5325,7,0.455722,0.141313,0.397089,0.199896,1.98527,0.032951,0.83752,0.011822,1.98593,0.0344354,0.837599,0.0118933,0.998967,0.228948,1.23502,0.21551,0.173876,2.12527,0.493923,66.0721,10.8022,7404,1544,16057,8653,15602,6317,8538,2.42857,2.32115,0.726644,1.33972,238.005,98.9896,323.732,123.701
0.1,1,0.4,40,333.849,21.4536,7,0.455722,0.141313,0.397089,0.199896,1.98527,0.032951,0.83752,0.011822,1.98593,0.0344354,0.837599,0.0118933,0.995659,0.228948,1.23502,0.21551,0.173876,2.12527,0.493923,66.0721,10.8022,7510,1554,16414,8904,15961,6516,8787,2.42857,2.32115,0.726644,1.33972,248.122,98.9896,333.849,133.818
0.1,1,0.4,40,343.952,12.0245,7,0.455722,0.141313,0.397089,0.199896,1.98527,0.032951,0.83752,0.011822,1.98593,0.0344354,0.837599,0.0118933,0.997479,0.228948,1.23502,0.21551,0.173876,2.12527,0.493923,66.0721,10.8022,7624,1560,16790,9166,16332,6717,9048,2.42857,2.32115,0.726644,1.33972,258.224,98.9896,343.952,143.921
0.1,1,0.4,40,354.052,17.5394,7,0.455722,0.141313,0.397089,0.199896,1.98527,0.032951,0.83752,0.011822,1.98593,0.0344354,0.837599,0.0118933,0.990898,0.228948,1.23502,0.21551,0.173876,2.12527,0.493923,66.0721,10.8022,7723,1569,17136,9413,16672,6905,9288,2.42857,2.32115,0.726644,1.33972,268.325,98.9896,354.052,154.022
0.1,1,0.4,40,364.167,18.4122,7,0.455722,0.141313,0.397089,0.199896,1.98527,0.032951,0.83752,0.011822,1.98593,0.0344354,0.837599,0.0118933,0.997128,0.228948,1.23502,0.21551,0.173876,2.12527,0.493923,66.0721,10.8022,7830,1578,17495,9665,17038,7103,9547,2.42857,2.32115,0.726644,1.33972,278.44,98.9896,364.167,164.136
0.1,1,0.4,40,374.274,20.0668,7,0.455722,0.141313,0.397089,0.199896,1.98527,0.032951,0.83752,0.011822,1.98593,0.0344354,0.837599,0.0118933,0.99834,0.228948,1.23502,0.21551,0.173876,2.12527,0.493923,66.0721,10.8022,7920,1588,17836,9916,17382,7294,9798,2.42857,2.32115,0.726644,1.33972,288.546,98.9896,374.274,174.243
0.1,1,0.4,40,384.376,13.6382,7,0.455722,0.141313,0.397089,0.199896,1.98527,0.032951,0.83752,0.011822,1.98593,0.0344354,0.837599,0.0118933,0.995488,0.228948,1.23502,0.21551,0.173876,2.12527,0.493923,66.0721,10.8022,8048,1593,18223,10175,17771,7494,10062,2.42857,2.32115,0.726644,1.33972,298.649,98.9896,384.376,184.346
0.1,1,0.4,40,394.489,15.4606,7,0.455722,0.141313,0.397089,0.199896,1.98527,0.032951,0.83752,0.011822,1.98593,0.0344354,0.837599,0.0118933,0.998774,0.228948,1.23502,0.21551,0.173876,2.12527,0.493923,66.0721,10.8022,8160,1603,18586,10426,18126,7674,10305,2.42857,2.32115,0.726644,1.33972,308.762,98.9896,394.489,194.458
0.1,1,0.4,40,404.59,2.83733,49,0.396704,0.20542,0.389149,0.20966,1.9643,0.0587432,0.836539,0.0139053,1.96619,0.0580888,0.836718,0.013919,0.994841,-0.375327,1.4238,0.0671162,0.80874,1.2574,1.09615,65.2016,10.5677,9096,2042,20069,10973,19381,8056,10850,1.22449,3.46566,0.816111,1.80849,49.4548,116.175,404.59,4.55349
0.1,1,0.4,40,414.695,7.45562,21,0.413824,0.185862,0.396053,0.199044,1.97997,0.0466165,0.838441,0.0134075,1.98116,0.0463723,0.838558,0.0133875,0.995475,0.244937,1.54361,0.608962,0.67304,1.78756,0.950457,65.8651,11.139,10380,2411,21601,11221,20923,8199,11090,2.85714,4.83327,0.816111,1.80849,119.428,158.807,414.695,14.6582
0.1,1,0.4,40,424.831,13.8566,8,0.419276,0.143438,0.372028,0.18689,1.99273,0.0500784,0.841799,0.0137789,1.99499,0.0510006,0.841991,0.0139003,0.998548,0.662395,1.29483,0.499615,0.561057,1.88344,0.466087,61.7601,12.1463,10816,2452,22284,11468,21616,8312,11315,5.125,6.27371,0.687686,1.2603,224.813,200.018,424.831,24.7943
0.1,1,0.4,40,434.953,17.9103,7,0.432832,0.129397,0.377189,0.186435,1.99773,0.0516405,0.841527,0.0147102,1.999,0.0531912,0.841611,0.0148144,0.99578,0.419359,1.20148,0.297873,0.184815,1.95968,0.449188,64.0645,11.2306,10934,2459,22651,11717,21985,8486,11563,5.85714,6.37918,0.687686,1.2603,263.509,197.967,434.953,34.9164
