dExpParam,dMutationStrength,dFracKilled,dMetabolicCost,gtime,tbirth,nest_id,neststock,mom_id,num_steal,num_sucsteal,num_forage,num_sucforage,num_rentry,num_sucrentry,num_raid,num_sucraid,num_actions,int,slope,offspring,neutral_gene,popavg_dist,cue0,cue1,cue2,cue3,cue4,cue5,cue6,cue7,cue8,cue9
0.1,1,0.4,40,50.1018,0,42,-0.283677,0,17,8,32,15,26,13,20,20,0,-0.706891,0.772794,0,-0.162103,0.452763,9.12517,8.65233,25.212,0.0207686,62.2815,4.4992,17.063,5.96589,7.93412,17.6993,
0.1,1,0.4,40,50.1018,0,9,-0.20196,0,19,9,37,18,32,14,18,18,0,-1.46155,2.39296,0,-0.211747,0.472993,22.8921,4.93379,12.2569,30.2817,21.626,8.57468,9.95998,1.00923,42.1959,0.516769,
0.1,1,0.4,40,50.1018,0,29,-0.997118,0,19,9,37,18,33,16,22,22,0,-1.26996,1.57608,0,-1.50986,0.387954,15.5074,18.6259,9.49979,33.2183,21.4809,0.37827,10.4906,7.85145,10.0176,16.0484,
0.1,1,0.4,40,50.1018,0,36,-0.2277,0,26,10,41,15,35,14,16,15,0,-1.31539,1.98642,0,0.0397995,0.466837,0.494293,15.0148,70.2102,8.99563,13.8377,5.15694,7.19892,7.47863,14.6244,16.5189,
0.1,1,0.4,40,50.1018,0,35,-0.0117572,0,21,10,45,24,39,0,20,0,0,1.26077,0.634367,0,-0.304038,0.470991,9.57181,17.1364,0.0551192,6.10599,9.83811,0.809567,30.0304,33.2541,25.7891,16.6617,
0.1,1,0.4,40,50.1018,0,30,-0.643503,0,23,11,38,15,34,14,21,21,0,-1.30955,-0.86217,0,0.727974,0.420667,2.74714,15.483,13.3278,5.53604,49.0191,5.03971,14.1875,4.77085,2.25656,17.3169,
0.1,1,0.4,40,50.1018,0,32,-0.176855,0,28,10,51,23,44,0,24,0,0,1.7997,2.27723,0,-0.273095,0.407686,26.3642,4.2294,6.70797,7.86085,31.1139,1.29719,13.414,30.842,2.18908,8.74371,
0.1,1,0.4,40,50.1018,0,33,-0.130615,0,29,12,42,13,37,6,25,18,0,0.25859,0.220558,0,-1.00807,0.227844,2.96859,8.20164,6.18214,11.1103,5.11559,21.2892,6.89209,7.75371,6.23432,7.69636,
0.1,1,0.4,40,50.1018,0,16,-0.148529,0,34,15,54,20,47,0,26,0,0,2.10138,1.44254,0,0.683789,0.401032,2.46874,3.83774,0.46444,10.175,24.6934,31.8914,9.93588,7.99438,13.7707,19.4589,
0.1,1,0.4,40,50.1018,0,1,-0.20115,0,22,9,54,32,50,1,32,0,0,0.763678,1.49679,0,0.528033,0.311144,5.86714,18.3516,6.73121,5.29434,9.87485,10.4478,6.87958,7.99746,30.4467,24.2411,
0.1,1,0.4,40,50.1018,0,40,-0.200171,0,28,12,54,26,48,23,28,27,0,-1.0476,2.22489,0,-0.865257,0.347191,7.45701,4.39251,11.9014,29.3932,0.231859,15.4285,8.34318,4.7568,16.8643,5.17055,
0.1,1,0.4,40,50.1018,0,18,-0.0289143,0,33,15,68,35,61,0,36,0,0,2.2168,1.23057,0,0.779346,0.365173,18.5807,4.11903,1.49522,5.96405,2.54751,2.75748,25.2931,17.1496,8.67002,10.5261,
0.1,1,0.4,40,50.1018,0,26,-0.168433,0,28,13,64,36,60,0,30,0,0,1.11602,1.74429,0,1.1654,0.368159,12.5453,13.5617,3.16723,18.73,6.51983,13.1378,22.86,6.00693,3.26039,2.09406,
0.1,1,0.4,40,50.1018,0,15,-0.0149174,0,32,14,65,33,60,32,32,30,0,-0.373057,0.839585,0,-0.182152,0.341834,3.19897,13.0703,7.73318,2.03412,13.4106,27.874,22.6861,8.08837,0.33666,9.9554,
0.1,1,0.4,40,50.1018,0,38,-0.138294,0,31,19,60,29,55,27,33,33,0,-1.19052,0.595422,0,-1.15503,0.272295,5.46328,10.6765,8.18006,1.54536,2.34106,6.5185,13.3163,14.1846,3.87975,17.2402,
0.1,1,0.4,40,50.1018,0,24,-0.0312122,0,34,8,66,32,62,1,27,0,0,0.934732,2.03222,0,1.11877,0.486558,1.20268,61.6672,7.35557,3.4135,8.97544,7.60185,3.21727,8.11847,0.161934,0.354566,
0.1,1,0.4,40,50.1018,0,50,-0.0770301,0,37,14,74,37,68,4,42,0,0,0.865661,0.919294,0,0.530726,0.519528,1.35829,22.9214,1.94565,18.8517,2.23197,3.19587,13.04,1.48444,27.3983,10.204,
0.1,1,0.4,40,50.1018,0,7,-0.130216,0,35,11,81,46,77,0,32,0,0,1.78035,0.878563,0,0.291299,0.406313,14.1746,1.12452,9.91344,3.11702,0.447599,34.3846,6.74991,3.40403,1.43189,4.89361,
0.1,1,0.4,40,50.1018,0,27,-0.532835,0,32,17,80,48,73,44,44,44,0,-0.857292,1.02229,0,0.209445,0.264475,14.8399,3.88736,14.4861,8.56882,1.84602,13.9883,0.40753,8.51592,9.09906,7.95598,
0.1,1,0.4,40,50.1018,0,11,-0.0971161,0,43,17,85,42,81,2,36,0,0,0.902997,1.27492,0,0.231901,0.444344,2.00529,8.54517,21.5656,10.0136,4.97977,1.0286,1.44125,25.5649,2.13408,4.56462,
0.1,1,0.4,40,50.1018,0,23,-0.0210653,0,45,14,83,38,76,33,38,30,0,-0.421066,1.53318,0,0.0427524,0.386388,5.35634,16.0118,7.88274,14.6964,4.60562,1.04293,1.40701,5.83654,15.0595,16.5008,
0.1,1,0.4,40,50.1018,0,25,-0.0150064,0,51,23,101,50,95,0,41,0,0,1.33284,1.96044,0,-0.0368633,0.343445,1.13761,9.51209,4.16126,16.7045,0.965668,1.34382,6.04733,8.39718,5.6764,9.95055,
0.1,1,0.4,40,50.1018,0,4,-0.146206,0,57,25,105,48,101,10,55,0,0,0.786915,1.36535,0,-0.123393,0.59034,0.92734,2.07053,12.1162,19.3561,1.08857,1.07031,2.95654,1.16485,40.9536,3.78355,
