dExpParam,dMutationStrength,dFracKilled,dMetabolicCost,gtime,popstock,popsize,bcnest_avg,bcnest_std,bcind_avg,bcind_std,nshan_avg,nshan_std,nsimp_avg,nsimp_std,ishan_avg,ishan_std,isimp_avg,isimp_std,relatedness,neutral_avg,neutral_std,int_avg,int_std,slope_avg,slope_std,cueabun_avg,cueabun_std,steal,sucsteal,leave,sucfor,rentry,sucrentr,sucfood,offprings_avg,offspring_std,offsimp,offshan,timealive_avg,timealive_std,maxtime_alive,mintime_alive
0.1,1,0.4,40,50.1018,49,21,0.519432,0.122958,0.497251,0.158897,1.88736,0.187085,0.801224,0.0524236,1.88762,0.187283,0.80126,0.0525251,0.994278,-0.0711709,1.10307,-0.165116,0.714914,1.40646,0.958792,75.5813,20.6719,3007,1203,7596,4589,7328,3285,4419,0,0,1,0,50.1018,0,50.1018,50.1018
0.1,1,0.4,40,100.203,49,18,0.504181,0.115675,0.47907,0.156448,1.90733,0.180305,0.805521,0.049314,1.90757,0.180441,0.805542,0.0494474,0.993797,0.0718136,1.12824,-0.318752,0.65396,1.52217,0.962331,78.1635,19.4376,4292,1795,12475,8183,12215,6348,8019,0,0,1,0,100.203,4.26326e-14,100.203,100.203
0.1,1,0.4,40,150.308,50,18,0.504181,0.115675,0.47907,0.156448,1.90733,0.180305,0.805521,0.049314,1.90757,0.180441,0.805542,0.0494474,0.988737,0.0718136,1.12824,-0.318752,0.65396,1.52217,0.962331,78.1635,19.4376,5473,2330,16998,11525,16726,9339,11356,0,0,1,0,150.308,2.84217e-14,150.308,150.308
0.1,1,0.4,40,200.413,50,50,0.499591,0.146133,0.490305,0.158643,1.87322,0.187032,0.79964,0.0496992,1.87487,0.186169,0.799823,0.0496474,0.995455,0.291441,1.4216,-0.192582,0.88245,1.3496,1.00531,74.887,20.1039,6653,2877,21626,14973,21258,12372,14755,0.64,1.07257,0.923828,2.63116,72.4126,96.0004,200.413,0.412343
0.1,1,0.4,40,250.517,49,23,0.518351,0.135423,0.498216,0.165585,1.87098,0.175681,0.798602,0.0481378,1.8714,0.176558,0.798595,0.0483597,0.993747,0.492878,1.27188,-0.268194,0.61784,1.76908,0.802055,71.8611,20.6444,10065,4311,29860,19795,29424,16196,19535,1.13043,1.22667,0.905325,2.41101,172.255,97.6089,250.517,50.5157
0.1,1,0.4,40,300.626,49,22,0.519741,0.137703,0.498588,0.168715,1.86844,0.179217,0.797721,0.0490377,1.86891,0.180129,0.797719,0.0492673,0.991689,0.536241,1.28373,-0.303105,0.609135,1.81654,0.787858,71.2901,20.93,11691,4901,35343,23652,34918,19653,23400,1.18182,1.2298,0.905325,2.41101,218.807,98.3336,300.626,100.625
