dExpParam,dMutationStrength,dFracKilled,dMetabolicCost,gtime,tbirth,nest_id,neststock,mom_id,num_steal,num_sucsteal,num_forage,num_sucforage,num_rentry,num_sucrentry,num_raid,num_sucraid,num_actions,int,slope,offspring,neutral_gene,popavg_dist,cue0,cue1,cue2,cue3,cue4,cue5,cue6,cue7,cue8,cue9
0.1,1,0.4,40,10.1062,0,31,-0.384212,0,17,8,23,6,16,6,25,25,0,-0.955131,1.43864,0,1.98287,0.408114,3.67237,1.53959,9.14752,23.3273,0.907411,2.21728,7.64033,9.62896,7.27753,17.5437,
0.1,1,0.4,40,10.1062,0,50,-0.440506,0,17,6,26,9,21,7,24,24,0,-0.121478,0.0507662,0,-0.489476,0.403127,9.84658,1.50464,3.12122,14.2128,5.18203,4.02478,11.5134,3.17415,2.99349,34.9108,
0.1,1,0.4,40,10.1062,0,6,-0.761589,0,18,10,26,8,23,8,21,21,0,-0.833301,0.250631,0,-1.67661,0.316291,1.9488,15.3681,20.0332,7.07677,9.81086,20.9964,11.4462,10.6623,12.367,21.4528,
0.1,1,0.4,40,10.1062,0,20,-0.710375,0,15,6,19,4,16,4,24,23,0,-0.0105293,0.0732935,0,0.84987,0.261516,7.03093,24.1627,5.44062,6.51871,7.49887,15.1891,13.8027,2.54393,2.20795,12.4202,
0.1,1,0.4,40,10.1062,0,1,-0.628319,0,19,10,24,5,21,5,24,24,0,-0.573654,0.475036,0,0.283932,0.32605,14.5845,1.43178,1.49558,4.95698,13.6451,25.3452,1.84447,2.94487,1.20538,6.77206,
0.1,1,0.4,40,10.1062,0,38,-0.145838,0,20,7,22,2,14,2,25,22,0,-0.615703,1.08785,0,0.601015,0.495747,1.2179,10.161,1.85597,34.4339,7.18525,0.484304,12.5044,0.0818861,0.231229,4.03751,
0.1,1,0.4,40,10.1062,0,8,-0.0759405,0,23,14,26,3,20,3,21,21,0,-1.1908,0.706476,0,-0.2718,0.158139,10.6911,2.22836,6.81843,6.51915,11.0384,11.8824,5.83929,9.81324,8.891,3.48948,
0.1,1,0.4,40,10.1062,0,19,-0.74685,0,22,7,28,6,21,6,22,22,0,-0.727561,0.250322,0,-1.1337,0.478139,1.53488,28.1216,2.11232,27.2847,18.8456,1.95501,2.03078,3.92373,7.28496,6.54061,
0.1,1,0.4,40,10.1062,0,39,-0.177868,0,19,11,28,9,26,8,27,22,0,-0.2929,1.1927,0,1.74761,0.336164,11.7312,0.925585,8.04325,4.89517,5.36982,11.0042,3.71705,26.132,27.7984,4.20035,
0.1,1,0.4,40,10.1062,0,21,-0.305763,0,24,9,32,8,27,8,16,14,0,-0.822665,1.76058,0,-1.06603,0.548041,4.62126,68.7238,6.59326,4.58601,5.73481,42.9838,1.99113,3.28092,2.07784,23.138,
0.1,1,0.4,40,10.1062,0,22,-0.685133,0,24,15,30,6,27,6,25,25,0,-0.988278,0.982005,0,0.180919,0.292205,8.23232,0.989814,4.84213,13.1655,3.30134,15.5935,6.39126,0.346033,3.36804,2.65314,
0.1,1,0.4,40,10.1062,0,23,-0.547726,0,21,9,29,8,23,8,19,19,0,-0.634729,-1.71091,0,-0.501377,0.288397,9.42549,12.5623,8.4245,13.2798,22.5988,18.3347,21.5611,3.1653,16.784,13.7781,
0.1,1,0.4,40,10.1062,0,10,-0.119129,0,18,9,23,5,18,4,21,16,0,-0.409807,1.0398,0,0.441147,0.473412,36.886,13.1446,38.2014,3.77875,29.6409,1.88885,22.4152,5.56055,9.11219,0.406434,
0.1,1,0.4,40,10.1062,0,14,-0.0545566,0,23,7,31,8,25,8,15,15,0,-1.40183,1.93491,0,-0.548241,0.426873,18.0461,11.6797,6.38992,7.98942,13.6307,39.5282,2.19603,20.9049,0.72457,40.6956,
0.1,1,0.4,40,10.1062,0,43,-0.574214,0,21,11,29,8,23,7,20,20,0,-1.11152,1.5407,0,0.453128,0.453209,7.37636,37.5625,8.00475,2.14786,32.3296,4.5765,2.58467,2.47498,8.90793,15.5249,
0.1,1,0.4,40,10.1062,0,12,-0.505377,0,29,13,35,6,30,6,26,17,0,-0.100244,1.10919,0,0.569233,0.4195,4.94191,20.5658,9.239,9.9331,3.93543,7.78027,0.0859113,2.59967,13.0574,39.7604,
0.1,1,0.4,40,10.1062,0,32,-0.140332,0,31,14,34,3,29,3,24,2,0,-0.265192,2.02998,0,2.13129,0.566103,6.74386,1.95568,3.47853,35.9474,21.8612,7.09714,9.06283,65.2111,39.6313,16.7987,
0.1,1,0.4,40,10.1062,0,13,-0.769045,0,29,11,37,8,29,8,21,21,0,-1.91233,1.52058,0,0.800573,0.286025,5.45671,6.53948,25.8885,3.48377,6.96833,10.4741,9.41997,1.75927,10.0165,17.2972,
0.1,1,0.4,40,10.1062,0,29,-0.733093,0,20,8,24,4,20,4,28,25,0,-0.091176,0.551991,0,-1.90217,0.434121,8.71947,3.65859,1.67282,5.01059,1.69557,1.23824,23.2265,4.22748,0.493545,4.35489,
0.1,1,0.4,40,10.1062,0,4,-0.499514,0,23,7,30,7,26,7,24,24,0,-1.22087,0.662995,0,0.473939,0.311824,10.0218,4.33357,6.48796,1.85259,3.09578,9.97158,0.126951,14.1202,13.2387,13.2149,
0.1,1,0.4,40,10.1062,0,36,-0.101263,0,28,14,33,5,28,5,21,21,0,-1.21607,-1.04247,0,-0.502556,0.268029,12.1596,0.665823,2.52352,5.10228,7.36031,5.40734,6.83836,15.3147,7.42426,11.8836,
0.1,1,0.4,40,10.1062,0,35,-0.473685,0,28,12,34,6,31,6,32,15,0,-0.0542273,1.16633,0,0.646814,0.370321,27.067,13.0478,20.8833,11.501,4.0729,1.95698,14.976,19.3669,12.6037,1.57606,
0.1,1,0.4,40,10.1062,0,16,-0.0719041,0,26,13,29,3,23,3,18,18,0,-2.34219,0.555514,0,0.417897,0.418318,14.9073,20.7423,19.6653,0.46259,1.3037,0.579986,2.04506,18.925,10.9897,7.30078,
0.1,1,0.4,40,10.1062,0,3,-0.0353026,0,29,17,35,6,28,3,26,12,0,0.466182,0.147253,0,0.143228,0.370329,24.5838,14.6956,18.246,21.3189,6.16968,3.92364,2.01958,3.7483,24.4954,8.37233,
0.1,1,0.4,40,10.1062,0,28,-0.0226879,0,39,14,43,4,35,0,29,0,0,1.13219,0.276775,0,-1.74827,0.549173,9.52089,0.309117,24.9796,29.362,0.211316,1.22711,11.2652,14.6053,12.2249,56.8595,
0.1,1,0.4,40,10.1062,0,44,-0.0811657,0,29,13,34,5,32,5,43,20,0,0.0687957,0.885155,0,-1.81623,0.440439,0.156283,2.0482,3.4191,2.59508,2.76094,6.725,7.76565,12.2493,13.4222,25.6073,
0.1,1,0.4,40,10.1062,0,17,-0.78418,0,32,13,39,7,34,7,24,24,0,-1.26284,0.70315,0,-0.78728,0.435636,2.19902,0.94967,1.73307,14.0233,11.8051,4.46955,1.14251,10.9487,11.536,1.39978,
0.1,1,0.4,40,10.1062,0,46,-0.0943456,0,38,7,47,9,42,9,47,14,0,-0.14434,1.27565,0,1.09422,0.55973,0.26518,37.9251,33.7196,7.10983,16.4751,4.94263,1.49672,9.45398,0.292806,1.57777,
0.1,1,0.4,40,10.1062,0,49,-0.0952034,0,31,9,39,8,34,0,32,0,0,1.05081,2.41397,0,1.18189,0.45628,7.24134,9.38812,5.57697,12.6581,11.0776,59.2367,3.45316,13.4573,5.50004,44.6547,
0.1,1,0.4,40,10.1062,0,2,-0.123884,0,38,11,44,6,40,5,48,14,0,0.173802,0.776747,0,-1.84739,0.545731,52.9454,0.265676,3.79489,0.288178,14.9831,3.54204,4.77861,0.131767,1.78694,13.633,
0.1,1,0.4,40,10.1062,0,42,-0.416356,0,35,13,42,7,42,5,26,21,0,0.203235,0.177688,0,-0.46064,0.33026,8.52371,16.4009,0.593081,3.06389,1.75119,2.50504,8.57568,4.39969,7.94877,2.39022,
0.1,1,0.4,40,10.1062,0,18,-0.180097,0,51,14,53,2,49,0,37,0,0,0.886757,0.783236,0,-0.534385,0.43384,5.56006,16.677,7.40893,4.63619,0.454651,4.39865,10.3243,24.1591,17.8955,32.3813,
0.1,1,0.4,40,10.1062,0,33,-0.00236536,0,46,12,52,6,48,0,61,0,0,1.81526,-0.176718,0,-0.0507576,0.455123,2.63007,1.73372,3.25553,4.74123,14.4808,22.9478,4.28872,27.8246,29.9378,13.6247,
0.1,1,0.4,40,10.1062,0,30,-0.808171,0,53,13,58,5,52,5,50,8,0,-0.581361,3.59664,0,2.02087,0.239731,8.76177,9.80983,2.98353,26.9731,6.31646,18.8199,8.35111,1.59961,11.286,8.83145,
0.1,1,0.4,40,20.2102,0,37,-0.0957531,0,49,18,54,5,49,5,43,14,0,-0.401289,1.99531,0,-1.93514,0.547138,1.30337,0.723537,1.20992,2.16241,20.168,10.5975,11.2202,8.66104,5.16186,17.3925,
0.1,1,0.4,40,20.2102,0,24,-0.0482773,0,60,10,66,6,59,0,51,0,0,1.51624,0.373849,0,0.733748,0.301776,19.0894,12.9281,16.4472,5.30135,1.49067,1.01261,26.712,5.14001,9.90342,2.51746,
0.1,1,0.4,40,20.2102,0,47,-0.11531,0,61,19,69,8,65,0,51,0,0,1.92083,0.0994848,0,-0.944206,0.593855,3.40766,7.58214,12.9455,13.9584,25.6671,0.0788488,2.46652,8.63261,12.9767,6.20407,
0.1,1,0.4,40,20.2102,0,26,-0.207442,0,56,17,65,9,60,3,44,0,0,0.700254,1.02137,0,0.00205567,0.467398,31.7491,9.00586,11.693,18.7482,6.40159,21.4709,5.27183,6.07941,0.663985,1.76658,
0.1,1,0.4,40,20.2102,0,34,-0.146179,0,59,14,66,7,61,7,63,13,0,-0.000827907,1.36047,0,0.440465,0.634786,0.785927,3.7165,4.4487,29.8087,0.00259683,20.0851,8.0567,1.70386,1.55653,5.45651,
0.1,1,0.4,40,20.2102,0,45,-0.122425,0,61,11,65,4,60,0,64,0,0,1.63809,1.45798,0,-0.128089,0.338467,42.8422,11.9062,5.83815,1.8625,4.83992,5.19542,12.3641,3.5997,11.2932,0.834677,
0.1,1,0.4,40,20.2102,0,48,-0.0730828,0,66,13,71,5,68,2,70,0,0,0.594546,2.15532,0,1.04683,0.529452,2.1581,3.21646,3.04575,5.45019,5.88014,27.1015,15.4375,6.41761,26.4965,2.39673,
0.1,1,0.4,40,20.2102,0,15,-0.162837,0,73,13,81,8,80,8,85,0,0,0.0810487,4.04773,0,0.684009,0.532531,4.41303,14.8808,12.7755,10.4361,0.054511,23.3343,15.5944,3.27007,6.9421,11.3569,
