iModelChoice,dMutationStrength,dFracKilled,dMetabolicCost,gtime,tbirth,nest_id,neststock,mom_id,num_steal,num_sucsteal,num_forage,num_sucforage,num_rentry,num_sucrentry,num_raid,num_sucraid,num_actions,int,slope,offspring,neutral_gene,popavg_dist,cue0,cue1,cue2,cue3,cue4,cue5,cue6,cue7,cue8,cue9
0,1,0.4,40,10.1059,0,48,-0.12396,0,20,11,38,18,35,16,23,23,0,-0.810686,-0.749292,0,-0.0530135,0.223792,14.5574,7.83738,13.5992,8.3277,1.61054,6.2914,32.8594,9.27745,12.7913,17.5463,
0,1,0.4,40,10.1059,0,33,-0.132707,0,16,6,31,15,25,4,12,0,0,0.805669,1.57085,0,-0.437201,0.508022,11.5123,65.5818,2.85394,45.3538,11.0554,23.7954,41.2628,9.76406,42.7358,6.6481,
0,1,0.4,40,10.1059,0,39,-0.076153,0,17,5,43,26,37,0,21,0,0,1.0356,1.22866,0,-0.924552,0.475103,29.8202,3.46555,0.417167,3.46882,10.4885,71.9911,15.5417,8.54661,7.37336,6.2064,
0,1,0.4,40,10.1059,0,34,-0.0823027,0,19,13,45,26,41,0,16,0,0,1.60816,1.76131,0,1.39663,0.501359,10.4313,14.6576,34.3643,13.1229,2.37952,19.41,1.36918,49.7741,0.00787909,0.489805,
0,1,0.4,40,10.1059,0,11,-0.43892,0,22,10,43,21,38,12,20,18,0,0.398041,-0.464911,0,1.86488,0.269573,22.7772,15.2119,11.9088,7.22328,9.14292,0.664025,6.08572,9.88369,27.6151,10.095,
0,1,0.4,40,10.1059,0,43,-0.130055,0,24,13,43,19,40,4,21,0,0,0.507908,1.04753,0,0.188977,0.415539,17.7882,58.8962,14.1863,1.20538,10.9518,11.2369,10.9606,36.3337,5.07408,8.87196,
0,1,0.4,40,10.1059,0,8,-0.176914,0,17,12,52,35,48,0,20,0,0,1.38114,-0.881156,0,0.165512,0.386049,2.23804,29.5675,34.8744,2.10819,7.53744,2.74057,10.2936,20.8293,10.7933,5.20507,
0,1,0.4,40,10.1059,0,19,-0.47926,0,20,11,48,28,41,23,31,26,0,0.0152504,0.234684,0,-0.779539,0.399394,18.6183,29.2947,12.7993,13.0355,20.5421,4.27188,1.19481,19.367,6.73724,0.630918,
0,1,0.4,40,10.1059,0,46,-0.540596,0,24,13,45,21,41,0,33,6,0,1.20951,-0.571811,0,0.62791,0.348926,8.37952,5.33734,0.049811,41.0895,0.27345,18.5205,7.53384,12.861,7.05185,12.7295,
0,1,0.4,40,20.2061,0,5,-0.0466164,0,23,11,65,42,57,11,27,0,0,0.769918,0.670139,0,0.630463,0.3968,10.8181,4.97638,3.23184,16.155,14.3566,5.49183,37.9809,2.15858,11.2893,41.6493,
0,1,0.4,40,20.2061,0,2,-0.022058,0,23,9,63,40,60,0,24,0,0,1.09329,0.797279,0,-0.587516,0.427654,12.7015,0.496716,22.6079,6.57342,13.7857,16.0924,24.0413,2.96218,0.817532,2.02367,
0,1,0.4,40,20.2061,0,36,-0.0473236,0,26,17,69,43,64,0,25,1,0,1.1247,-0.584168,0,-0.157073,0.314838,2.64041,4.84904,6.51887,6.29456,5.78206,13.6658,10.4982,9.75743,0.322666,30.2549,
0,1,0.4,40,20.2061,0,42,-0.138912,0,29,18,66,37,61,0,18,0,0,1.02173,1.69987,0,-1.11832,0.444637,8.88918,16.0716,4.37977,16.0917,0.131524,40.7765,3.05184,7.66025,0.259945,2.00955,
0,1,0.4,40,20.2061,0,49,-0.0637605,0,24,13,74,50,67,31,22,1,0,0.235574,1.63507,0,-0.543173,0.498573,12.5308,23.3694,10.8251,10.3753,1.99991,0.220088,30.8894,39.4639,3.14202,62.7205,
0,1,0.4,40,20.2061,0,38,-0.0238412,0,32,14,77,45,72,0,38,0,0,1.37159,-0.126027,0,-0.572498,0.247857,4.75777,9.97433,1.36515,11.1767,16.8022,5.96835,12.208,13.2114,7.52545,1.11059,
0,1,0.4,40,20.2061,0,22,-0.250962,0,27,13,86,59,78,54,28,28,0,-1.06659,0.797489,0,-0.605955,0.408957,25.2296,14.9151,20.4332,21.6886,26.438,2.36365,13.5243,24.5299,2.25934,5.01839,
0,1,0.4,40,20.2061,0,13,-0.0320975,0,34,21,95,61,86,0,33,0,0,1.30082,1.29797,0,-0.150984,0.264695,4.42434,2.66138,9.33578,1.88344,2.78753,13.0667,14.2834,3.64005,9.86315,7.28486,
0,1,0.4,40,20.2061,0,10,-0.470396,0,34,20,84,50,78,44,32,32,0,-0.337559,0.598172,0,1.32979,0.38227,9.25372,9.0745,2.2456,0.311088,0.507351,30.271,17.0794,2.96232,19.701,24.3551,
0,1,0.4,40,30.3069,0,17,-0.126278,0,35,19,111,76,105,26,35,0,0,0.710594,1.22261,0,-1.58432,0.272818,0.0441117,11.1046,14.7867,28.5472,7.46896,7.82162,10.0188,2.21285,23.5233,13.0476,
0,1,0.4,40,30.3069,0,25,-0.207582,0,45,25,137,92,132,34,27,0,0,0.572451,1.29186,0,-0.161905,0.287021,15.3563,23.4047,5.46199,16.8399,11.705,3.2526,7.15809,4.05321,16.3978,6.46962,
0,1,0.4,40,30.3069,0,26,-0.154812,0,38,28,137,99,134,21,47,0,0,0.790219,1.52078,0,-1.49317,0.300506,8.47164,10.157,2.60035,23.9857,2.41014,13.5296,11.5867,4.01689,6.00694,2.43147,
0,1,0.4,40,40.4197,0,41,-0.207962,0,47,32,173,126,170,91,24,20,0,0.242799,0.00610638,0,-0.239398,0.40374,0.77487,30.9136,11.3555,4.357,21.0982,22.7889,15.9474,11.8973,20.9741,0.210165,
