dExpParam,dMutationStrength,dFracKilled,dMetabolicCost,gtime,popstock,popsize,bcnest_avg,bcnest_std,bcind_avg,bcind_std,nshan_avg,nshan_std,nsimp_avg,nsimp_std,ishan_avg,ishan_std,isimp_avg,isimp_std,relatedness,neutral_avg,neutral_std,int_avg,int_std,slope_avg,slope_std,cueabun_avg,cueabun_std,steal,sucsteal,leave,sucfor,rentry,sucrentr,sucfood,offprings_avg,offspring_std,offsimp,offshan,timealive_avg,timealive_std,maxtime_alive,mintime_alive
0.1,1,0.4,40,50.1016,50,15,0.503477,0.116173,0.473703,0.163331,1.91338,0.176107,0.813163,0.0535713,1.91286,0.175101,0.813228,0.0531921,0.993609,-0.47925,1.05379,-0.46841,0.649811,1.69671,1.04434,89.9693,29.0304,2267,902,6213,3946,5931,2710,3754,0,0,1,0,50.1016,7.10543e-15,50.1016,50.1016
0.1,1,0.4,40,100.209,50,15,0.503477,0.116173,0.473703,0.163331,1.91338,0.176107,0.813163,0.0535713,1.91286,0.175101,0.813228,0.0531921,0.991288,-0.47925,1.05379,-0.46841,0.649811,1.69671,1.04434,89.9693,29.0304,3087,1314,9963,6876,9701,5403,6690,0,0,1,0,100.209,2.84217e-14,100.209,100.209
0.1,1,0.4,40,150.309,50,15,0.503477,0.116173,0.473703,0.163331,1.91338,0.176107,0.813163,0.0535713,1.91286,0.175101,0.813228,0.0531921,0.988679,-0.47925,1.05379,-0.46841,0.649811,1.69671,1.04434,89.9693,29.0304,3869,1696,13729,9860,13464,8144,9682,0,0,1,0,150.309,2.84217e-14,150.309,150.309
0.1,1,0.4,40,200.412,49,50,0.494715,0.159457,0.485711,0.170616,1.89359,0.164127,0.810639,0.0507091,1.89465,0.163123,0.810775,0.0504878,0.991423,-0.404667,1.09082,-0.250302,0.841639,1.04944,1.0633,86.102,28.3251,4760,2154,17616,12856,17253,10828,12634,0.7,1.44568,0.894694,2.35464,60.4119,91.6516,200.412,0.411878
0.1,1,0.4,40,250.513,50,23,0.527794,0.164353,0.507092,0.189982,1.83744,0.164702,0.795388,0.0564688,1.83859,0.163312,0.795589,0.0561183,0.992025,-0.230882,0.954126,-0.130587,0.458962,1.43557,0.947896,80.0155,25.8988,7972,3731,25706,17734,25266,14779,17456,1.17391,1.85688,0.847737,1.96411,128.774,97.6085,250.513,50.5129
0.1,1,0.4,40,300.614,50,22,0.522796,0.160688,0.501522,0.18762,1.84849,0.159846,0.798777,0.0554031,1.84927,0.158919,0.798864,0.0551867,0.987346,-0.2621,0.964013,-0.159461,0.44838,1.50296,0.91373,81.6822,25.2458,9648,4462,31281,21633,30832,18303,21349,1.22727,1.88129,0.847737,1.96411,182.432,98.3333,300.614,100.613
0.1,1,0.4,40,350.714,49,21,0.521102,0.158702,0.498872,0.186936,1.86033,0.1539,0.803883,0.0514023,1.86116,0.152793,0.803976,0.0511439,0.985791,-0.189983,0.926907,-0.177022,0.45148,1.54037,0.918618,80.4092,25.1406,11224,5088,36599,25375,36160,21636,25089,1.28571,1.90595,0.847737,1.96411,236.429,98.9744,350.714,150.714
0.1,1,0.4,40,400.819,50,50,0.499142,0.177112,0.489914,0.187063,1.86409,0.148699,0.807524,0.0464436,1.8659,0.147499,0.807666,0.0462957,0.99509,-0.117421,1.19903,-0.021735,0.768609,1.13434,1.07983,77.6331,22.2197,12824,5779,41965,29141,41410,24993,28811,1.12,2.07499,0.911352,2.5717,120.817,154.921,400.819,0.816199
0.1,1,0.4,40,450.922,50,26,0.482802,0.186922,0.466064,0.202997,1.89362,0.148669,0.81451,0.0458906,1.89516,0.147322,0.814653,0.0455625,0.992431,0.00648008,1.10204,-0.0305345,0.453619,1.59962,0.869515,75.7661,22.2157,16432,7194,50602,34170,49986,28898,33779,1.80769,2.41819,0.892712,2.37637,235.537,156.138,450.922,50.9194
0.1,1,0.4,40,501.027,50,24,0.497619,0.18354,0.478926,0.202553,1.87613,0.141307,0.810601,0.0456372,1.87783,0.140036,0.810761,0.0452989,0.990703,-0.0370818,1.03863,-0.0851725,0.429034,1.63964,0.893439,76.0242,23.0949,18348,7905,56701,38353,56095,32443,37967,1.95833,2.45763,0.892712,2.37637,301.026,152.754,501.027,101.024
0.1,1,0.4,40,551.13,50,24,0.497619,0.18354,0.478926,0.202553,1.87613,0.141307,0.810601,0.0456372,1.87783,0.140036,0.810761,0.0452989,0.987493,-0.0370818,1.03863,-0.0851725,0.429034,1.63964,0.893439,76.0242,23.0949,20165,8584,62638,42473,62038,35959,42090,1.95833,2.45763,0.892712,2.37637,351.129,152.754,551.13,151.127
0.1,1,0.4,40,601.232,50,50,0.479159,0.19362,0.470164,0.201503,1.87689,0.126475,0.811538,0.0419286,1.87922,0.125952,0.811752,0.0418026,0.98937,0.0303127,1.14046,-0.0785351,0.860761,1.28487,1.02012,71.442,19.3058,22164,9341,68798,46634,68091,39537,46217,1.46,2.71448,0.910865,2.66399,193.222,226.141,601.232,1.21322
0.1,1,0.4,40,651.333,50,30,0.490938,0.188616,0.476052,0.202949,1.87058,0.13261,0.810806,0.0430571,1.87284,0.131889,0.811032,0.0428165,0.992691,-0.197805,1.18061,-0.101919,0.494786,1.73789,0.738478,73.0258,20.8515,26453,11052,78648,52195,77892,44014,51732,2.4,3.1686,0.908565,2.6276,337.993,229.112,651.333,51.3142
0.1,1,0.4,40,701.442,50,28,0.499235,0.18776,0.483066,0.203765,1.8635,0.134285,0.808563,0.0437023,1.86562,0.133455,0.808795,0.0434526,0.995488,-0.147817,1.2064,-0.0719252,0.412409,1.73194,0.761421,73.622,21.4506,28954,11892,85732,56778,84985,48027,56323,2.5,3.24588,0.904082,2.57212,401.436,229.914,701.442,101.423
0.1,1,0.4,40,751.547,49,28,0.499235,0.18776,0.483066,0.203765,1.8635,0.134285,0.808563,0.0437023,1.86562,0.133455,0.808795,0.0434526,0.993401,-0.147817,1.2064,-0.0719252,0.412409,1.73194,0.761421,73.622,21.4506,31353,12676,92821,61468,92067,52095,61003,2.5,3.24588,0.904082,2.57212,451.541,229.914,751.547,151.529
0.1,1,0.4,40,801.647,49,50,0.495679,0.18742,0.486465,0.196395,1.85864,0.132604,0.806642,0.0420082,1.86096,0.131523,0.806917,0.0417229,0.996075,0.00118319,1.51382,0.135862,0.936634,1.47102,0.959115,71.8967,22.0632,33964,13548,100156,66192,99310,56173,65713,1.84,3.34281,0.913989,2.7137,281.635,302.003,801.647,1.62598
0.1,1,0.4,40,851.753,49,32,0.503339,0.185843,0.489022,0.200441,1.8555,0.132722,0.805384,0.0429748,1.85763,0.131898,0.805634,0.042701,0.994822,-0.0918043,1.40254,-0.171227,0.581479,1.67832,0.77087,72.3611,20.9511,37970,14953,109762,71792,108922,60651,71274,2.875,3.80583,0.913989,2.7137,482.995,278.887,851.753,51.732
0.1,1,0.4,40,901.857,50,32,0.503339,0.185843,0.489022,0.200441,1.8555,0.132722,0.805384,0.0429748,1.85763,0.131898,0.805634,0.042701,0.994625,-0.0918043,1.40254,-0.171227,0.581479,1.67832,0.77087,72.3611,20.9511,41067,16074,117742,76675,116906,64962,76176,2.875,3.80583,0.913989,2.7137,533.1,278.887,901.857,101.836
0.1,1,0.4,40,951.958,50,32,0.503339,0.185843,0.489022,0.200441,1.8555,0.132722,0.805384,0.0429748,1.85763,0.131898,0.805634,0.042701,0.995334,-0.0918043,1.40254,-0.171227,0.581479,1.67832,0.77087,72.3611,20.9511,44131,17160,125818,81687,124979,69339,81184,2.875,3.80583,0.913989,2.7137,583.2,278.887,951.958,151.937
0.1,1,0.4,40,1002.06,50,50,0.499788,0.208731,0.490486,0.216612,1.85398,0.13194,0.806008,0.0395539,1.85614,0.130415,0.806234,0.0392951,0.997358,-0.127093,1.76643,-0.0517309,0.700562,1.3854,0.966365,71.9667,18.598,47402,18280,134124,86722,133176,73731,86177,2.18,3.59271,0.92568,2.86276,378.044,374.475,1002.06,2.03355
0.1,1,0.4,40,1052.16,49,33,0.510605,0.201213,0.496415,0.214312,1.83596,0.141805,0.800608,0.0438112,1.83826,0.140223,0.800901,0.0434915,0.996969,-0.119593,1.68213,-0.139047,0.542423,1.71812,0.733519,71.5515,20.3638,51735,19788,143882,92147,142943,78281,91590,3.12121,4.05834,0.918465,2.76362,567.3,348.271,1052.16,52.1351
0.1,1,0.4,40,1102.26,49,31,0.510597,0.197294,0.495546,0.21156,1.84172,0.141241,0.802257,0.0433908,1.84403,0.139727,0.802529,0.0431066,0.99719,-0.151328,1.68161,-0.0806531,0.361683,1.7881,0.690517,71.5579,20.4286,54809,20777,151913,97104,150990,82634,96555,3.32258,4.10654,0.918465,2.76362,644.189,341.519,1102.26,102.24
0.1,1,0.4,40,1152.37,50,31,0.510597,0.197294,0.495546,0.21156,1.84172,0.141241,0.802257,0.0433908,1.84403,0.139727,0.802529,0.0431066,0.997366,-0.151328,1.68161,-0.0806531,0.361683,1.7881,0.690517,71.5579,20.4286,57732,21641,159661,101929,158725,86914,101370,3.32258,4.10654,0.918465,2.76362,694.291,341.519,1152.37,152.341
0.1,1,0.4,40,1202.47,50,50,0.504741,0.210021,0.495284,0.218023,1.855,0.13148,0.807125,0.0380711,1.85718,0.130183,0.807346,0.0378567,0.995292,-0.485737,1.72417,0.0018434,0.681041,1.34515,0.993466,75.5094,20.5935,60890,22600,167851,106961,166770,91291,106339,2.4,3.90384,0.927083,2.86445,446.449,451.302,1202.47,2.44058
0.1,1,0.4,40,1252.57,49,34,0.51385,0.209859,0.499922,0.222003,1.8429,0.133862,0.803848,0.0410313,1.84523,0.132494,0.804118,0.0407654,0.995943,-0.294877,1.74008,-0.0386141,0.349223,1.78816,0.643805,73.8849,19.9657,65137,23986,177562,112425,176494,95910,111794,3.44118,4.33312,0.923954,2.818,676.087,413.787,1252.57,52.545
0.1,1,0.4,40,1302.68,50,32,0.51439,0.214452,0.49958,0.226908,1.83811,0.135085,0.802718,0.0416452,1.84053,0.133734,0.803012,0.041375,0.995923,-0.188815,1.73872,-0.0667999,0.338208,1.81079,0.656995,72.6675,19.7543,68183,24876,185587,117404,184533,100333,116780,3.65625,4.37757,0.923954,2.818,765.163,395.097,1302.68,102.65
0.1,1,0.4,40,1352.78,50,31,0.514533,0.209568,0.499278,0.222852,1.83931,0.137079,0.802399,0.0422732,1.84169,0.135711,0.802693,0.0419981,0.997307,-0.154969,1.75614,-0.0812533,0.333751,1.7958,0.662102,72.08,19.7934,71159,25715,193386,122227,192346,104636,121601,3.77419,4.39728,0.923954,2.818,836.636,382.782,1352.78,152.752
0.1,1,0.4,40,1402.88,50,50,0.503074,0.214943,0.493462,0.222433,1.85255,0.132474,0.806266,0.0380765,1.85534,0.130938,0.806565,0.0378516,0.996685,-0.209476,1.99982,-0.0449256,0.516101,1.48873,1.00005,71.8204,17.4624,74337,26708,201485,127148,200343,108988,126494,2.74,4.26994,0.931429,2.88393,526.864,521.378,1402.88,2.85508
0.1,1,0.4,40,1452.98,50,36,0.503266,0.20631,0.490301,0.217428,1.85835,0.136579,0.806689,0.0406564,1.86084,0.13508,0.806957,0.0404284,0.997679,-0.145551,1.94389,-0.0359957,0.385346,1.82432,0.651232,71.0633,18.9297,78928,28211,211798,132870,210645,113798,132184,3.80556,4.6117,0.931429,2.88393,769.634,490.758,1452.98,52.9552
0.1,1,0.4,40,1503.09,49,33,0.51061,0.208309,0.496337,0.220721,1.84809,0.137869,0.80386,0.0411958,1.85048,0.13614,0.80413,0.0409506,0.996966,-0.28236,1.8166,-0.0982091,0.339327,1.85247,0.654515,71.5921,19.5002,82416,29219,220521,138105,219367,118404,137418,4.15152,4.66529,0.931429,2.88393,884.895,460.217,1503.09,103.064
0.1,1,0.4,40,1553.19,50,33,0.51061,0.208309,0.496337,0.220721,1.84809,0.137869,0.80386,0.0411958,1.85048,0.13614,0.80413,0.0409506,0.996316,-0.28236,1.8166,-0.0982091,0.339327,1.85247,0.654515,71.5921,19.5002,85651,30163,228851,143200,227705,122987,142513,4.15152,4.66529,0.931429,2.88393,934.995,460.217,1553.19,153.164
0.1,1,0.4,40,1603.29,50,50,0.514101,0.220862,0.504368,0.228492,1.82633,0.129473,0.798274,0.040603,1.82895,0.127939,0.798548,0.0404777,0.99792,-0.412472,2.10995,-0.190266,0.804256,1.44501,0.856241,71.7419,17.0865,89102,31227,237521,148419,236250,127611,147693,3,4.35431,0.937867,3.02775,611.272,594.599,1603.29,3.26403
