dExpParam,dMutationStrength,dFracKilled,dMetabolicCost,gtime,tbirth,nest_id,neststock,mom_id,num_steal,num_sucsteal,num_forage,num_sucforage,num_rentry,num_sucrentry,num_raid,num_sucraid,num_actions,int,slope,offspring,neutral_gene,popavg_dist,cue0,cue1,cue2,cue3,cue4,cue5,cue6,cue7,cue8,cue9
0.1,1,0.4,40,10.1006,0,35,-0.431975,0,11,4,20,9,15,8,25,25,0,-1.5113,1.7463,0,-0.459314,0.342481,30.3347,15.3446,17.0433,9.8901,6.1629,12.8762,0.41105,23.2773,2.30272,4.01334,
0.1,1,0.4,40,10.1006,0,27,-0.0412348,0,12,10,16,4,10,3,23,23,0,-2.00348,2.29657,0,-0.0463458,0.4372,2.1051,0.37525,22.2581,4.30159,21.7917,20.9931,0.538739,2.85603,18.1289,5.06285,
0.1,1,0.4,40,10.1006,0,25,-0.406747,0,13,9,20,7,16,7,21,21,0,-1.72154,1.06643,0,-0.8323,0.465085,7.62742,1.7069,16.5316,58.1611,3.53047,12.9845,2.09406,20.0284,13.5951,23.5398,
0.1,1,0.4,40,10.1006,0,45,-0.443849,0,17,7,23,6,19,1,11,11,0,0.758771,-1.46721,0,0.507487,0.477223,15.8352,22.765,13.8759,3.45232,20.3726,6.96822,62.7897,4.78489,33.013,0.137787,
0.1,1,0.4,40,10.1006,0,50,-0.19247,0,18,10,21,3,15,2,18,18,0,-0.212432,-0.597056,0,-0.381622,0.509126,1.7677,9.17372,44.3879,16.8815,0.655973,4.35877,40.1281,3.58693,4.54822,3.40281,
0.1,1,0.4,40,10.1006,0,26,-0.54321,0,25,16,31,6,27,5,19,19,0,-0.67925,0.470691,0,1.01572,0.472569,23.9594,6.31856,2.81715,3.48991,0.324462,29.7655,4.94485,8.19324,2.42063,17.4558,
0.1,1,0.4,40,10.1006,0,23,-0.293182,0,17,9,24,7,21,6,18,18,0,-0.540995,0.609951,0,-1.76311,0.432121,4.3122,2.81862,0.575541,10.8399,17.4061,44.9691,12.2709,10.2882,35.5281,9.64061,
0.1,1,0.4,40,10.1006,0,34,-0.817497,0,20,6,24,4,18,4,22,22,0,-1.38977,0.994431,0,0.483927,0.361648,8.79134,5.43403,1.8519,7.1755,17.4381,27.8814,13.2246,3.04786,1.78041,7.37051,
0.1,1,0.4,40,10.1006,0,15,-0.165845,0,18,10,25,7,21,6,24,23,0,0.0313133,-0.00112718,0,-0.554792,0.401822,25.5402,0.7286,6.50594,10.5511,4.7359,5.01134,16.9803,6.53429,1.61611,11.1237,
0.1,1,0.4,40,10.1006,0,33,-0.130178,0,19,13,31,12,29,12,26,26,0,-0.908914,-1.19493,0,-1.53714,0.548362,42.4285,5.21734,2.71777,2.73253,2.15813,5.31728,23.9232,0.902792,1.34204,6.81557,
0.1,1,0.4,40,10.1006,0,49,-0.0705082,0,23,9,29,6,23,6,18,18,0,-1.42017,1.98591,0,2.08647,0.371575,11.4906,0.331997,11.7428,2.37338,17.8327,30.8822,10.862,29.5537,9.31621,1.64905,
0.1,1,0.4,40,10.1006,0,20,-0.493935,0,22,11,30,8,25,8,18,18,0,-1.42202,0.192551,0,0.757437,0.428393,3.70655,10.1321,2.1903,9.1224,2.93559,16.2993,45.2515,21.0778,4.96859,26.0005,
0.1,1,0.4,40,10.1006,0,5,-0.107934,0,18,11,29,11,21,9,21,21,0,-0.642738,0.833093,0,1.03893,0.530755,2.29965,5.16523,33.4534,1.05705,0.782434,2.88421,2.89075,18.0652,12.1402,52.7388,
0.1,1,0.4,40,10.1006,0,40,-0.578869,0,15,11,26,11,23,11,27,27,0,-1.40871,1.17971,0,-0.895532,0.326095,19.2242,8.02089,12.15,10.875,3.14687,25.419,6.80902,5.86969,0.274524,6.46539,
