dExpParam,dMutationStrength,dFracKilled,dMetabolicCost,gtime,tbirth,nest_id,neststock,mom_id,num_steal,num_sucsteal,num_forage,num_sucforage,num_rentry,num_sucrentry,num_raid,num_sucraid,num_actions,int,slope,offspring,neutral_gene,popavg_dist,cue0,cue1,cue2,cue3,cue4,cue5,cue6,cue7,cue8,cue9
0.1,1,0.4,40,10.1016,0,49,-0.319762,0,16,6,20,4,17,4,17,17,0,-0.892728,0.542808,0,0.103292,0.51961,5.07896,12.4933,57.4475,17.1317,28.5456,4.26255,0.592504,15.1506,23.2364,3.61007,
0.1,1,0.4,40,10.1016,0,44,-0.0524141,0,12,4,17,5,13,5,24,24,0,-1.79122,0.852529,0,1.11136,0.496859,2.69038,27.2485,31.566,2.23932,15.2747,3.95588,3.40684,2.4348,4.31347,8.75554,
0.1,1,0.4,40,10.1016,0,45,-0.641623,0,19,8,26,7,18,1,21,18,0,0.747334,-1.32564,0,-0.415334,0.493753,3.43646,11.5428,44.9827,5.38844,2.50204,0.17385,2.11923,2.19586,13.5925,12.5737,
0.1,1,0.4,40,10.1016,0,32,-0.0971442,0,20,10,26,6,20,6,18,18,0,-0.652074,-0.156318,0,-0.243944,0.491325,2.75789,0.404248,5.33469,17.3973,7.4394,5.60325,5.50021,10.4662,85.4638,2.93357,
0.1,1,0.4,40,10.1016,0,25,-0.198324,0,19,8,25,6,19,5,23,18,0,-0.868723,1.8949,0,0.0165316,0.488686,14.5335,1.50899,8.49247,0.29499,4.58801,3.87854,4.29922,13.9129,19.5148,68.1722,
0.1,1,0.4,40,10.1016,0,1,-0.586438,0,20,11,24,4,16,4,19,19,0,-0.710908,-0.436915,0,0.566146,0.351495,5.83609,43.0979,1.64368,22.3831,7.59841,5.99337,9.46184,4.73575,18.571,13.3572,
0.1,1,0.4,40,10.1016,0,22,-0.0537306,0,24,11,32,8,28,8,20,20,0,-1.70901,-0.523128,0,-1.67758,0.335562,3.65877,23.6713,4.10341,32.3091,8.92666,5.1663,12.6612,2.58311,7.6753,8.18075,
0.1,1,0.4,40,10.1016,0,5,-0.670792,0,26,13,33,7,25,7,19,19,0,-0.0979786,-0.422733,0,0.748184,0.467708,23.7098,2.70633,7.52401,0.498761,22.7094,4.73753,2.28171,32.6355,18.1955,3.12452,
0.1,1,0.4,40,10.1016,0,39,-0.194301,0,24,12,34,10,27,10,17,17,0,-1.89141,1.53789,0,0.332241,0.440033,3.13203,36.3463,13.1729,36.5405,2.98076,13.6536,14.4171,9.37462,2.1463,18.0445,
0.1,1,0.4,40,10.1016,0,42,-0.46393,0,26,14,31,5,25,5,22,22,0,-1.6639,1.99577,0,1.92399,0.373322,0.264908,3.9247,5.84746,4.14996,0.0122675,14.7527,5.67785,24.0848,2.93627,14.7745,
0.1,1,0.4,40,10.1016,0,17,-0.889321,0,21,13,26,5,20,5,27,24,0,-0.159837,0.745851,0,0.675189,0.403168,1.84716,4.41082,12.474,4.11388,2.0879,14.3083,3.64185,2.85598,3.57961,26.5568,
0.1,1,0.4,40,10.1016,0,20,-0.567237,0,24,9,31,7,21,6,27,22,0,0.345369,-0.162776,0,-0.316887,0.347571,4.42907,3.79521,2.71769,7.74885,5.07181,9.40072,1.95446,26.7706,4.40098,26.2867,
0.1,1,0.4,40,10.1016,0,43,-0.103214,0,21,11,27,6,22,6,22,22,0,-0.831175,-0.851881,0,0.567395,0.336772,15.5975,20.5797,2.92631,14.289,6.3928,8.5965,5.6575,15.2088,1.16052,3.42599,
0.1,1,0.4,40,10.1016,0,23,-0.178015,0,20,7,27,7,19,7,26,26,0,-1.18724,0.315679,0,0.446696,0.318734,14.474,8.79896,10.5071,8.84605,1.48325,3.2476,5.22074,2.66682,5.82392,6.10682,
0.1,1,0.4,40,10.1016,0,33,-0.494137,0,23,14,30,7,26,6,21,17,0,0.157117,0.325217,0,0.216339,0.387255,11.355,10.1761,6.7982,0.82574,27.5903,8.95567,17.8032,5.07423,36.2701,5.34683,
