iModelChoice,dMutationStrength,dFracKilled,dMetabolicCost,gtime,tbirth,nest_id,neststock,mom_id,num_steal,num_sucsteal,num_forage,num_sucforage,num_rentry,num_sucrentry,num_raid,num_sucraid,num_actions,int,slope,offspring,neutral_gene,popavg_dist,cue0,cue1,cue2,cue3,cue4,cue5,cue6,cue7,cue8,cue9
0,1,0.4,40,232.366,200.004,62,-0.864351,1,55,36,135,80,129,77,52,52,0,-0.990307,-0.15573,0,1.06154,0.411052,15.3349,3.90251,0.242061,7.8326,25.9825,0.81954,1.6432,2.74661,23.2123,14.6716,
0,1,0.4,40,232.366,0,35,-0.142016,0,260,169,1093,833,1089,831,253,253,0,-0.625995,-0.808673,0,1.19017,0.449516,39.7191,3.30678,11.0004,27.6163,2.6995,11.6906,0.39422,1.58471,12.6278,9.99041,
0,1,0.4,40,232.366,200.004,60,-0.0970797,41,34,24,107,73,99,10,39,0,0,0.84335,0.520413,0,1.12392,0.330394,11.4035,0.386452,4.92791,18.5316,1.29928,8.34427,3.37792,4.80269,12.844,19.3147,
0,1,0.4,40,232.366,200.004,53,-0.0703821,42,48,33,126,78,120,10,42,0,0,0.907964,2.01438,0,-0.756135,0.267074,9.99343,8.80562,14.2449,4.10997,1.42324,0.972668,13.2844,3.3599,12.8212,2.33568,
0,1,0.4,40,232.366,200.004,65,-0.0461061,42,51,37,136,85,131,21,47,0,0,0.74248,1.02881,0,1.38721,0.285711,11.838,12.3078,13.3322,3.9967,3.39968,2.6155,15.3318,4.7477,17.2846,1.37515,
0,1,0.4,40,242.468,0,24,-0.21944,0,279,188,1231,952,1225,946,267,267,0,-1.51067,0.227369,0,-0.894772,0.520997,1.93489,9.76693,2.64569,0.402258,0.505139,3.57652,20.4558,4.86744,57.4362,23.7125,
0,1,0.4,40,404.107,0,1,48.8904,0,492,349,1948,1456,1945,1155,498,266,0,0.212458,0.482123,1,0.0670675,0.463858,14.9484,3.85365,0.627973,7.90338,26.2625,1.34926,1.31408,3.14997,22.272,14.1994,
0,1,0.4,40,404.107,0,6,61.5467,0,517,387,2023,1506,2018,1207,488,459,0,0.18479,-0.263892,0,-0.79093,0.315161,6.977,2.47972,5.85248,1.84174,12.9408,15.9893,2.51523,5.73847,3.58451,9.53761,
0,1,0.4,40,404.107,0,7,69.5575,0,485,331,1964,1479,1962,1478,494,491,0,-0.76734,1.09163,0,-0.19582,0.548009,17.4898,2.41156,14.8905,22.3488,16.6799,0.660895,1.22376,0.805087,15.0534,0.444801,
0,1,0.4,40,404.107,0,49,93.4019,0,536,335,1978,1442,1972,1438,496,496,0,-1.62907,0.430757,2,-1.23453,0.495229,0.406844,7.81723,1.39492,25.5136,0.991561,3.60836,1.06062,1.57938,5.81105,32.4289,
