dExpParam,dMutationStrength,dFracKilled,dMetabolicCost,gtime,tbirth,nest_id,neststock,mom_id,num_steal,num_sucsteal,num_forage,num_sucforage,num_rentry,num_sucrentry,num_raid,num_sucraid,num_actions,int,slope,offspring,neutral_gene,popavg_dist,cue0,cue1,cue2,cue3,cue4,cue5,cue6,cue7,cue8,cue9
0.1,1,0.4,40,50.1051,0,46,-0.209021,0,0,0,59,59,54,0,0,0,0,1.24543,0.868383,0,0.654665,0.354082,11.9981,20.9705,7.43687,20.3231,0.0970686,12.2993,14.3124,2.18511,0.882875,21.1871,
0.1,1,0.4,40,50.1051,0,7,-0.060565,0,0,0,49,49,43,0,0,0,0,1.09004,1.36616,0,0.915545,0.478887,4.05927,13.9153,33.7892,1.09382,17.0363,22.5971,0.897234,34.8128,5.68631,2.82774,
0.1,1,0.4,40,50.1051,0,28,-0.245057,0,0,0,50,50,43,0,0,0,0,1.26545,0.513986,0,-0.169524,0.419761,9.13939,21.7809,14.3241,1.57817,20.4983,0.487225,2.58031,6.58208,15.6689,43.1407,
0.1,1,0.4,40,50.1051,0,30,-0.00722406,0,0,0,50,50,44,0,0,0,0,2.87756,1.94474,0,0.69142,0.256515,10.4218,10.2484,33.2008,11.3395,10.8212,5.33894,13.0468,15.2974,4.58865,18.7177,
0.1,1,0.4,40,50.1051,0,3,-0.135562,0,0,0,66,66,60,0,0,0,0,1.13249,0.657505,0,1.07756,0.241803,9.94343,5.90362,0.57963,13.1569,7.14332,25.7946,12.1275,8.09638,4.63397,12.7578,
0.1,1,0.4,40,50.1051,0,47,-0.132171,0,0,0,68,68,65,0,0,0,0,1.26303,0.770486,0,-0.468484,0.389536,2.43267,18.4742,0.348864,18.4985,14.4696,21.8695,4.82515,1.3861,10.8039,1.6192,
0.1,1,0.4,40,50.1051,0,36,-0.0806133,0,0,0,79,79,71,0,0,0,0,2.48182,2.37647,0,-0.0680985,0.488266,20.2369,3.10565,0.185588,6.59709,0.998295,26.3499,19.738,2.5463,0.983506,3.07827,
0.1,1,0.4,40,50.1051,0,42,-0.0679862,0,0,0,84,84,79,0,0,0,0,1.97656,0.463216,0,1.06688,0.235797,0.556298,5.03576,0.673257,11.4799,7.65505,5.11781,13.3117,6.28716,17.8105,9.25219,
0.1,1,0.4,40,50.1051,0,12,-0.0754134,0,0,0,88,88,80,2,0,0,0,0.91501,-0.0341353,0,2.3806,0.367834,9.31777,5.50857,14.2578,3.60849,0.84187,1.03214,7.27443,0.705828,8.49712,29.7306,
0.1,1,0.4,40,50.1051,0,44,-0.0692015,0,0,0,110,110,103,8,0,0,0,0.945612,0.833,0,-0.696726,0.295082,3.91608,4.82661,23.8976,2.78425,8.58328,5.07087,14.3086,8.21796,4.11448,2.04055,
0.1,1,0.4,40,50.1051,0,27,-0.0540914,0,0,0,110,110,106,24,0,0,0,0.737206,0.935544,0,-0.447905,0.42433,6.71393,0.326169,6.61916,63.8394,6.87539,10.2615,1.69299,8.98507,6.93773,1.42266,
0.1,1,0.4,40,50.1051,0,41,-0.0757991,0,0,0,201,201,196,49,0,0,0,0.734924,1.28562,0,-0.36937,0.487244,2.06693,6.16562,3.13094,0.776422,13.1151,34.9202,23.9865,2.42799,2.5291,4.26179,
0.1,1,0.4,40,100.207,0,5,-0.191314,0,0,0,477,477,473,262,0,0,0,0.472648,0.64395,0,1.86448,0.291235,9.50733,7.41921,7.35627,10.8486,18.4576,31.0653,16.9268,14.8864,27.9753,6.74332,
0.1,1,0.4,40,200.407,0,1,23.0898,0,0,0,983,983,979,206,0,0,0,0.798169,0.755662,0,-1.59347,0.314906,4.34067,2.49541,7.71819,12.7765,2.88549,3.69871,6.3025,11.0056,1.35793,0.415701,
0.1,1,0.4,40,200.407,0,38,360.735,0,0,0,961,961,954,730,0,0,0,0.229108,1.60839,0,-1.40721,0.334084,8.2204,0.226389,2.46953,10.4935,6.72896,5.07455,12.2787,18.0535,35.0589,4.33783,
0.1,1,0.4,40,200.407,0,49,345.147,0,0,0,1006,1006,1000,1000,0,0,0,-0.637448,0.314049,0,0.0018472,0.360764,7.62704,20.7745,28.9956,15.2767,17.0245,4.37784,15.092,32.393,18.4503,9.467,
0.1,1,0.4,40,200.407,0,15,292.016,0,0,0,980,980,975,975,0,0,0,-0.104345,-1.47687,0,1.18867,0.572013,48.6757,68.8524,5.16894,1.19291,16.9763,6.78524,6.13658,10.4597,16.5703,0.276406,
0.1,1,0.4,40,200.407,0,34,180.076,0,0,0,1004,1004,1000,544,0,0,0,0.467073,0.646594,0,1.38231,0.464089,19.1261,7.45784,1.68511,21.7938,0.0843398,3.34778,0.575576,1.4258,31.4344,10.1161,
0.1,1,0.4,40,200.407,0,35,296.21,0,0,0,1020,1020,1014,616,0,0,0,0.368845,1.08397,0,0.49326,0.513546,0.209915,3.48955,4.0236,7.32878,2.9259,37.2251,1.82306,1.23695,22.074,4.42072,
0.1,1,0.4,40,200.407,0,39,382.724,0,0,0,990,990,985,985,0,0,0,-1.29945,0.268885,0,-0.516701,0.46209,9.736,12.9335,30.7843,58.5324,2.58123,13.8042,6.77219,0.349686,20.1968,3.13735,
