iModelChoice,dMutationStrength,dFracKilled,dMetabolicCost,gtime,popstock,popsize,bcnest_avg,bcnest_std,bcind_avg,bcind_std,nshan_avg,nshan_std,nsimp_avg,nsimp_std,ishan_avg,ishan_std,isimp_avg,isimp_std,relatedness,neutral_avg,neutral_std,int_avg,int_std,slope_avg,slope_std,cueabun_avg,cueabun_std,steal,sucsteal,leave,sucfor,rentry,sucrentr,sucfood,offprings_avg,offspring_std,offsimp,offshan,timealive_avg,timealive_std,maxtime_alive,mintime_alive
0,1,0.4,40,10.1059,281,41,0.492687,0.111428,0.482032,0.131274,1.93185,0.163908,0.817673,0.0468869,1.93158,0.16387,0.817634,0.0469448,0.984479,-0.100291,0.870119,-0.236247,1.00715,0.836468,0.759066,100.514,29.4247,1067,564,2562,1495,2306,897,1343,0,0,1,0,10.1059,3.55271e-15,10.1059,10.1059
0,1,0.4,40,20.2061,278,32,0.490732,0.11444,0.477262,0.138436,1.92594,0.172638,0.814537,0.0499021,1.9254,0.172625,0.814456,0.0499798,0.988056,-0.0730214,0.909741,-0.474987,0.930049,0.859669,0.770103,95.6225,24.1945,1469,834,4322,2853,4065,1939,2669,0,0,1,0,20.2061,3.55271e-15,20.2061,20.2061
0,1,0.4,40,30.3069,264,29,0.501208,0.113912,0.485994,0.141283,1.91129,0.174298,0.810532,0.0506687,1.91075,0.174264,0.810449,0.0507491,0.990342,0.031128,0.868228,-0.595616,0.893545,0.809454,0.791097,94.6914,24.8177,1731,1022,5885,4154,5635,3052,3958,0,0,1,0,30.3069,0,30.3069,30.3069
0,1,0.4,40,40.4197,267,27,0.49822,0.115198,0.481999,0.143694,1.91232,0.17827,0.809965,0.0516308,1.9117,0.178254,0.809875,0.0517154,0.988656,0.0610541,0.891826,-0.669591,0.881088,0.851317,0.801609,92.8813,24.0993,1948,1183,7252,5304,7005,4079,5122,0,0,1,0,40.4197,0,40.4197,40.4197
0,1,0.4,40,50.52,258,27,0.49822,0.115198,0.481999,0.143694,1.91232,0.17827,0.809965,0.0516308,1.9117,0.178254,0.809875,0.0517154,0.988622,0.0610541,0.891826,-0.669591,0.881088,0.851317,0.801609,92.8813,24.0993,2146,1334,8635,6489,8371,5142,6288,0,0,1,0,50.52,7.10543e-15,50.52,50.52
0,1,0.4,40,60.6277,235,27,0.49822,0.115198,0.481999,0.143694,1.91232,0.17827,0.809965,0.0516308,1.9117,0.178254,0.809875,0.0517154,0.988293,0.0610541,0.891826,-0.669591,0.881088,0.851317,0.801609,92.8813,24.0993,2318,1468,9989,7671,9731,6205,7462,0,0,1,0,60.6277,1.42109e-14,60.6277,60.6277
0,1,0.4,40,70.7278,218,27,0.49822,0.115198,0.481999,0.143694,1.91232,0.17827,0.809965,0.0516308,1.9117,0.178254,0.809875,0.0517154,0.994046,0.0610541,0.891826,-0.669591,0.881088,0.851317,0.801609,92.8813,24.0993,2541,1631,11377,8836,11114,7253,8631,0,0,1,0,70.7278,0,70.7278,70.7278
0,1,0.4,40,80.8352,228,27,0.49822,0.115198,0.481999,0.143694,1.91232,0.17827,0.809965,0.0516308,1.9117,0.178254,0.809875,0.0517154,0.989538,0.0610541,0.891826,-0.669591,0.881088,0.851317,0.801609,92.8813,24.0993,2752,1804,12720,9968,12456,8262,9765,0,0,1,0,80.8352,4.26326e-14,80.8352,80.8352
0,1,0.4,40,90.9475,212,27,0.49822,0.115198,0.481999,0.143694,1.91232,0.17827,0.809965,0.0516308,1.9117,0.178254,0.809875,0.0517154,0.985958,0.0610541,0.891826,-0.669591,0.881088,0.851317,0.801609,92.8813,24.0993,2937,1934,14071,11134,13821,9312,10937,0,0,1,0,90.9475,0,90.9475,90.9475
0,1,0.4,40,101.052,188,27,0.49822,0.115198,0.481999,0.143694,1.91232,0.17827,0.809965,0.0516308,1.9117,0.178254,0.809875,0.0517154,0.990372,0.0610541,0.891826,-0.669591,0.881088,0.851317,0.801609,92.8813,24.0993,3137,2091,15451,12314,15187,10362,12115,0,0,1,0,101.052,2.84217e-14,101.052,101.052
