dExpParam,dMutationStrength,dFracKilled,dMetabolicCost,gtime,tbirth,nest_id,neststock,mom_id,num_steal,num_sucsteal,num_forage,num_sucforage,num_rentry,num_sucrentry,num_raid,num_sucraid,num_actions,int,slope,offspring,neutral_gene,popavg_dist,cue0,cue1,cue2,cue3,cue4,cue5,cue6,cue7,cue8,cue9
0.1,1,0.4,40,10.1042,0,11,-0.0527606,0,12,7,14,2,9,1,19,19,0,-0.135097,0.304232,0,-1.33037,0.40866,2.75617,0.142707,25.9544,45.9777,8.35737,10.3665,10.3844,9.00541,30.0213,12.4628,
0.1,1,0.4,40,10.1042,0,14,-0.184773,0,10,5,17,7,11,6,26,26,0,-1.53219,1.90205,0,-1.19894,0.390633,18.734,5.02928,2.76081,2.48233,16.5432,1.83179,18.8607,16.728,9.53238,0.643495,
0.1,1,0.4,40,10.1042,0,35,-0.0543642,0,22,10,29,7,23,7,21,21,0,-0.845712,0.909224,0,-1.49519,0.384741,1.15142,43.7801,15.9854,10.5146,7.17003,6.84172,0.442359,1.78514,9.83767,9.56487,
0.1,1,0.4,40,10.1042,0,3,-0.875386,0,20,15,25,5,21,5,26,25,0,-0.242143,0.509044,0,-0.585139,0.386138,0.295936,10.9159,7.19974,1.92613,4.62293,6.82458,5.02803,0.114876,25.9708,1.05718,
0.1,1,0.4,40,10.1042,0,23,-0.0194899,0,21,8,27,6,23,5,18,18,0,-0.853502,-0.612653,0,-0.0402281,0.528489,1.84344,14.4291,13.094,3.24543,1.23288,48.0198,1.01975,0.206118,33.2583,3.98134,
0.1,1,0.4,40,10.1042,0,17,-0.862764,0,20,9,31,11,28,10,25,25,0,-1.19339,0.829132,0,-0.582448,0.417999,5.05456,15.7023,29.8,7.2576,17.442,1.6156,6.35906,4.72291,0.0140452,4.91241,
0.1,1,0.4,40,10.1042,0,26,-0.0299606,0,22,7,28,6,21,6,19,19,0,-0.424278,-0.51783,0,-0.400718,0.482302,34.5972,39.2312,3.12039,4.90943,0.148185,1.32275,5.21002,4.40396,8.84254,21.6308,
0.1,1,0.4,40,10.1042,0,40,-0.133376,0,18,7,26,8,21,8,20,20,0,-0.215017,0.0248021,0,0.381933,0.495802,7.35107,28.9773,25.1777,17.086,11.1302,0.321548,0.578221,36.3881,1.30609,11.8868,
0.1,1,0.4,40,10.1042,0,8,-0.371456,0,21,10,30,9,28,9,25,25,0,-1.22,1.03466,0,-0.158097,0.305729,3.45732,18.5485,11.1527,4.13984,3.25879,4.77561,11.3928,2.86563,4.62434,16.9889,
0.1,1,0.4,40,10.1042,0,39,-0.0912097,0,24,10,30,6,25,5,20,20,0,-1.32159,1.2394,0,0.808525,0.531825,12.5288,3.137,0.885826,37.9255,22.1468,4.84716,7.54111,0.347802,2.15922,1.00199,
0.1,1,0.4,40,10.1042,0,32,-0.430257,0,27,9,34,7,30,7,26,19,0,-0.221069,0.915907,0,0.499158,0.453438,3.7833,5.0205,8.40592,14.8812,15.6772,2.62966,44.9388,5.77632,3.72914,0.830406,
0.1,1,0.4,40,10.1042,0,45,-0.553289,0,25,13,32,7,26,7,20,20,0,-1.94041,0.89524,0,-0.893145,0.506181,7.39737,2.71164,9.4004,37.1291,15.9893,3.02321,28.294,0.477143,2.08934,1.87174,
0.1,1,0.4,40,10.1042,0,31,-0.947266,0,23,12,33,10,28,10,36,23,0,0.0713674,0.58905,0,2.28487,0.466131,0.832102,4.61954,20.7602,0.863179,6.75228,0.0461987,40.4175,3.12423,13.6968,15.1979,
0.1,1,0.4,40,10.1042,0,48,-0.050594,0,28,9,38,10,30,10,25,25,0,-1.13332,1.72068,0,-0.257426,0.335773,11.4629,0.187084,6.26348,5.89795,7.79078,25.2088,5.47544,1.07571,4.61974,6.54443,
0.1,1,0.4,40,10.1042,0,36,-0.0943319,0,26,11,30,4,24,4,22,22,0,-0.878499,1.13859,0,-0.804634,0.452741,23.0593,2.31097,0.305712,2.09539,8.62461,1.46978,16.7581,6.10299,3.12963,2.0286,
0.1,1,0.4,40,10.1042,0,46,-0.158812,0,21,8,29,8,26,8,30,27,0,-0.241842,0.605923,0,0.490136,0.436848,16.4314,0.949588,10.341,10.1636,2.27535,0.904691,4.5077,1.27721,4.37311,5.45064,
0.1,1,0.4,40,10.1042,0,4,-0.401879,0,22,9,31,9,29,8,30,23,0,-0.949132,1.67965,0,-1.36417,0.624001,0.647261,0.269399,2.42684,0.14857,4.44528,2.54867,2.09065,55.0322,18.0572,1.24581,
0.1,1,0.4,40,10.1042,0,37,-0.172507,0,34,16,41,7,34,6,19,18,0,0.021429,0.121488,0,-1.45439,0.258757,11.4953,5.41327,6.95578,7.90951,13.677,12.9342,18.6601,7.19041,2.33915,1.55167,
0.1,1,0.4,40,10.1042,0,50,-0.153242,0,23,9,33,10,29,10,28,19,0,-0.0442052,0.643769,0,-2.06131,0.459549,7.89634,9.48575,48.842,0.607229,2.55747,0.0551324,27.2932,18.4166,5.93012,9.38427,
0.1,1,0.4,40,10.1042,0,5,-0.309947,0,24,8,30,6,25,5,38,19,0,0.205541,0.792097,0,1.54671,0.316329,13.8335,7.17465,7.47566,16.119,6.43051,5.53901,22.7553,17.8444,2.06439,4.34408,
0.1,1,0.4,40,10.1042,0,9,-0.682813,0,31,10,40,9,33,1,30,9,0,0.715936,0.30299,0,-0.1612,0.314508,3.53173,5.8999,4.54737,7.56092,21.503,10.9475,26.6686,12.3187,4.77588,23.747,
0.1,1,0.4,40,10.1042,0,34,-0.152192,0,25,14,32,7,26,4,28,18,0,0.403615,0.00959564,0,-1.21568,0.328951,18.9804,12.5634,0.200245,4.61918,15.1977,10.5112,23.243,7.52872,0.120792,3.7072,
0.1,1,0.4,40,10.1042,0,13,-0.24954,0,34,12,45,11,40,0,26,0,0,1.36985,1.14287,0,2.2046,0.383823,17.1099,22.275,15.2126,13.8155,10.7266,6.94068,24.4029,29.6087,3.72049,5.20531,
0.1,1,0.4,40,10.1042,0,6,-0.774582,0,30,9,40,10,35,7,29,22,0,0.203332,0.159324,0,0.766524,0.238425,3.95719,9.84129,9.99858,1.5942,3.23815,7.31591,17.4783,0.288444,10.702,7.93652,
0.1,1,0.4,40,10.1042,0,21,-0.121564,0,38,12,50,12,44,12,30,30,0,-1.85005,1.2542,0,-0.713555,0.433763,3.6694,0.3194,4.62611,10.7964,5.09607,2.42672,2.48636,3.13875,4.16259,1.19495,
0.1,1,0.4,40,10.1042,0,33,-0.0286663,0,33,12,44,11,41,9,41,18,0,0.208201,0.884056,0,2.11283,0.267042,15.639,7.03931,20.0525,6.65753,2.85574,5.2524,12.4354,8.77654,13.1033,2.82012,
0.1,1,0.4,40,10.1042,0,38,-0.0381661,0,41,15,47,6,42,0,43,0,0,2.11758,1.21326,0,-0.593079,0.322366,10.0885,11.878,1.00745,4.37423,21.6682,26.2444,16.6645,9.04212,32.6969,7.01001,
0.1,1,0.4,40,20.207,0,2,-0.159623,0,37,12,45,8,41,6,35,0,0,0.372018,1.808,0,-0.288948,0.632297,20.3675,32.7542,4.29437,35.0853,17.2893,52.0278,13.0779,2.4046,2.45808,1.8102,
0.1,1,0.4,40,20.207,0,42,-0.231267,0,49,13,57,8,52,0,53,0,0,1.3516,1.97243,0,-0.767725,0.443104,1.25514,28.5913,18.8706,2.11136,5.81737,4.87915,24.1168,10.6001,6.7742,12.8343,
0.1,1,0.4,40,20.207,0,43,-0.0168786,0,54,11,63,9,58,0,51,0,0,0.925421,1.54055,0,-0.282958,0.4205,1.22216,4.61704,4.52556,21.8382,7.75632,4.18654,35.5173,16.2952,6.228,1.32802,
0.1,1,0.4,40,20.207,0,27,-0.167922,0,48,18,65,17,60,0,46,0,0,1.89402,0.0977425,0,-1.09822,0.342875,0.772349,18.5128,4.81135,11.3538,3.57742,3.4402,9.09614,10.4475,19.8992,18.8629,
