dExpParam,dMutationStrength,dFracKilled,dMetabolicCost,gtime,popstock,popsize,bcnest_avg,bcnest_std,bcind_avg,bcind_std,nshan_avg,nshan_std,nsimp_avg,nsimp_std,ishan_avg,ishan_std,isimp_avg,isimp_std,relatedness,neutral_avg,neutral_std,int_avg,int_std,slope_avg,slope_std,cueabun_avg,cueabun_std,steal,sucsteal,leave,sucfor,rentry,sucrentr,sucfood,offprings_avg,offspring_std,offsimp,offshan,timealive_avg,timealive_std,maxtime_alive,mintime_alive
0.1,1,0.4,40,10.1042,3.56257,23,0.499197,0.114858,0.479856,0.147693,1.93116,0.0996562,0.823061,0.0294744,1.93125,0.099663,0.823074,0.0293716,0.988015,-0.206389,0.762852,0.769575,0.613159,1.29221,0.773125,87.4097,30.1908,1668,566,2116,448,1870,255,424,0,0,1,0,10.1042,5.32907e-15,10.1042,10.1042
0.1,1,0.4,40,20.207,6.66491,7,0.538378,0.100415,0.469173,0.201237,1.88987,0.126321,0.807547,0.0377779,1.88969,0.12529,0.807489,0.0374801,0.988191,0.0531778,0.58976,0.508805,0.501808,1.79781,0.639269,60.7177,14.5942,2181,597,2778,597,2531,317,558,0,0,1,0,20.207,0,20.207,20.207
0.1,1,0.4,40,30.3145,9.27668,5,0.536503,0.113539,0.440174,0.228847,1.90184,0.139398,0.810883,0.0373314,1.9006,0.138681,0.810644,0.0371311,0.993971,-0.0547612,0.66158,0.339804,0.390764,1.90228,0.293202,59.4422,12.6133,2329,604,3075,746,2823,399,693,0,0,1,0,30.3145,0,30.3145,30.3145
0.1,1,0.4,40,40.4183,11.8344,4,0.503343,0.123094,0.388631,0.234868,1.92649,0.145781,0.81635,0.0399072,1.92631,0.143832,0.816322,0.0394921,0.992696,-0.161886,0.699808,0.162917,0.185539,1.99342,0.256758,64.0335,9.66797,2382,606,3277,895,3032,516,845,0,0,1,0,40.4183,0,40.4183,40.4183
0.1,1,0.4,40,50.5264,9.45598,4,0.503343,0.123094,0.388631,0.234868,1.92649,0.145781,0.81635,0.0399072,1.92631,0.143832,0.816322,0.0394921,0.991408,-0.161886,0.699808,0.162917,0.185539,1.99342,0.256758,64.0335,9.66797,2442,609,3491,1049,3240,631,993,0,0,1,0,50.5264,0,50.5264,50.5264
0.1,1,0.4,40,60.6812,13.7775,4,0.503343,0.123094,0.388631,0.234868,1.92649,0.145781,0.81635,0.0399072,1.92631,0.143832,0.816322,0.0394921,0.997973,-0.161886,0.699808,0.162917,0.185539,1.99342,0.256758,64.0335,9.66797,2484,614,3681,1197,3436,754,1144,0,0,1,0,60.6812,0,60.6812,60.6812
0.1,1,0.4,40,70.8014,9.58103,4,0.503343,0.123094,0.388631,0.234868,1.92649,0.145781,0.81635,0.0399072,1.92631,0.143832,0.816322,0.0394921,0.995344,-0.161886,0.699808,0.162917,0.185539,1.99342,0.256758,64.0335,9.66797,2552,622,3905,1353,3656,877,1300,0,0,1,0,70.8014,0,70.8014,70.8014
0.1,1,0.4,40,80.9024,10.0959,4,0.503343,0.123094,0.388631,0.234868,1.92649,0.145781,0.81635,0.0399072,1.92631,0.143832,0.816322,0.0394921,0.999709,-0.161886,0.699808,0.162917,0.185539,1.99342,0.256758,64.0335,9.66797,2598,626,4102,1504,3856,1004,1450,0,0,1,0,80.9024,0,80.9024,80.9024
0.1,1,0.4,40,91.0349,19.0828,4,0.503343,0.123094,0.388631,0.234868,1.92649,0.145781,0.81635,0.0399072,1.92631,0.143832,0.816322,0.0394921,0.996549,-0.161886,0.699808,0.162917,0.185539,1.99342,0.256758,64.0335,9.66797,2632,631,4279,1647,4028,1121,1591,0,0,1,0,91.0349,0,91.0349,91.0349
0.1,1,0.4,40,101.166,13.0504,4,0.503343,0.123094,0.388631,0.234868,1.92649,0.145781,0.81635,0.0399072,1.92631,0.143832,0.816322,0.0394921,0.987857,-0.161886,0.699808,0.162917,0.185539,1.99342,0.256758,64.0335,9.66797,2667,632,4472,1805,4223,1251,1753,0,0,1,0,101.166,0,101.166,101.166
0.1,1,0.4,40,111.272,12.6349,4,0.503343,0.123094,0.388631,0.234868,1.92649,0.145781,0.81635,0.0399072,1.92631,0.143832,0.816322,0.0394921,0.991226,-0.161886,0.699808,0.162917,0.185539,1.99342,0.256758,64.0335,9.66797,2726,638,4683,1957,4438,1383,1910,0,0,1,0,111.272,0,111.272,111.272
0.1,1,0.4,40,121.412,5.74118,4,0.503343,0.123094,0.388631,0.234868,1.92649,0.145781,0.81635,0.0399072,1.92631,0.143832,0.816322,0.0394921,0.99049,-0.161886,0.699808,0.162917,0.185539,1.99342,0.256758,64.0335,9.66797,2785,642,4901,2116,4649,1503,2063,0,0,1,0,121.412,0,121.412,121.412
0.1,1,0.4,40,131.538,18.628,4,0.503343,0.123094,0.388631,0.234868,1.92649,0.145781,0.81635,0.0399072,1.92631,0.143832,0.816322,0.0394921,0.975414,-0.161886,0.699808,0.162917,0.185539,1.99342,0.256758,64.0335,9.66797,2838,649,5093,2255,4845,1620,2201,0,0,1,0,131.538,0,131.538,131.538
