iModelChoice,dMutationStrength,dFracKilled,dMetabolicCost,gtime,tbirth,nest_id,neststock,mom_id,num_steal,num_sucsteal,num_forage,num_sucforage,num_rentry,num_sucrentry,num_raid,num_sucraid,num_actions,int,slope,offspring,neutral_gene,popavg_dist,cue0,cue1,cue2,cue3,cue4,cue5,cue6,cue7,cue8,cue9
0,1,0.4,40,10.1107,0,27,-0.0424865,0,19,11,39,20,34,17,20,20,0,-0.560271,0.24603,0,-0.0143895,0.449931,18.7852,0.550609,34.4106,8.2909,10.0457,5.40568,2.63547,8.55398,3.1583,59.2963,
0,1,0.4,40,10.1107,0,39,-0.136238,0,27,11,54,27,48,0,20,0,0,1.66519,0.213706,0,-0.835385,0.377699,6.26907,7.04749,8.22532,56.5884,11.4287,12.0871,1.40823,3.40682,1.37346,15.8107,
0,1,0.4,40,10.1107,0,17,-0.278553,0,21,11,49,28,45,26,25,25,0,-0.636228,0.420983,0,-1.34965,0.325601,12.542,8.20876,4.39489,13.2612,7.64553,20.1235,17.8223,22.6943,27.6667,5.82384,
0,1,0.4,40,10.1107,0,4,-0.0973977,0,24,6,48,24,41,3,25,0,0,0.737142,0.973555,0,-0.48042,0.39721,0.986549,1.40885,10.5694,14.0273,9.06842,9.88822,8.10592,28.6641,63.8229,11.6442,
0,1,0.4,40,10.1107,0,2,-0.16957,0,18,9,52,34,47,8,24,11,0,0.811443,-0.379921,0,-1.08933,0.349108,2.25903,19.9341,25.5604,0.436654,6.91306,2.86193,15.5815,4.88534,17.3126,16.2703,
0,1,0.4,40,10.1107,0,25,-0.375162,0,18,9,47,29,40,17,23,15,0,0.316112,-0.18778,0,-0.72232,0.417082,7.17559,7.11784,5.28554,19.7865,20.5859,1.68214,3.98655,15.6967,22.9631,53.2322,
0,1,0.4,40,10.1107,0,33,-0.0721865,0,24,10,49,25,47,0,21,0,0,1.47611,2.92774,0,1.44483,0.483325,5.97089,4.47819,1.16329,41.7013,14.3487,2.26304,12.0165,1.07244,2.40622,45.6796,
0,1,0.4,40,20.2116,0,12,-0.502648,0,24,10,59,35,53,31,26,26,0,-1.36249,0.492399,0,-1.21595,0.61393,13.481,20.7402,1.75024,3.78905,4.00506,0.0229308,81.8974,1.2737,6.24908,3.36048,
0,1,0.4,40,20.2116,0,3,-0.153106,0,25,10,74,49,71,30,22,21,0,0.397714,-0.621377,0,0.178219,0.507868,2.91517,5.45013,1.4098,6.37885,46.8133,1.03135,4.18713,4.10241,4.16588,41.499,
0,1,0.4,40,20.2116,0,16,-0.169471,0,25,11,65,40,58,0,29,0,0,1.55509,0.955494,0,-1.65538,0.346549,1.64058,28.1224,14.1289,19.571,14.7386,3.94304,6.9042,4.73973,6.59964,2.2469,
