iModelChoice,dMutationStrength,dFracKilled,dMetabolicCost,gtime,tbirth,nest_id,neststock,mom_id,num_steal,num_sucsteal,num_forage,num_sucforage,num_rentry,num_sucrentry,num_raid,num_sucraid,num_actions,int,slope,offspring,neutral_gene,popavg_dist,cue0,cue1,cue2,cue3,cue4,cue5,cue6,cue7,cue8,cue9
0,1,0.4,40,10.1017,0,30,-0.0897561,0,8,3,27,19,23,0,17,0,0,1.44196,0.853088,0,1.77416,0.507415,10.4529,26.6022,37.778,58.5176,22.0353,6.37947,51.7619,4.5858,16.7023,16.288,
0,1,0.4,40,10.1017,0,39,-0.622077,0,22,12,46,24,41,21,30,30,0,-1.40695,1.01598,0,0.0252669,0.224175,8.94117,4.64567,13.4849,3.57536,8.95464,7.03802,3.3104,8.9181,20.5171,16.2972,
0,1,0.4,40,10.1017,0,21,-0.0741168,0,23,10,47,24,44,0,15,0,0,1.85205,1.90946,0,0.932581,0.363181,20.8467,16.6599,2.69172,13.7698,6.29747,10.0093,40.8367,1.93276,6.25892,18.7764,
0,1,0.4,40,10.1017,0,31,-0.0016595,0,22,10,50,28,44,0,17,0,0,1.47361,0.0427983,0,-0.880975,0.431744,10.9371,27.496,2.16359,10.4927,36.8627,26.013,12.0425,3.92766,3.06446,0.107203,
0,1,0.4,40,20.2025,0,24,-0.164538,0,26,14,52,26,46,24,29,29,0,-1.01039,0.344224,0,0.137124,0.382634,3.99621,2.7148,1.88369,8.45499,12.6001,35.7236,4.01054,2.44965,8.07444,23.1433,
0,1,0.4,40,20.2025,0,50,-0.0611507,0,27,14,59,32,53,22,32,22,0,0.243123,0.529365,0,1.25601,0.342257,17.8756,3.82161,6.83211,23.6131,11.254,23.8645,0.989107,15.3547,1.64761,7.00364,
0,1,0.4,40,20.2025,0,8,-0.152126,0,20,13,55,35,47,0,29,0,0,1.26394,1.48717,0,0.461843,0.373791,20.9118,7.82985,5.76897,4.62073,29.8815,4.6013,16.8058,6.69674,3.06914,23.3758,
0,1,0.4,40,20.2025,0,41,-0.229173,0,24,12,66,42,60,12,23,5,0,0.596582,0.0868618,0,0.0224872,0.417174,10.3402,1.97682,35.2881,7.81077,5.34443,32.591,1.12003,13.9092,16.855,2.92669,
0,1,0.4,40,20.2025,0,5,-0.0521936,0,28,14,64,36,59,34,33,33,0,-1.87784,1.41809,0,-2.02176,0.44954,40.1189,2.69722,3.39983,1.33551,0.249094,9.85594,1.15207,23.0723,8.40774,15.6751,
0,1,0.4,40,20.2025,0,14,-0.0151995,0,27,12,68,41,61,36,32,32,0,-0.12154,0.309127,0,0.802562,0.379966,11.2638,15.0789,1.71181,2.87616,3.02284,13.9969,8.39603,11.5886,40.1501,4.45791,
0,1,0.4,40,20.2025,0,15,-0.293708,0,35,19,78,43,73,39,36,36,0,-1.43932,-0.246514,0,-0.282216,0.311296,30.648,1.54897,12.1816,10.617,3.87205,12.9223,6.47646,10.7373,0.960296,4.02969,
0,1,0.4,40,20.2025,0,17,-0.0604412,0,23,13,79,56,71,1,25,0,0,0.930577,0.739676,0,0.0591689,0.23344,0.978719,8.82709,10.0427,10.3154,3.93035,7.94754,21.6772,4.82748,12.5741,5.84551,
0,1,0.4,40,20.2025,0,23,-0.101969,0,28,14,72,44,67,30,35,2,0,0.326944,1.17108,0,1.17473,0.466671,9.37463,17.6749,6.3409,32.5703,34.2664,2.3775,3.79514,15.3425,18.5853,50.9275,
0,1,0.4,40,20.2025,0,6,-0.113395,0,37,12,86,49,83,0,32,0,0,2.08064,0.69686,0,-1.15344,0.3239,7.14199,11.7807,23.0057,0.0373459,8.13852,3.04699,6.23348,4.79633,7.47922,2.88545,
0,1,0.4,40,20.2025,0,4,-0.162433,0,29,19,89,60,83,13,26,0,0,0.702394,1.62098,0,-0.505998,0.359639,5.48921,15.4049,14.7876,2.4102,7.14382,4.83861,38.1128,1.72184,7.31659,13.9196,
0,1,0.4,40,20.2025,0,25,-0.0156352,0,37,15,97,60,92,26,31,6,0,0.513473,0.620434,0,0.919981,0.513493,38.1343,10.6839,1.29463,9.14724,1.01783,8.13206,42.8373,0.157351,6.18261,1.69482,
0,1,0.4,40,20.2025,0,46,-0.105388,0,38,23,101,63,96,0,38,0,0,1.71263,1.72247,0,-0.827991,0.418004,3.34066,9.34661,21.7315,0.547045,1.82125,2.55297,4.60148,14.8714,0.0241949,5.02543,
0,1,0.4,40,20.2025,0,48,-0.00500834,0,35,12,107,72,101,0,24,0,0,1.57923,1.13678,0,0.823121,0.491763,4.51889,4.491,2.21858,10.7182,0.409378,2.51115,1.14662,32.571,1.15302,0.598104,
0,1,0.4,40,30.303,0,1,-0.0748201,0,37,22,112,75,107,8,33,0,0,0.873214,1.76757,0,-0.576099,0.327615,3.78565,7.23127,10.9656,3.14966,3.48452,3.96702,5.56384,7.95854,2.95335,26.466,
0,1,0.4,40,30.303,0,37,-0.189715,0,48,27,134,86,127,36,43,0,0,0.572412,1.99991,0,1.05487,0.382105,5.01587,19.9822,15.0164,23.5902,3.49108,5.9971,23.6317,4.00272,1.32866,15.3324,
0,1,0.4,40,40.4247,0,9,-0.421836,0,49,22,192,143,188,67,47,46,0,0.611971,-1.49531,0,1.34695,0.441193,17.1055,4.39437,2.80939,2.34454,2.40842,12.7102,0.581784,0.724547,4.05982,14.0332,
0,1,0.4,40,80.8348,0,43,-0.206618,0,90,51,404,314,397,143,83,0,0,0.527173,1.82225,0,0.104237,0.404728,6.53657,15.7703,5.65238,37.284,3.39324,7.67538,0.408118,7.84909,18.6299,1.8401,
0,1,0.4,40,212.18,200.006,53,-0.523646,27,21,12,48,27,44,3,18,14,0,0.830826,-0.854786,0,0.0797852,0.316493,5.88855,0.661913,19.3112,3.43728,19.834,6.86903,10.0829,0.380154,10.3539,2.47049,
0,1,0.4,40,212.18,200.006,56,-0.0154998,40,16,14,49,33,41,12,20,20,0,0.563244,-2.00278,0,-0.996331,0.304734,9.16832,4.41896,14.0873,14.4984,3.71617,12.3635,1.08221,14.5578,18.5676,2.62128,
0,1,0.4,40,212.18,0,33,-0.1541,0,197,100,1021,824,1016,822,220,220,0,-0.0688704,0.0970935,1,-0.265364,0.339672,33.1848,1.29096,0.334549,11.5745,3.60042,14.2391,14.0731,11.6297,5.94679,7.26129,
0,1,0.4,40,212.18,200.006,60,-0.510558,26,19,9,43,24,39,22,28,28,0,0.0736179,-0.430259,0,-0.845448,0.384878,1.17841,3.77552,0.418312,11.172,14.9577,8.84935,10.8196,54.8897,4.18296,9.21339,
0,1,0.4,40,212.18,200.006,68,-0.0778138,33,24,14,62,38,56,0,29,0,0,1.91361,0.874836,0,0.763755,0.316171,33.5005,2.17951,1.35053,12.5339,4.93699,14.3106,12.6023,11.6328,6.15003,7.0704,
0,1,0.4,40,212.18,0,40,-0.7713,0,206,136,1052,846,1046,842,207,207,0,-1.36722,0.203939,2,-0.428526,0.288051,9.69904,6.11573,13.8259,14.4524,3.74705,12.4917,1.10034,14.312,18.4405,3.1649,
0,1,0.4,40,212.18,200.006,59,-0.0691348,34,33,17,67,34,62,0,18,0,0,1.24367,1.77695,0,1.38193,0.432397,15.2915,11.3943,20.9871,1.93161,3.41487,4.17176,27.6262,1.44226,10.7933,0.27833,
0,1,0.4,40,222.282,200.006,55,-0.508335,18,23,13,63,40,60,23,31,31,0,0.364977,-0.860411,0,1.31858,0.384362,3.86926,2.14826,4.86823,11.4476,11.4064,1.47497,26.9957,1.00179,0.925198,7.27345,
0,1,0.4,40,222.282,200.006,62,-0.00441352,18,35,28,94,59,92,0,42,0,0,1.33433,0.762725,0,3.07194,0.427058,4.45349,2.48059,2.30205,10.8152,11.4492,0,27.9929,0.759686,0,7.10203,
0,1,0.4,40,232.382,0,36,-0.0825579,0,227,135,1129,902,1124,898,242,113,0,-0.913282,2.93963,0,1.09188,0.404851,0.862189,3.53111,9.59908,14.3411,10.5709,12.0263,4.17459,30.3366,33.6481,27.2992,
0,1,0.4,40,232.382,200.006,61,-0.141098,38,43,23,113,70,108,13,44,0,0,0.693377,1.93975,0,1.84974,0.260597,6.79927,7.31516,17.8525,0.128058,9.8346,3.2007,11.5779,12.568,15.1357,1.9926,
0,1,0.4,40,232.382,200.006,54,-0.0249336,45,36,25,129,93,123,21,39,6,0,0.746805,-0.0427404,0,2.29667,0.421358,17.262,6.12308,5.47837,0.770653,16.7664,0.169516,13.8833,0,2.52297,16.6184,
0,1,0.4,40,242.482,0,12,-0.444702,0,224,139,1158,934,1152,930,227,227,0,-2.45041,0.833847,0,0.363902,0.246993,7.35709,9.19365,7.78939,3.22976,15.6442,20.1839,9.20551,9.3149,9.97754,22.2644,
0,1,0.4,40,252.586,200.006,65,-0.0520241,32,67,38,235,168,230,19,82,0,0,0.847274,1.52039,0,-1.0666,0.362018,1.18056,5.46511,14.384,1.95245,1.1784,9.8814,2.04865,7.59901,0.856914,2.92078,
0,1,0.4,40,404.134,0,3,34.8135,0,413,235,2030,1617,2025,937,432,49,0,0.415555,0.873205,0,-1.4226,0.428924,2.22438,13.9463,6.85734,0.896429,27.7365,2.49114,7.89139,2.18389,10.9732,26.4801,
0,1,0.4,40,404.134,0,47,105.298,0,412,253,2021,1609,2017,690,424,0,0,0.564747,2.29553,0,-1.47884,0.369476,5.13329,1.35182,5.92823,9.30006,26.5807,4.16039,5.15087,2.79332,2.61025,4.53103,
0,1,0.4,40,404.134,0,44,109.356,0,434,263,2016,1582,2008,1574,414,274,0,-0.440694,1.62261,0,0.391121,0.389819,0.585862,8.3404,22.3273,29.1528,2.0505,6.91659,20.6162,23.2507,8.07952,3.97202,
0,1,0.4,40,404.134,0,10,95.5316,0,447,209,2049,1602,2043,1596,441,183,0,-0.0366255,1.06136,0,1.93785,0.576949,17.3897,0.472711,0.475625,6.66795,21.0066,58.6835,31.0452,4.40434,2.79972,0.0143185,
0,1,0.4,40,404.134,200.006,69,58.3894,28,275,171,988,713,979,265,254,4,0,0.600715,1.43973,0,-3.30202,0.237517,4.17796,3.87197,10.575,11.8772,0.929367,5.4686,4.89379,6.06152,5.07494,4.93935,
0,1,0.4,40,404.134,0,20,93.4441,0,430,223,2002,1572,1998,1569,435,218,0,-0.969488,2.50872,0,-0.317851,0.475162,8.70261,2.68222,5.73473,71.1305,1.83677,8.73374,5.70449,17.5668,4.15282,8.6032,
0,1,0.4,40,414.237,400.009,78,-0.159368,34,32,23,67,35,61,0,11,0,0,1.60256,-0.488305,0,-0.779973,0.37555,16.7982,10.8302,19.6705,0.721235,1.98725,4.24321,27.4904,4.18254,9.76506,2.69896,
0,1,0.4,40,424.338,400.009,80,-0.0740792,35,19,9,70,51,64,47,41,41,0,-0.934445,0.417723,0,1.6816,0.480225,4.57734,21.9041,22.0744,0,20.4758,4.74906,0,4.42114,19.0011,18.8312,
0,1,0.4,40,424.338,400.009,89,-0.678251,22,39,21,75,36,71,13,32,18,0,0.636215,-0.414897,0,0.102822,0.410444,1.1047,6.38367,0.888313,14.8211,14.3486,13.1507,2.98426,2.16526,2.31826,12.8804,
0,1,0.4,40,424.338,400.009,81,-0.0428342,27,33,23,78,45,75,0,28,0,0,1.04302,1.85439,0,-1.19395,0.316835,6.2747,1.68414,20.2803,1.92398,18.5413,7.4735,10.6752,0.984496,10.3038,3.78806,
0,1,0.4,40,424.338,400.009,86,-0.159343,34,34,21,87,53,82,9,36,0,0,0.803442,3.28646,0,-1.71626,0.382392,16.2631,11.5636,20.1545,3.03499,1.99194,5.15334,28.8383,3.69218,8.83917,1.72273,
0,1,0.4,40,424.338,400.009,84,-0.314719,64,39,18,107,68,102,29,23,14,0,0.522182,-0.364917,0,0.293679,0.415717,16.1491,11.8693,20.343,1.98427,4.43528,4.16777,27.114,0.676613,9.74582,0,
0,1,0.4,40,424.338,400.009,77,-0.762337,45,44,23,105,61,98,18,43,12,0,0.646776,0.181359,0,1.98125,0.391689,15.8543,6.17125,4.97853,1.68901,15.4688,1.68927,13.7935,0,2.56222,16.188,
0,1,0.4,40,424.338,400.009,91,-0.0946424,28,34,25,107,73,100,0,55,0,0,1.37311,0.399918,0,-0.241172,0.231082,5.70959,5.13769,12.476,11.3831,0,6.32307,5.47733,2.60127,6.48844,5.17328,
0,1,0.4,40,424.338,400.009,73,-0.0288738,13,53,35,120,67,112,62,55,55,0,-0.446911,-0.555324,0,0.0723785,0.293673,5.34652,2.47828,14.1601,2.2043,6.22455,6.99997,1.14254,17.2139,2.93512,10.4866,
0,1,0.4,40,434.439,400.009,92,-0.110592,18,52,33,153,101,146,13,56,0,0,0.849998,0.766115,0,2.02414,0.431944,4.17265,2.33852,1.76102,8.88257,11.3628,0.971941,25.0959,0,1.95454,7.23087,
0,1,0.4,40,444.542,400.009,75,-0.123074,63,59,38,189,130,183,31,69,0,0,0.727288,2.78804,0,-0.423284,0.385541,0.914928,20.1653,1.07206,12.5504,7.31819,5.84505,1.8574,16.9658,1.16336,7.62987,
0,1,0.4,40,474.848,400.009,79,-0.1007,63,119,78,402,283,396,108,112,5,0,0.585384,1.14196,0,1.52631,0.415409,0,21.7277,0,14.1631,8.7512,4.95464,2.5316,17.1812,3.37528,7.60882,
