dExpParam,dMutationStrength,dFracKilled,dMetabolicCost,gtime,popstock,popsize,bcnest_avg,bcnest_std,bcind_avg,bcind_std,nshan_avg,nshan_std,nsimp_avg,nsimp_std,ishan_avg,ishan_std,isimp_avg,isimp_std,relatedness,neutral_avg,neutral_std,int_avg,int_std,slope_avg,slope_std,cueabun_avg,cueabun_std,steal,sucsteal,for,sucfor,rentry,sucrentr,sucfood,offprings_avg,offspring_std,offsimp,offshan,timealive_avg,timealive_std,maxtime_alive,mintime_alive
0.01,0.01,0.4,40,583.744,2.95258,5,0.00015273,5.69895e-05,0.000130683,7.34314e-05,1.39876,6.61272e-05,0.721917,2.68143e-05,1.39876,6.73358e-05,0.721915,2.67803e-05,0.989729,0.288561,0.00662016,-0.00113877,0.00681901,0.99474,0.010655,192.542,0.00895421,2664,1310,7784,5120,6689,2279,4443,0.8,0.748331,0.625,1.03972,1.31571,0.985169,3.23836,0.445342
0.01,0.01,0.4,40,603.866,0.178645,5,0.000152575,5.01154e-05,0.000129241,6.95341e-05,1.3989,5.66575e-05,0.721934,1.31084e-05,1.3989,5.87656e-05,0.721934,1.40779e-05,0.934023,0.276098,0.0041632,-0.00456542,0.00932134,0.999605,0.00949131,192.55,0.0166041,2758,1358,8048,5290,6914,2349,4583,0.6,0.8,0.444444,0.636514,5.28938,1.26808,6.86682,3.78603
0.01,0.01,0.4,40,623.982,2.42477,5,0.000165306,5.45886e-05,0.00014088,7.40787e-05,1.39899,4.84812e-05,0.721945,2.07407e-05,1.399,4.91549e-05,0.721946,2.10058e-05,0.993949,0.245847,0.00600906,0.0085575,0.0115568,1.00017,0.00571531,192.5,0.0234702,2881,1412,8304,5423,7139,2418,4703,0.8,0.748331,0.625,1.03972,3.26981,1.79471,5.98945,0.871797
0.01,0.01,0.4,40,644.109,4.24685,5,0.000202778,6.10518e-05,0.00017121,8.93776e-05,1.39888,0.000207417,0.721897,5.97388e-05,1.39888,0.000207988,0.721897,5.99864e-05,0.956596,0.245066,0.00593082,0.00705301,0.00971039,1.00914,0.0107158,192.58,0.0365181,3013,1474,8554,5541,7351,2472,4806,0.6,0.489898,0.666667,1.09861,3.11891,1.57392,4.90244,0.892659
0.01,0.01,0.4,40,664.266,-0.531006,5,0.000237874,0.000128234,0.000202367,0.000142653,1.39867,2.21026e-05,0.721825,1.3546e-05,1.39867,2.56722e-05,0.721826,1.35689e-05,0.983159,0.246238,0.00988088,-0.00222592,0.00812724,0.998028,0.00291176,192.552,0.0536889,3113,1522,8851,5738,7605,2551,4970,0.6,0.8,0.444444,0.636514,3.47546,1.89243,5.59642,0.339684
0.01,0.01,0.4,40,684.423,-0.68778,5,0.000117872,3.56166e-05,0.00010055,5.00108e-05,1.39836,9.6978e-05,0.72177,2.87776e-05,1.39836,9.63033e-05,0.72177,2.85621e-05,0.998948,0.290217,0.0175694,-0.00243998,0.00749055,0.995079,0.00520684,192.532,0.0209719,3202,1564,9107,5905,7839,2622,5121,0.8,1.16619,0.375,0.562335,3.42077,1.7742,5.5068,1.3598
0.01,0.01,0.4,40,704.527,0.0274231,5,0.000122502,4.76342e-05,0.000106438,6.04267e-05,1.39831,5.60707e-05,0.721763,1.0463e-05,1.39831,5.85745e-05,0.721763,1.12667e-05,0.987818,0.355224,0.00509721,-0.00586873,0.00686865,0.99114,0.0107765,192.476,0.0193093,3344,1637,9381,6037,8079,2679,5247,0.8,0.748331,0.625,1.03972,2.90973,0.930952,4.12557,1.54087
0.01,0.01,0.4,40,724.638,4.51371,5,0.000116501,5.24387e-05,9.89528e-05,6.04888e-05,1.39825,0.000105635,0.72174,3.12392e-05,1.39825,0.000105573,0.72174,3.10298e-05,0.996258,0.35762,0.0110259,0.00201089,0.00560558,1.01025,0.00902923,192.452,0.0182326,3436,1677,9642,6206,8309,2749,5400,0.6,0.8,0.444444,0.636514,2.94318,2.13008,6.99206,1.14477
0.01,0.01,0.4,40,744.776,3.21193,5,0.00017659,7.63608e-05,0.000150609,9.23321e-05,1.39814,0.000115204,0.721699,3.44728e-05,1.39814,0.000120727,0.721699,3.61716e-05,0.990865,0.34092,0.0146345,-0.00436854,0.0142487,1.00309,0.00788471,192.411,0.0361773,3568,1745,9900,6332,8533,2806,5506,0.6,0.489898,0.666667,1.09861,4.39067,1.78281,6.69369,2.39552
0.01,0.01,0.4,40,764.884,1.16317,5,0.00013535,4.80526e-05,0.000114226,6.24195e-05,1.39803,9.28419e-05,0.721671,3.48564e-05,1.39803,9.25047e-05,0.72167,3.44547e-05,0.883485,0.335778,0.00359269,-0.00043027,0.00780807,1.00259,0.00401823,192.421,0.0292668,3677,1801,10181,6504,8768,2877,5644,0.6,0.489898,0.666667,1.09861,2.79876,1.77504,6.1945,1.48988
0.01,0.01,0.4,40,785.023,2.14847,5,0.000122068,2.86946e-05,0.000105175,4.9036e-05,1.39801,7.06165e-05,0.721649,2.32761e-05,1.398,7.03901e-05,0.721648,2.3006e-05,0.993783,0.347153,0.0157079,-0.00161303,0.00632842,1.00408,0.00756057,192.44,0.0128414,3801,1872,10460,6659,9014,2953,5789,0.8,0.748331,0.625,1.03972,4.13701,1.3973,6.19629,2.17345
0.01,0.01,0.4,40,805.125,-0.159611,5,0.000102095,3.73145e-05,8.77504e-05,4.63159e-05,1.39743,5.19323e-05,0.721473,1.53743e-05,1.39742,5.1723e-05,0.721472,1.55211e-05,0.994625,0.345846,0.00841223,-5.42e-05,0.0128027,1.00206,0.00803259,192.504,0.00724671,3889,1916,10737,6848,9243,3026,5944,1,0.894427,0.64,1.05492,5.69424,0.817627,7.19034,5.02863
0.01,0.01,0.4,40,825.252,-0.410869,5,0.000152775,6.81085e-05,0.000131579,8.33267e-05,1.39728,8.16799e-05,0.721416,1.5585e-05,1.39728,8.71124e-05,0.721414,1.64255e-05,0.997439,0.325035,0.00778829,-0.0048834,0.00587381,1.00437,0.00884598,192.548,0.0107873,4032,1993,11014,6982,9495,3084,6066,0.6,0.489898,0.666667,1.09861,2.59588,1.48901,4.40234,0.281219
0.01,0.01,0.4,40,845.428,1.15186,5,0.000187851,8.62621e-05,0.000160452,0.000101332,1.39734,9.47101e-05,0.721446,3.61551e-05,1.39734,9.84053e-05,0.721446,3.70401e-05,0.970917,0.334955,0.0058721,-0.000882469,0.0148333,0.995571,0.00800083,192.593,0.0450744,4143,2059,11301,7158,9747,3169,6229,0.8,0.748331,0.625,1.03972,2.92172,2.13332,5.39437,0.306421
0.01,0.01,0.4,40,865.537,2.81742,5,0.00017667,7.25313e-05,0.000151667,9.0591e-05,1.39724,0.000103611,0.721436,2.93044e-05,1.39724,0.000106684,0.721436,2.99774e-05,0.936492,0.341639,0.0036391,-0.00383267,0.00767057,1.00314,0.00898509,192.649,0.00929112,4247,2111,11556,7309,9962,3233,6362,0.6,0.489898,0.666667,1.09861,2.82581,1.46843,4.76462,0.835756
0.01,0.01,0.4,40,885.653,3.4544,5,0.000181888,6.23545e-05,0.000155573,8.51206e-05,1.39746,0.000107573,0.721514,2.61267e-05,1.39746,0.000111144,0.721515,2.74172e-05,0.994547,0.323796,0.00880453,0.0023371,0.00589272,1.00866,0.0111984,192.742,0.0181872,4326,2155,11843,7517,10207,3310,6534,0.6,0.489898,0.666667,1.09861,2.76453,1.64453,4.43207,0.357629
0.01,0.01,0.4,40,905.77,2.59747,5,0.000245853,9.77446e-05,0.00020886,0.000123598,1.39752,0.00020357,0.721532,7.41749e-05,1.39751,0.000203809,0.721531,7.4001e-05,0.994403,0.330153,0.00904065,0.000964084,0.00556534,1.00211,0.00318598,192.804,0.035461,4429,2200,12109,7680,10434,3380,6675,0.6,0.489898,0.666667,1.09861,3.23246,2.4955,7.1666,0.468012
0.01,0.01,0.4,40,925.885,2.50792,5,0.000354347,0.000198201,0.00029877,0.00021983,1.39729,6.74476e-05,0.72142,3.9385e-05,1.39729,7.24774e-05,0.72142,4.0845e-05,0.999079,0.29923,0.00981805,-0.00154288,0.0125551,1.00377,0.00287266,192.682,0.0112399,4543,2265,12391,7848,10684,3461,6822,0.4,0.489898,0.5,0.693147,4.95487,1.10785,6.52601,3.0552
0.01,0.01,0.4,40,946.028,-0.278985,5,0.000166267,5.412e-05,0.00014286,7.67252e-05,1.39685,4.84356e-05,0.721248,2.32967e-05,1.39685,4.93184e-05,0.721247,2.38381e-05,0.819462,0.339332,0.00204865,-0.00378078,0.00678839,0.997977,0.010263,192.756,0.0163807,4655,2321,12662,8007,10914,3531,6954,0.8,0.748331,0.625,1.03972,3.79403,1.35799,5.63812,1.78634
0.01,0.01,0.4,40,966.221,-0.37915,5,0.000111331,4.6347e-05,9.51201e-05,5.43198e-05,1.3967,6.0416e-05,0.721184,2.01919e-05,1.3967,6.12095e-05,0.721184,2.05864e-05,0.776431,0.351773,0.00270351,-0.00998438,0.00655528,1.00824,0.00613209,192.75,0.0198768,4757,2373,12918,8161,11143,3593,7086,0.8,0.748331,0.625,1.03972,3.1893,2.34616,6.3414,0.12417
0.01,0.01,0.4,40,986.346,1.14,5,0.000128041,3.96177e-05,0.000108781,5.63557e-05,1.39664,0.000106844,0.72115,3.45612e-05,1.39664,0.000103788,0.721151,3.32935e-05,0.995724,0.384786,0.0056932,0.00375597,0.00714234,0.998306,0.00493767,192.701,0.016302,4862,2426,13167,8305,11364,3665,7216,0.8,0.748331,0.625,1.03972,6.23746,1.55401,9.17095,4.86129
