"dMSC","dTT","dEP","iKC","iMC","rp"
5,2,0.1,1,1,20
10,2,0.1,1,1,20
0.1,4,0.1,1,1,20
0.5,4,0.1,1,1,20
1,4,0.1,1,1,20
5,4,0.1,1,1,20
10,4,0.1,1,1,20
0.1,2,0.1,0,2,20
0.5,2,0.1,0,2,20
1,2,0.1,0,2,20
5,2,0.1,0,2,20
10,2,0.1,0,2,20
0.1,4,0.1,0,2,20
0.5,4,0.1,0,2,20
1,4,0.1,0,2,20
5,4,0.1,0,2,20
10,4,0.1,0,2,20
0.1,2,0.1,1,2,20
0.5,2,0.1,1,2,20
1,2,0.1,1,2,20
5,2,0.1,1,2,20
10,2,0.1,1,2,20
0.1,4,0.1,1,2,20
0.5,4,0.1,1,2,20
1,4,0.1,1,2,20
5,4,0.1,1,2,20
10,4,0.1,1,2,20
0.1,2,0.1,0,0,21
0.5,2,0.1,0,0,21
1,2,0.1,0,0,21
5,2,0.1,0,0,21
10,2,0.1,0,0,21
0.1,4,0.1,0,0,21
0.5,4,0.1,0,0,21
1,4,0.1,0,0,21
5,4,0.1,0,0,21
10,4,0.1,0,0,21
0.1,2,0.1,1,0,21
0.5,2,0.1,1,0,21
1,2,0.1,1,0,21
5,2,0.1,1,0,21
10,2,0.1,1,0,21
0.1,4,0.1,1,0,21
0.5,4,0.1,1,0,21
1,4,0.1,1,0,21
5,4,0.1,1,0,21
10,4,0.1,1,0,21
0.1,2,0.1,0,1,21
0.5,2,0.1,0,1,21
1,2,0.1,0,1,21
5,2,0.1,0,1,21
10,2,0.1,0,1,21
0.1,4,0.1,0,1,21
0.5,4,0.1,0,1,21
1,4,0.1,0,1,21
5,4,0.1,0,1,21
10,4,0.1,0,1,21
0.1,2,0.1,1,1,21
0.5,2,0.1,1,1,21
1,2,0.1,1,1,21
5,2,0.1,1,1,21
10,2,0.1,1,1,21
0.1,4,0.1,1,1,21
0.5,4,0.1,1,1,21
1,4,0.1,1,1,21
5,4,0.1,1,1,21
10,4,0.1,1,1,21
0.1,2,0.1,0,2,21
0.5,2,0.1,0,2,21
1,2,0.1,0,2,21
5,2,0.1,0,2,21
10,2,0.1,0,2,21
0.1,4,0.1,0,2,21
0.5,4,0.1,0,2,21
1,4,0.1,0,2,21
5,4,0.1,0,2,21
10,4,0.1,0,2,21
0.1,2,0.1,1,2,21
0.5,2,0.1,1,2,21
1,2,0.1,1,2,21
5,2,0.1,1,2,21
10,2,0.1,1,2,21
0.1,4,0.1,1,2,21
0.5,4,0.1,1,2,21
1,4,0.1,1,2,21
5,4,0.1,1,2,21
10,4,0.1,1,2,21
0.1,2,0.1,0,0,22
0.5,2,0.1,0,0,22
1,2,0.1,0,0,22
5,2,0.1,0,0,22
10,2,0.1,0,0,22
0.1,4,0.1,0,0,22
0.5,4,0.1,0,0,22
1,4,0.1,0,0,22
5,4,0.1,0,0,22
10,4,0.1,0,0,22
0.1,2,0.1,1,0,22
0.5,2,0.1,1,0,22
1,2,0.1,1,0,22
5,2,0.1,1,0,22
10,2,0.1,1,0,22
0.1,4,0.1,1,0,22
0.5,4,0.1,1,0,22
1,4,0.1,1,0,22
5,4,0.1,1,0,22
10,4,0.1,1,0,22
0.1,2,0.1,0,1,22
0.5,2,0.1,0,1,22
1,2,0.1,0,1,22
5,2,0.1,0,1,22
10,2,0.1,0,1,22
0.1,4,0.1,0,1,22
0.5,4,0.1,0,1,22
1,4,0.1,0,1,22
5,4,0.1,0,1,22
10,4,0.1,0,1,22
0.1,2,0.1,1,1,22
0.5,2,0.1,1,1,22
1,2,0.1,1,1,22
5,2,0.1,1,1,22
10,2,0.1,1,1,22
0.1,4,0.1,1,1,22
0.5,4,0.1,1,1,22
1,4,0.1,1,1,22
5,4,0.1,1,1,22
10,4,0.1,1,1,22
0.1,2,0.1,0,2,22
0.5,2,0.1,0,2,22
1,2,0.1,0,2,22
5,2,0.1,0,2,22
10,2,0.1,0,2,22
0.1,4,0.1,0,2,22
0.5,4,0.1,0,2,22
1,4,0.1,0,2,22
5,4,0.1,0,2,22
10,4,0.1,0,2,22
0.1,2,0.1,1,2,22
0.5,2,0.1,1,2,22
1,2,0.1,1,2,22
5,2,0.1,1,2,22
10,2,0.1,1,2,22
0.1,4,0.1,1,2,22
0.5,4,0.1,1,2,22
1,4,0.1,1,2,22
5,4,0.1,1,2,22
10,4,0.1,1,2,22
0.1,2,0.1,0,0,23
0.5,2,0.1,0,0,23
1,2,0.1,0,0,23
5,2,0.1,0,0,23
10,2,0.1,0,0,23
0.1,4,0.1,0,0,23
0.5,4,0.1,0,0,23
1,4,0.1,0,0,23
5,4,0.1,0,0,23
10,4,0.1,0,0,23
0.1,2,0.1,1,0,23
0.5,2,0.1,1,0,23
1,2,0.1,1,0,23
5,2,0.1,1,0,23
10,2,0.1,1,0,23
0.1,4,0.1,1,0,23
0.5,4,0.1,1,0,23
1,4,0.1,1,0,23
5,4,0.1,1,0,23
10,4,0.1,1,0,23
0.1,2,0.1,0,1,23
0.5,2,0.1,0,1,23
1,2,0.1,0,1,23
5,2,0.1,0,1,23
10,2,0.1,0,1,23
0.1,4,0.1,0,1,23
0.5,4,0.1,0,1,23
1,4,0.1,0,1,23
5,4,0.1,0,1,23
10,4,0.1,0,1,23
0.1,2,0.1,1,1,23
0.5,2,0.1,1,1,23
1,2,0.1,1,1,23
5,2,0.1,1,1,23
10,2,0.1,1,1,23
0.1,4,0.1,1,1,23
0.5,4,0.1,1,1,23
1,4,0.1,1,1,23
5,4,0.1,1,1,23
10,4,0.1,1,1,23
0.1,2,0.1,0,2,23
0.5,2,0.1,0,2,23
1,2,0.1,0,2,23
5,2,0.1,0,2,23
10,2,0.1,0,2,23
0.1,4,0.1,0,2,23
0.5,4,0.1,0,2,23
1,4,0.1,0,2,23
5,4,0.1,0,2,23
10,4,0.1,0,2,23
0.1,2,0.1,1,2,23
0.5,2,0.1,1,2,23
1,2,0.1,1,2,23
5,2,0.1,1,2,23
10,2,0.1,1,2,23
0.1,4,0.1,1,2,23
0.5,4,0.1,1,2,23
1,4,0.1,1,2,23
5,4,0.1,1,2,23
10,4,0.1,1,2,23
0.1,2,0.1,0,0,24
0.5,2,0.1,0,0,24
1,2,0.1,0,0,24
5,2,0.1,0,0,24
10,2,0.1,0,0,24
0.1,4,0.1,0,0,24
0.5,4,0.1,0,0,24
1,4,0.1,0,0,24
5,4,0.1,0,0,24
10,4,0.1,0,0,24
0.1,2,0.1,1,0,24
0.5,2,0.1,1,0,24
1,2,0.1,1,0,24
5,2,0.1,1,0,24
10,2,0.1,1,0,24
0.1,4,0.1,1,0,24
0.5,4,0.1,1,0,24
1,4,0.1,1,0,24
5,4,0.1,1,0,24
10,4,0.1,1,0,24
0.1,2,0.1,0,1,24
0.5,2,0.1,0,1,24
1,2,0.1,0,1,24
5,2,0.1,0,1,24
10,2,0.1,0,1,24
0.1,4,0.1,0,1,24
0.5,4,0.1,0,1,24
1,4,0.1,0,1,24
5,4,0.1,0,1,24
10,4,0.1,0,1,24
0.1,2,0.1,1,1,24
0.5,2,0.1,1,1,24
1,2,0.1,1,1,24
5,2,0.1,1,1,24
10,2,0.1,1,1,24
0.1,4,0.1,1,1,24
0.5,4,0.1,1,1,24
1,4,0.1,1,1,24
5,4,0.1,1,1,24
10,4,0.1,1,1,24
0.1,2,0.1,0,2,24
0.5,2,0.1,0,2,24
1,2,0.1,0,2,24
5,2,0.1,0,2,24
10,2,0.1,0,2,24
0.1,4,0.1,0,2,24
0.5,4,0.1,0,2,24
1,4,0.1,0,2,24
5,4,0.1,0,2,24
10,4,0.1,0,2,24
0.1,2,0.1,1,2,24
0.5,2,0.1,1,2,24
1,2,0.1,1,2,24
5,2,0.1,1,2,24
10,2,0.1,1,2,24
0.1,4,0.1,1,2,24
0.5,4,0.1,1,2,24
1,4,0.1,1,2,24
5,4,0.1,1,2,24
10,4,0.1,1,2,24
0.1,2,0.1,0,0,25
0.5,2,0.1,0,0,25
1,2,0.1,0,0,25
5,2,0.1,0,0,25
10,2,0.1,0,0,25
0.1,4,0.1,0,0,25
0.5,4,0.1,0,0,25
1,4,0.1,0,0,25
5,4,0.1,0,0,25
10,4,0.1,0,0,25
0.1,2,0.1,1,0,25
0.5,2,0.1,1,0,25
1,2,0.1,1,0,25
5,2,0.1,1,0,25
10,2,0.1,1,0,25
0.1,4,0.1,1,0,25
0.5,4,0.1,1,0,25
1,4,0.1,1,0,25
5,4,0.1,1,0,25
10,4,0.1,1,0,25
0.1,2,0.1,0,1,25
0.5,2,0.1,0,1,25
1,2,0.1,0,1,25
5,2,0.1,0,1,25
10,2,0.1,0,1,25
0.1,4,0.1,0,1,25
0.5,4,0.1,0,1,25
1,4,0.1,0,1,25
5,4,0.1,0,1,25
10,4,0.1,0,1,25
0.1,2,0.1,1,1,25
0.5,2,0.1,1,1,25
1,2,0.1,1,1,25
5,2,0.1,1,1,25
10,2,0.1,1,1,25
0.1,4,0.1,1,1,25
0.5,4,0.1,1,1,25
1,4,0.1,1,1,25
5,4,0.1,1,1,25
10,4,0.1,1,1,25
0.1,2,0.1,0,2,25
0.5,2,0.1,0,2,25
1,2,0.1,0,2,25
5,2,0.1,0,2,25
10,2,0.1,0,2,25
0.1,4,0.1,0,2,25
0.5,4,0.1,0,2,25
1,4,0.1,0,2,25
5,4,0.1,0,2,25
10,4,0.1,0,2,25
0.1,2,0.1,1,2,25
0.5,2,0.1,1,2,25
1,2,0.1,1,2,25
5,2,0.1,1,2,25
10,2,0.1,1,2,25
0.1,4,0.1,1,2,25
0.5,4,0.1,1,2,25
1,4,0.1,1,2,25
5,4,0.1,1,2,25
10,4,0.1,1,2,25
